Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,36,SAS,NBA,C,69,2078,0.502,9.5,0.993,0.295,0.246,0.177,0.275,0.007,0.504,0.701,0.417,0.405,0.433,0.286,0.666,1,0.065,61,0.571,0.25,0,0
2013-14,37,SAS,NBA,C,74,2158,0.49,9,0.994,0.321,0.296,0.111,0.265,0.006,0.493,0.67,0.451,0.386,0.371,0,0.669,,0.046,38,0,,1,0
2014-15,38,SAS,NBA,C,77,2227,0.512,6.9,0.991,0.355,0.353,0.138,0.144,0.009,0.514,0.711,0.453,0.327,0.356,0.286,0.739,1,0.057,42,0.286,1,2,0
2015-16,39,SAS,NBA,C,61,1536,0.488,7.2,0.995,0.324,0.406,0.088,0.179,0.005,0.49,0.671,0.458,0.385,0.278,0,0.684,,0.011,4,0,,1,0
