PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Lance Thomas,BKN,7,3,70,0.95,2.9,1,2.9,35,45
Gary Clark,ORL,24,2.2,62.7,1.08,2.3,0.8,2.1,38,55
P.J. Tucker,HOU,72,4.2,57.5,1.01,4.2,1.5,3.9,37.4,53.6
Robert Covington,HOU,22,7,57.1,0.86,6,2,6.2,31.6,44.5
Justin Anderson,BKN,10,2.4,55.8,0.83,2,0.7,2.1,33.3,47.6
Gary Clark,HOU,18,2,55.4,0.92,1.8,0.6,1.9,31.4,45.7
Derrick Walton Jr.,LAC,21,1.1,54.8,1.44,1.6,0.5,1,50,68.2
Royce O'Neale,UTA,71,3.4,53.6,1.14,3.9,1.3,3,45,62.3
Treveon Graham,ATL,22,2,53.6,0.84,1.7,0.6,1.8,32.5,43.8
Trey Lyles,SAS,63,3.3,52.5,1.03,3.4,1.2,3,40.8,53.7
Kenrich Williams,NOP,39,2.4,51.4,0.71,1.7,0.6,2.1,28,38.4
Terrance Ferguson,OKC,56,2.4,51.3,0.81,1.9,0.7,2.1,31.7,45
Semi Ojeleye,BOS,69,1.7,50.2,1.11,1.8,0.6,1.6,39.3,56.3
Georges Niang,UTA,66,2.8,50.1,1.2,3.3,1.2,2.6,44.8,63.1
Thabo Sefolosha,HOU,42,1.3,50,0.66,0.9,0.3,1.1,27.1,37.5
Rodney McGruder,LAC,56,1.9,49.3,0.82,1.6,0.6,1.7,33,41.8
Darius Bazley,OKC,61,3.1,48.6,0.79,2.5,0.9,2.8,33.3,42.6
Marvin Williams,MIL,17,1.9,47.8,1.06,2,0.7,1.9,37.5,53.1
Chandler Parsons,ATL,5,2,47.6,0.9,1.8,0.6,2,30,45
Wilson Chandler,BKN,35,3,46.3,0.86,2.6,0.8,2.6,29.3,41.8
Allen Crabbe,MIN,9,2.1,46.3,1,2.1,0.8,1.9,41.2,55.9
Patrick Patterson,LAC,59,2.2,46.2,1.16,2.5,0.8,2,40.8,58.8
Ben McLemore,HOU,71,4,45.6,1.28,5.1,1.7,3.8,44.6,65.9
Luguentz Dort,OKC,36,3.3,45.4,0.78,2.6,0.9,2.9,30.8,40.4
Trevor Ariza,SAC,32,2.9,45.4,0.84,2.5,0.8,2.6,31.3,46.4
Michael Kidd-Gilchrist,CHA,12,2.4,45.3,0.72,1.8,0.7,2.3,28.6,37.5
Anthony Tolliver,MEM,13,2.1,45,1.44,3,1,1.8,54.2,77.1
Danuel House Jr.,HOU,63,4.5,44.8,1,4.5,1.4,4.1,34.9,50.4
Garrison Mathews,WAS,18,1.9,44.7,1.12,2.1,0.5,1.4,34.6,46.2
JR Smith,LAL,6,2,44.4,0.5,1,0.5,2,25,25
Vince Carter,ATL,60,2.6,44.3,0.73,1.9,0.7,2.4,26.9,37.6
Treveon Graham,MIN,33,2.8,44.3,0.69,2,0.6,2.4,26.6,35.4
Anthony Tolliver,POR,33,2,44.2,0.72,1.4,0.5,1.7,26.3,38.6
Patrick Beverley,LAC,51,3.7,44.1,1.12,4.1,1.4,3.4,41.3,59.3
Matisse Thybulle,PHI,65,2.2,44,0.92,2.1,0.7,1.9,36.6,50.8
Cameron Johnson,PHX,57,3.5,43.7,1.09,3.9,1.3,3.3,38.9,56.3
Patrick McCaw,TOR,37,2.3,43.7,0.93,2.2,0.8,2.1,37.2,49.4
Admiral Schofield,WAS,33,1.4,42.9,0.73,1,0.3,1.3,26.2,38.1
Jalen McDaniels,CHA,16,2.4,42.7,0.97,2.3,0.9,1.9,46.7,56.7
Dorian Finney-Smith,DAL,71,3.8,42.5,1.03,3.9,1.3,3.4,39.3,55.8
Josh Hart,NOP,65,4.3,42.4,1,4.3,1.5,3.9,37.5,51.6
Taurean Prince,BKN,64,5.9,42.1,0.91,5.4,1.9,5.2,36.8,49.1
Maxi Kleber,DAL,74,3.5,41.9,0.97,3.4,1.1,3.2,35,50
Adam Mokoka,CHI,11,1.2,41.9,0.77,0.9,0.4,1.1,33.3,41.7
Timothe Luwawu-Cabarrot,BKN,48,3,41.5,1.05,3.1,1,2.6,37.9,53.6
Abdel Nader,OKC,55,2.5,41.5,0.99,2.5,0.8,2.1,39.1,50
Michael Frazier II,HOU,13,1.3,41.5,0.59,0.8,0.2,1.2,18.8,28.1
Sekou Doumbouya,DET,38,3.1,41.3,0.71,2.2,0.8,2.7,28.7,38.1
Ryan Broekhoff,DAL,17,1.6,41.2,1.11,1.8,0.5,1.5,32,48
Justin Jackson,DAL,65,2.4,41.1,0.88,2.1,0.7,2.3,32,42.2
Keita Bates-Diop,MIN,37,2.7,41.1,0.84,2.3,0.7,2.5,28.6,40.1
Mike Scott,PHI,68,2.4,40.8,1.09,2.6,0.9,2.3,39.2,54.7
James Johnson,MIA,18,2.4,40.7,0.86,2.1,0.8,2.1,37.8,50
Courtney Lee,DAL,24,1.6,40.6,1.15,1.9,0.7,1.5,44.4,62.5
Andre Roberson,OKC,7,1.9,40.6,0.85,1.6,0.6,1.7,33.3,45.8
Jae Crowder,MIA,20,3.9,40.5,1.26,4.8,1.5,3.6,42.5,62.3
Danny Green,LAL,68,3.3,40.3,1.06,3.5,1.2,3,40.3,55.5
D.J. Wilson,MIL,21,1.6,40.2,0.94,1.5,0.6,1.4,40,51.7
Robert Covington,MIN,48,5.1,40,1.05,5.3,1.8,4.5,40.4,53.7
Meyers Leonard,MIA,51,2.2,39.9,1.04,2.3,0.8,2,40.4,56.3
Allen Crabbe,ATL,28,2.3,39.9,1.02,2.3,0.8,2.1,39,53.4
Torrey Craig,DEN,58,2.1,39.7,0.99,2.1,0.7,2,35,50.9
DeMarre Carroll,SAS,13,1.5,39.6,0.79,1.2,0.4,1.2,31.3,40.6
Markieff Morris,LAL,14,2.3,39.5,1.16,2.6,0.9,2.1,44.8,60.3
Tony Snell,DET,59,2.8,39,1.11,3.1,1.1,2.7,40.4,54.7
JaMychal Green,LAC,63,2.7,38.8,1.09,2.9,1,2.5,39.1,57.4
Nicolo Melli,NOP,60,2.6,38.8,1.03,2.7,0.9,2.4,38.5,52.8
Trevor Ariza,POR,21,3.8,38.3,1.22,4.6,1.5,3.2,47.1,64.7
Alfonzo McKinnie,CLE,40,2,38.2,0.73,1.5,0.6,1.9,31.1,39.2
Jevon Carter,PHX,58,1.9,38.1,1.11,2.1,0.7,1.8,39.3,56.5
Solomon Hill,MIA,11,2.2,38.1,0.79,1.7,0.5,2,27.3,38.6
Gary Trent Jr.,POR,61,3,38,1.26,3.8,1.3,2.9,45.2,64.4
Markieff Morris,DET,44,4.3,37.9,1.06,4.5,1.5,3.9,40,55
Rodions Kurucs,BKN,47,1.9,37.9,0.92,1.8,0.6,1.5,41.7,53.5
Chandler Hutchison,CHI,28,3.2,37.7,1.02,3.3,1.1,2.4,45.5,53.8
Marvin Williams,CHA,41,2.3,37.5,1.06,2.5,0.8,2.2,36.3,52.2
Bryn Forbes,SAS,63,4,37.3,1.14,4.6,1.5,3.6,42.4,57.6
Jeff Green,UTA,30,3.1,37.3,0.95,3,1,2.9,36,48.8
Iman Shumpert,BKN,13,2.2,37.2,0.34,0.8,0.3,1.9,16,20
Garrett Temple,BKN,62,4.1,37.1,0.99,4,1.4,3.8,35.7,50.4
Keita Bates-Diop,DEN,7,1.9,37.1,0.85,1.6,0.6,1.7,33.3,41.7
Miles Bridges,CHA,65,5.1,37,1,5.1,1.8,4.6,38.3,50.7
Mikal Bridges,PHX,73,3.1,37,0.89,2.8,1,2.8,34,45.4
Juancho Hernangomez,DEN,34,1.5,37,0.61,0.9,0.3,1.3,22.7,33
Solomon Hill,MEM,48,2.2,36.8,1.04,2.3,0.8,2.1,38,53.5
Trey Burke,DAL,8,4.4,36.8,0.94,4.1,1.5,4.1,36.4,47
Talen Horton-Tucker,LAL,6,2.3,36.8,0.57,1.3,0.5,2,25,33.3
Keldon Johnson,SAS,17,2.6,36.6,1.47,3.9,1.2,1.9,62.5,81.3
Jeff Green,HOU,18,3.6,36.4,1.19,4.2,1.4,3.2,44.8,61.2
Mychal Mulder,GSW,7,4,36.4,1.04,4.1,1.4,3.9,37,53.7
Al-Farouq Aminu,ORL,18,2.4,36.4,0.49,1.2,0.4,2.1,18.9,27
Jerian Grant,WAS,6,2,36.4,0.67,1.3,0.7,1.7,40,40
Furkan Korkmaz,PHI,72,3.3,36.3,1.22,4.1,1.3,3,42.7,61.2
Justin Holiday,IND,73,2.8,36.3,1.1,3.1,1,2.6,39.7,57.4
Jarrell Brantley,UTA,9,1.4,36.1,0.39,0.6,0.2,1.3,16.7,20.8
Tyler Johnson,PHX,31,2.5,36,0.8,2,0.7,2.3,31.9,41.7
Ryan Arcidiacono,CHI,58,1.7,35.7,1.03,1.7,0.6,1.6,36.2,52.7
