PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Elton Brand,PHI,17,0.8,15.3,0.77,0.6,0.3,0.7,41.7,41.7
Ish Smith,NOP,27,1.6,15.2,1,1.6,0.7,1.5,45,51.3
Andre Miller,SAS,13,0.8,15.2,0.5,0.4,0.2,0.7,22.2,27.8
Alexis Ajinca,NOP,59,1,15.1,0.75,0.8,0.4,0.9,39.3,39.3
Emmanuel Mudiay,DEN,68,2.7,15,0.78,2.1,0.8,2.4,31.1,40.5
Kevin Martin,MIN,39,1.7,14.9,0.86,1.4,0.5,1.5,32.8,42.2
CJ McCollum,POR,80,3.2,14.8,1.1,3.5,1.2,3,40.6,55.9
Markieff Morris,PHX,38,2.2,14.8,0.54,1.2,0.5,2,24,29.3
Monta Ellis,IND,81,2.4,14.7,1,2.4,0.8,2.1,39.1,50.9
Michael Carter-Williams,MIL,54,2.1,14.7,0.85,1.8,0.7,1.8,38.4,43.4
Kyle O'Quinn,NYK,65,0.8,14.7,0.89,0.7,0.3,0.8,39.2,44.1
Jarell Martin,MEM,27,0.9,14.7,0.75,0.7,0.3,0.9,30.4,30.4
Cristiano Felicio,CHI,31,0.5,14.7,0.93,0.5,0.2,0.5,50,50
Dwight Powell,DAL,69,0.8,14.4,0.62,0.5,0.2,0.8,32.7,34.6
Richaun Holmes,PHI,51,0.8,14.3,0.61,0.5,0.2,0.7,21.6,29.7
Gorgui Dieng,MIN,82,1.4,14.2,0.9,1.3,0.6,1.2,46.5,49
Zach LaVine,MIN,82,2,14.1,1.16,2.4,0.9,1.7,49.6,64.9
Kemba Walker,CHA,81,2.9,14,1.14,3.3,1.1,2.7,41.4,57.7
Brandon Knight,PHX,52,3.1,14,1.09,3.3,1.2,2.8,42.2,56.1
Evan Turner,BOS,81,1.7,13.8,0.75,1.3,0.5,1.5,31.5,37.9
Brandon Jennings,DET,23,1.1,13.8,1.04,1.1,0.4,1,39.1,50
Ray McCallum,MEM,10,1.3,13.8,1.08,1.4,0.5,1.3,38.5,53.8
Jordan Clarkson,LAL,79,2.3,13.6,1.05,2.4,0.8,2.1,39.1,53.3
Ish Smith,PHI,50,2.5,13.6,0.99,2.5,1,2.3,43.5,51.3
Lavoy Allen,IND,79,0.8,13.6,0.69,0.6,0.3,0.8,36.1,36.1
Nikola Vucevic,ORL,65,2.5,13.4,0.97,2.5,1.2,2.4,49,49.4
D.J. Augustin,DEN,28,1.5,13.4,0.91,1.4,0.4,1.2,32.4,42.6
Isaiah Thomas,BOS,82,3,13.3,1.08,3.2,1.1,2.7,40.6,51.8
Nicolas Batum,CHA,70,2.2,13.3,0.93,2,0.7,2,35.5,48.6
Blake Griffin,LAC,35,2.9,13.3,0.77,2.3,1.1,2.9,38.6,39.1
Bradley Beal,WAS,55,2.3,13.2,1.14,2.7,0.9,2.2,43.7,57.6
Anthony Davis,NOP,61,3,13,0.95,2.9,1.2,2.8,43.2,47.3
John Wall,WAS,77,3,12.8,1.01,3,1,2.8,36.3,50.5
Chris Andersen,MEM,20,0.6,12.8,1.09,0.6,0.3,0.6,45.5,54.5
Kobe Bryant,LAL,66,2.6,12.7,0.98,2.5,0.9,2.4,36.1,48.1
Mike Conley,MEM,56,1.9,12.5,1.06,2.1,0.7,1.9,38.1,53.3
T.J. McConnell,PHI,81,1,12.5,0.92,0.9,0.3,0.9,39.1,50
Shane Larkin,BKN,78,1.1,12.4,0.92,1,0.4,1,37.7,46.8
Dennis Schroder,ATL,80,1.6,12.3,1.08,1.7,0.6,1.5,39,54.7
Aaron Brooks,CHI,69,1,12.3,1.11,1.1,0.4,1,36.8,52.9
Eric Bledsoe,PHX,32,2.6,12.2,0.84,2.2,0.7,2.1,33.8,43.4
Roy Hibbert,LAL,81,0.8,12.1,0.91,0.8,0.4,0.8,44.6,44.6
Tony Parker,SAS,72,1.5,12,1.02,1.6,0.6,1.3,45.3,56.8
Marcelo Huertas,LAL,53,0.7,11.9,0.82,0.6,0.2,0.7,37.1,44.3
Cody Zeller,CHA,73,1,11.7,0.55,0.5,0.2,0.8,21.7,22.5
Henry Sims,BKN,14,0.9,11.7,0.5,0.4,0.2,0.9,25,25
Carmelo Anthony,NYK,72,2.6,11.5,1,2.6,1,2.5,38.1,50.6
Devin Booker,PHX,76,1.7,11.4,0.9,1.5,0.5,1.5,32.5,44.9
Tyreke Evans,NOP,25,1.9,11.3,1.23,2.4,0.8,1.7,44.2,59.3
Paul George,IND,81,2.7,11.2,1.11,3,1,2.4,42.1,56.9
Julius Randle,LAL,81,1.5,11.2,0.7,1.1,0.4,1.3,32.7,35.1
Karl-Anthony Towns,MIN,82,2,11.1,1.09,2.1,0.9,1.8,51.4,56.4
Kevin Durant,OKC,72,2.8,11,1.13,3.2,1,2.5,40.9,56.4
Tim Frazier,NOP,16,1.6,10.8,0.84,1.3,0.4,1.1,38.9,47.2
Kyrie Irving,CLE,53,2.2,10.7,0.96,2.1,0.8,2.1,36.7,47.7
Nikola Jokic,DEN,80,1.1,10.7,1,1.1,0.4,1,39,53.9
Derrick Favors,UTA,62,1.8,10.7,0.64,1.1,0.5,1.7,30.8,30.8
DeMar DeRozan,TOR,78,2.5,10.6,0.99,2.5,0.8,2.1,40,50
Jimmy Butler,CHI,67,2.2,10.6,0.96,2.1,0.6,1.9,33.1,41.7
Marc Gasol,MEM,52,1.9,10.5,0.7,1.3,0.6,1.8,36.3,37.4
Robert Sacre,LAL,25,0.4,10.4,0.82,0.4,0.2,0.4,40,40
Jeff Teague,ATL,79,1.7,10.3,1.35,2.4,0.8,1.6,52.8,72.8
Lou Williams,LAL,67,1.5,10.3,1.17,1.7,0.5,1.4,39.6,54.9
Zach Randolph,MEM,68,1.6,10,0.85,1.4,0.6,1.5,40,41.4
Timofey Mozgov,CLE,76,0.6,10,0.57,0.4,0.2,0.6,31,32.1
Andrew Wiggins,MIN,81,2.1,9.9,0.95,2,0.7,1.8,39.7,49.7
Tyler Zeller,BOS,60,0.6,9.7,0.73,0.5,0.2,0.5,36.7,36.7
Amir Johnson,BOS,79,0.7,9.4,0.63,0.4,0.1,0.6,24.4,31.1
Thaddeus Young,BKN,73,1.5,9.3,0.73,1.1,0.5,1.3,36.2,38.3
Stephen Curry,GSW,79,2.3,9.1,1.5,3.4,1.2,2.1,54.5,75.7
Shaun Livingston,GSW,78,0.6,9.1,1.09,0.6,0.2,0.5,47.2,50
Zaza Pachulia,DAL,76,0.9,9.1,0.74,0.6,0.2,0.7,34,34
Alex Len,PHX,78,1,9,0.67,0.7,0.3,0.9,31.4,32.1
Jrue Holiday,NOP,65,1.6,8.6,0.89,1.4,0.5,1.4,38.6,44.9
JJ Hickson,DEN,20,0.7,8.6,0.46,0.3,0.2,0.6,27.3,27.3
Brook Lopez,BKN,73,1.8,8.5,0.81,1.4,0.6,1.5,41.1,41.6
Myles Turner,IND,60,0.9,8.3,0.81,0.7,0.3,0.9,38.5,40.4
Nerlens Noel,PHI,67,1.1,8.3,0.59,0.6,0.3,0.8,33.3,34.3
James Harden,HOU,82,2.3,8.2,1.27,3,1,2.1,46.5,64.1
Reggie Jackson,DET,79,1.7,8.2,1.17,1.9,0.7,1.6,43.3,57.9
Damian Lillard,POR,75,2,8,1.23,2.5,0.8,1.9,44,62.4
Ian Mahinmi,IND,71,0.7,8,0.67,0.5,0.2,0.6,36.6,36.6
Joakim Noah,CHI,29,0.6,7.9,0.69,0.4,0.1,0.4,30.8,30.8
Jeff Withey,UTA,51,0.3,7.8,0.71,0.2,0.1,0.3,40,40
Jordan Hill,IND,73,0.7,7.6,0.74,0.5,0.3,0.7,37.3,37.3
Dwyane Wade,MIA,74,1.5,7.3,0.97,1.5,0.6,1.3,42.9,45.4
David Lee,BOS,30,0.6,7.1,0.67,0.4,0.2,0.5,31.3,31.3
Kevin Seraphin,NYK,49,0.4,7,0.67,0.2,0.1,0.4,33.3,33.3
Russell Westbrook,OKC,80,1.8,6.9,0.84,1.5,0.5,1.4,37.1,47
LeBron James,CLE,76,1.6,6.7,1,1.6,0.6,1.5,39.6,50.5
Chris Paul,LAC,75,1.2,6.2,1.16,1.4,0.5,1.1,43,58.7
Greg Monroe,MIL,79,0.9,6.2,0.96,0.9,0.4,0.9,45.1,45.1
Nene,WAS,57,0.6,6.1,0.67,0.4,0.2,0.5,30,30
Thomas Robinson,BKN,71,0.3,6,0.46,0.2,0.1,0.3,25,25
Taj Gibson,CHI,73,0.5,5.8,1.19,0.6,0.3,0.5,61.1,61.1
JaVale McGee,DAL,34,0.3,5.8,1,0.3,0.1,0.3,55.6,55.6
Tim Duncan,SAS,61,0.5,5.3,0.84,0.4,0.2,0.5,44.8,44.8
Kenneth Faried,DEN,67,0.6,5.2,0.64,0.4,0.2,0.5,33.3,34.7
Enes Freedom,OKC,82,0.6,5.1,1.17,0.7,0.3,0.5,51.1,62.2
Brandon Bass,LAL,66,0.3,4.9,0.62,0.2,0.1,0.3,31.6,31.6
Al Jefferson,CHA,47,0.6,4.8,1,0.6,0.3,0.6,50,50
Jahlil Okafor,PHI,53,0.8,4.6,0.91,0.8,0.3,0.6,45.5,47
Aron Baynes,DET,81,0.3,4.5,0.54,0.2,0.1,0.3,27.3,27.3
Willie Cauley-Stein,SAC,66,0.3,4.5,0.6,0.2,0.1,0.3,35.3,35.3
Mason Plumlee,POR,82,0.4,4.3,0.63,0.3,0.1,0.3,36.4,36.4
Tyson Chandler,PHX,66,0.3,4.1,0.4,0.1,0.1,0.3,22.2,22.2
Robin Lopez,NYK,82,0.4,3.8,0.73,0.3,0.1,0.4,41.4,41.4
Amar'e Stoudemire,MIA,52,0.2,3.7,0.91,0.2,0.1,0.2,45.5,45.5
John Henson,MIL,57,0.2,3.4,0.64,0.2,0.1,0.2,30,30
Jonas Valanciunas,TOR,60,0.4,3.2,1,0.4,0.2,0.3,58.8,58.8
Jusuf Nurkic,DEN,32,0.3,3.2,0.55,0.2,0.1,0.3,27.3,27.3
Tristan Thompson,CLE,82,0.2,2.5,1.07,0.2,0.1,0.1,63.6,63.6
Rudy Gobert,UTA,61,0.2,2.1,0.69,0.1,0,0.2,20,20
Hassan Whiteside,MIA,73,0.3,2,0.9,0.2,0.1,0.2,44.4,44.4
Marcin Gortat,WAS,75,0.2,1.6,0.94,0.2,0.1,0.2,43.8,43.8
Andre Drummond,DET,81,0.3,1.5,0.64,0.2,0,0.2,28.6,28.6
