PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Russell Westbrook,OKC,80,5.9,23.3,1.15,6.8,2.3,4,59,61
James Harden,HOU,82,6,21,1.07,6.4,2.1,4.1,51.2,58.1
Stephen Curry,GSW,79,5.1,20.1,1.22,6.2,2.3,4.1,55.7,66.8
LeBron James,CLE,76,4.8,19.5,1.32,6.3,2.4,3.3,73.3,75.7
Isaiah Thomas,BOS,82,5.1,22.8,1.08,5.5,1.9,4,48.5,54.6
John Wall,WAS,77,5.5,23.5,1.02,5.6,2.1,3.8,56.4,58.8
Kevin Durant,OKC,72,3.8,15.1,1.32,5.1,1.8,2.9,62.3,72.2
Darren Collison,SAC,74,4.1,30.1,1.19,4.8,1.8,3.2,57.3,62.8
Klay Thompson,GSW,80,3.5,17.5,1.24,4.4,1.6,3,54,67.5
Giannis Antetokounmpo,MIL,80,3.6,20.4,1.22,4.4,1.6,2.4,67.9,68.2
Paul George,IND,81,3.9,16.2,1.1,4.2,1.3,2.7,49.8,58.2
Kyle Lowry,TOR,77,3.6,16.8,1.21,4.3,1.3,2.5,52.6,61.9
Trevor Ariza,HOU,81,3.1,24,1.31,4,1.5,2.6,57.1,70
Zach LaVine,MIN,82,3.1,21.5,1.22,3.8,1.5,2.4,60.3,64.3
Kentavious Caldwell-Pope,DET,76,3.4,22.2,1.19,4,1.4,2.8,52.2,59.6
Will Barton,DEN,82,3.3,22.3,1.11,3.7,1.4,2.6,54.2,57.6
Kemba Walker,CHA,81,2.9,13.8,1.24,3.6,1.2,2.2,53.4,59.6
Gordon Hayward,UTA,80,2.7,13.6,1.31,3.6,1.3,2.1,63.9,68.4
Rudy Gay,SAC,70,3.3,18.3,1.24,4.1,1.6,2.4,64.3,69
Avery Bradley,BOS,76,3.1,20,1.13,3.5,1.4,2.6,54.2,60.7
Jeff Teague,ATL,79,2.9,17.4,1.11,3.3,1.2,2.1,56,61.7
Evan Fournier,ORL,79,2.4,16,1.34,3.2,1.1,1.8,62.9,72.9
Goran Dragic,MIA,72,3.3,20.6,1.07,3.5,1.5,2.4,60.3,61.8
Corey Brewer,HOU,82,2.8,33,1.1,3,1.1,2.1,51.4,55.5
Otto Porter Jr.,WAS,75,2.8,24.6,1.2,3.3,1.2,2.2,53.3,61.5
Jabari Parker,MIL,76,2.7,18.2,1.21,3.2,1.3,2,66.7,66.7
Devin Booker,PHX,76,2.8,18.6,1.17,3.2,1.1,2.1,54.4,62
DeMarcus Cousins,SAC,65,3.6,12.6,1.03,3.8,1.3,2.5,50.9,58.2
Khris Middleton,MIL,79,2.5,13.6,1.25,3.1,1.1,1.8,61.2,68
Jae Crowder,BOS,73,2.8,20.7,1.16,3.3,1.2,2.3,53.6,58
Andrew Wiggins,MIN,81,2.5,11.7,1.18,3,1.1,1.8,63.2,64.2
Victor Oladipo,ORL,72,3,17.9,1.09,3.3,1.3,2.4,52.6,55.6
Gary Harris,DEN,76,2.6,21.4,1.22,3.1,1.2,2,62.1,65
CJ McCollum,POR,80,2.8,13.1,1.05,3,1.1,2.1,50,57.7
Monta Ellis,IND,81,2.8,17.5,1.03,2.9,1.1,2,56.2,58.6
Ramon Sessions,WAS,82,2.6,25.9,1.09,2.9,1.1,1.9,57.1,59.1
Kent Bazemore,ATL,75,2.9,23.4,1.07,3.1,1.2,2.2,54.8,61.1
Bojan Bogdanovic,BKN,79,2.2,18.7,1.28,2.8,1.1,1.9,58.4,66.6
Omri Casspi,SAC,69,2.7,23.5,1.16,3.1,1.2,2,60.4,66.5
Chris Paul,LAC,75,2.5,12.9,1.15,2.8,1,1.7,58.1,66.1
Garrett Temple,WAS,80,2.5,31.7,1.08,2.6,0.9,1.8,47.6,53.1
Dwyane Wade,MIA,74,2.7,12.8,1.04,2.8,1.1,1.9,59.4,59.4
Shabazz Muhammad,MIN,82,2.1,20.2,1.19,2.5,0.9,1.6,58,59.9
Reggie Jackson,DET,79,2.7,13.2,0.98,2.6,0.9,1.9,49,53
Kawhi Leonard,SAS,72,2.4,12.8,1.21,2.8,1.1,1.9,57.5,62.3
Bradley Beal,WAS,55,3.1,17.5,1.18,3.7,1.3,2.6,50.7,59.4
Draymond Green,GSW,81,2.8,18.5,0.88,2.5,0.9,1.7,56,59.3
George Hill,IND,74,2.5,20.6,1.06,2.7,1.1,2,53.4,58.6
Jordan Clarkson,LAL,79,2.6,15.4,0.94,2.4,1,2.1,49.4,54
Robert Covington,PHI,67,2.8,20,1.03,2.8,0.9,2.1,41.5,53.9
Luol Deng,MIA,74,1.9,15.5,1.33,2.5,1,1.5,62.8,68.1
D'Angelo Russell,LAL,80,2.4,15.8,0.95,2.3,0.9,1.8,50,56.3
CJ Miles,IND,64,2.4,20.4,1.18,2.9,1,2,52,62.8
Damian Lillard,POR,75,2.7,10.5,0.91,2.4,0.8,1.9,42.7,50.7
Brandon Knight,PHX,52,2.8,12.9,1.22,3.5,1.4,2.2,62.3,68.4
Jimmy Butler,CHI,67,2.5,12.1,1.08,2.7,0.9,1.6,51.8,54.1
Julius Randle,LAL,81,2.1,15.8,1.04,2.2,0.8,1.4,59.6,60.1
Thaddeus Young,BKN,73,2.6,16.1,0.94,2.4,1.1,1.9,55.4,55.8
DeMar DeRozan,TOR,78,1.9,7.9,1.22,2.3,0.7,1.2,58.1,59.1
Matt Barnes,MEM,76,2.4,20.7,0.97,2.3,0.9,1.8,47.1,53.2
