PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Tobias Harris,PHI,73,2.3,13.7,1.19,2.7,1,1.7,60.3,66.3
Malcolm Brogdon,IND,36,2.6,13.7,1,2.6,1,2.2,45.6,51.3
Cory Joseph,DET,65,1.1,13.7,1.11,1.2,0.4,0.8,50,56.7
Justin Holiday,IND,49,1.5,13.7,1.01,1.5,0.6,1.2,45.8,56.8
Robert Covington,POR,48,1.2,13.7,0.86,1,0.4,1,38.3,50
Derrick White,BOS,26,1.5,13.7,1.18,1.8,0.6,1.2,51.6,54.8
Jayson Tatum,BOS,76,3.5,13.6,1.25,4.4,1.6,2.7,60.1,64.3
Nickeil Alexander-Walker,NOP,50,2.1,13.6,1.05,2.2,0.9,1.8,47.3,56
Caris LeVert,IND,39,2.6,13.6,1.01,2.7,1,2,49.4,53.9
Josh Richardson,BOS,44,1.3,13.6,1.34,1.7,0.6,1,60,71.1
Tomas Satoransky,NOP,32,0.6,13.6,0.84,0.5,0.2,0.3,50,50
Trae Young,ATL,76,3.7,13.5,1.08,4,1.3,2.6,49.7,56.8
Andrew Wiggins,GSW,73,2.3,13.5,1.23,2.8,1,1.7,60.7,72.5
Eric Paschall,UTA,58,0.7,13.5,0.95,0.7,0.2,0.5,40,43.3
Isaiah Livers,DET,19,0.8,13.5,2.33,1.8,0.6,0.6,91.7,133.3
Thomas Bryant,WAS,27,0.9,13.5,1.4,1.3,0.5,0.7,68.4,73.7
Dejounte Murray,SAS,68,3,13.4,1.22,3.7,1.5,2.4,62.2,66.5
Gabe Vincent,MIA,68,1.3,13.4,0.95,1.2,0.4,0.9,45.2,57.3
Juan Toscano-Anderson,GSW,73,0.6,13.4,1.04,0.6,0.2,0.4,56.7,56.7
Furkan Korkmaz,PHI,67,1.1,13.3,1.14,1.3,0.5,0.9,50,60.5
Jaren Jackson Jr.,MEM,78,2.2,13.2,1.05,2.3,0.7,1.8,40.1,48.2
Trey Burke,DAL,42,0.8,13.1,1,0.8,0.3,0.6,51.9,59.3
Armoni Brooks,HOU,41,0.9,12.9,1.06,0.9,0.3,0.8,45.2,56.5
Trey Lyles,SAC,24,1.2,12.9,1.14,1.4,0.5,1,56.5,67.4
Jeremy Lamb,SAC,17,1.1,12.9,0.94,1,0.3,0.9,33.3,36.7
Christian Wood,HOU,68,2.2,12.8,0.96,2.1,0.8,1.5,52,57.4
Domantas Sabonis,SAC,15,2.4,12.7,1.39,3.3,1.4,1.8,77.8,79.6
Jeremy Lamb,IND,39,0.9,12.7,1.19,1.1,0.4,0.8,45.2,58.1
Joe Harris,BKN,14,1.3,12.7,2.11,2.7,0.9,1.2,76.5,111.8
Lou Williams,ATL,56,0.9,12.6,1.04,0.9,0.3,0.6,44.1,54.4
Montrezl Harrell,WAS,46,1.4,12.5,1.49,2.1,0.8,1.1,78,79
Damion Lee,GSW,63,0.9,12.5,1.18,1.1,0.4,0.8,54,63
Montrezl Harrell,CHA,25,1.2,12.5,1.48,1.7,0.7,1,72,72
Brook Lopez,MIL,13,1.5,12.4,1.21,1.8,0.7,1.5,47.4,60.5
Wendell Carter Jr.,ORL,62,1.8,12.3,1.21,2.1,0.8,1.6,52.6,62.9
James Harden,PHI,21,2.6,12.3,1.11,2.9,0.8,1.6,48.5,57.6
D.J. Augustin,HOU,34,0.7,12.3,1.08,0.8,0.3,0.5,56.3,71.9
Jaylen Hoard,OKC,7,1.9,12.3,1.69,3.1,1.1,1.6,72.7,81.8
Caris LeVert,CLE,19,1.8,12.2,1.17,2.2,0.8,1.5,53.6,57.1
Kevin Love,CLE,74,1.5,12.1,1.25,1.9,0.6,1.4,45.2,64.4
Jeremiah Robinson-Earl,OKC,49,1,12.1,1.25,1.2,0.4,0.8,57.9,68.4
Terry Taylor,IND,33,1,12.1,1.06,1,0.5,0.7,62.5,62.5
Rajon Rondo,CLE,21,0.9,12.1,1.06,0.9,0.3,0.5,54.5,63.6
Mason Plumlee,CHA,73,0.8,12,1.37,1.1,0.5,0.6,86,86
Thanasis Antetokounmpo,MIL,35,0.4,12,0.93,0.4,0.1,0.3,50,50
Matt Thomas,CHI,40,0.5,12,0.72,0.3,0.1,0.4,13.3,20
Isaiah Stewart,DET,71,1,11.9,1.48,1.5,0.6,0.8,80.4,81.3
Anthony Gill,WAS,44,0.4,11.9,1.44,0.6,0.2,0.3,69.2,76.9
Elfrid Payton,PHX,51,0.5,11.9,0.68,0.4,0.2,0.5,39.1,39.1
Tony Snell,POR,38,0.3,11.9,0.61,0.2,0.1,0.3,33.3,33.3
Isaiah Joe,PHI,55,0.4,11.8,1,0.4,0.1,0.3,42.1,52.6
JaMychal Green,DEN,67,0.7,11.6,1.22,0.9,0.4,0.6,60,61.3
Zeke Nnaji,DEN,41,0.7,11.6,1.36,0.9,0.4,0.6,65.2,73.9
Duncan Robinson,MIA,79,1.2,11.5,1.24,1.5,0.5,1.1,44.4,62.2
Isaiah Jackson,IND,36,0.9,11.5,1.21,1.1,0.4,0.6,71.4,71.4
Joe Ingles,UTA,45,0.9,11.5,0.95,0.8,0.3,0.8,35.3,50
Anthony Davis,LAL,40,2.5,11.4,1.25,3.1,1.4,1.9,72,72.7
Jalen Brunson,DAL,79,1.7,11.3,1.09,1.9,0.7,1.4,53.6,59.5
Davis Bertans,WAS,34,0.6,11.3,0.82,0.5,0.2,0.6,36.8,47.4
Bradley Beal,WAS,40,2.8,11.2,1.14,3.1,1.2,2.2,53.9,58.4
Mike Muscala,OKC,43,0.7,11.2,1.09,0.8,0.3,0.7,44.8,58.6
Marvin Bagley III,SAC,30,1.1,11.2,0.84,0.9,0.3,0.7,40.9,43.2
Killian Tillie,MEM,36,0.4,11.1,0.69,0.3,0.1,0.4,30.8,30.8
Anfernee Simons,POR,57,1.8,11,1.02,1.9,0.7,1.5,46,57.5
Moritz Wagner,ORL,63,0.9,11,1.55,1.4,0.5,0.8,64.7,80.4
Jalen Smith,IND,22,1.3,11,1.39,1.8,0.8,1.3,60.7,69.6
Julius Randle,NYK,72,2.5,10.9,0.93,2.3,0.8,1.5,53.8,58
John Collins,ATL,54,1.6,10.9,1.2,1.9,0.7,1.3,57.1,65
Raul Neto,WAS,70,0.9,10.9,0.94,0.8,0.3,0.7,46.8,46.8
Blake Griffin,BKN,56,0.7,10.9,1.12,0.8,0.3,0.6,52.9,58.8
Karl-Anthony Towns,MIN,74,2.4,10.8,1.31,3.1,1.1,1.8,60.7,67.4
Mo Bamba,ORL,71,1.1,10.8,1.31,1.4,0.5,1,52.8,65.3
Trey Lyles,DET,51,1.1,10.8,1.22,1.3,0.4,0.8,56.4,59
Nic Claxton,BKN,47,0.8,10.7,1.62,1.3,0.6,0.7,84.4,84.4
Nemanja Bjelica,GSW,71,0.7,10.7,0.88,0.6,0.2,0.5,50,58.8
Marcus Morris Sr.,LAC,54,1.6,10.6,0.96,1.5,0.5,1.3,40,50
Damian Lillard,POR,29,2.6,10.5,0.84,2.2,0.7,1.8,38.5,48.1
Spencer Dinwiddie,WAS,44,1.5,10.5,0.74,1.1,0.4,1.3,30.4,38.4
Tre Mann,OKC,60,1.2,10.4,1.31,1.6,0.5,0.9,52.7,63.6
Kristaps Porzingis,DAL,35,1.9,10.4,1.23,2.3,0.8,1.5,51.9,62
Marvin Bagley III,DET,18,1.4,10.3,1.36,1.9,0.8,1.1,70,70
Trent Forrest,UTA,60,0.4,10.3,1,0.4,0.2,0.3,62.5,62.5
Olivier Sarr,OKC,22,0.6,10.3,1.21,0.8,0.2,0.5,50,65
Serge Ibaka,MIL,19,0.6,10.2,0.92,0.6,0.3,0.6,45.5,50
Dennis Schroder,BOS,49,1.6,10.1,0.82,1.3,0.5,1.1,41.8,43.6
Kemba Walker,NYK,37,1.2,10.1,1.02,1.2,0.4,1,44.4,54.2
Myles Turner,IND,42,1.2,10,1.2,1.4,0.5,0.9,56.4,65.4
Kristaps Porzingis,WAS,17,2,10,1.15,2.3,0.6,1.4,41.7,45.8
Bryn Forbes,DEN,35,0.8,10,0.96,0.8,0.3,0.7,36,48
Chris Paul,PHX,65,1.5,9.8,1.03,1.5,0.6,1.1,57.7,68.3
Admiral Schofield,ORL,38,0.4,9.8,1.2,0.5,0.2,0.4,50,64.3
P.J. Tucker,MIA,71,0.7,9.7,0.9,0.6,0.2,0.6,37.8,51.1
Rodney Hood,MIL,39,0.4,9.7,1.79,0.6,0.2,0.3,69.2,92.3
Clint Capela,ATL,74,0.9,9.6,1.35,1.3,0.6,0.8,77.2,77.2
Al Horford,BOS,69,0.9,9.6,0.89,0.8,0.3,0.8,41.1,46.4
Serge Ibaka,LAC,35,0.7,9.6,1.39,0.9,0.3,0.5,68.8,81.3
Alec Burks,NYK,81,1.1,9.5,1.33,1.4,0.4,0.8,50,62.9
DeMarcus Cousins,MIL,17,0.8,9.5,1.14,0.9,0.4,0.6,60,60
Joel Embiid,PHI,68,2.6,9.4,1.21,3.2,1,1.6,59.8,65.6
Richaun Holmes,SAC,45,0.8,9.4,1.43,1.2,0.4,0.6,76.9,76.9
Lance Stephenson,IND,40,1,9.4,1.03,1,0.3,0.6,54.2,58.3
Jock Landale,SAS,54,0.4,9.1,1.17,0.5,0.2,0.4,54.5,59.1
Evan Mobley,CLE,69,1.4,9,1.14,1.6,0.7,1.2,63,63.6
Daniel Gafford,WAS,72,0.7,9,1.46,1,0.4,0.5,76.9,76.9
Nikola Jokic,DEN,74,2.1,8.9,1.16,2.5,1,1.4,74.5,76
DeAndre Jordan,LAL,32,0.3,8.9,1.36,0.5,0.2,0.3,77.8,77.8
Wenyen Gabriel,LAL,19,0.6,8.7,1.18,0.7,0.2,0.4,57.1,64.3
Daniel Theis,BOS,21,0.6,8.6,1.08,0.6,0.3,0.5,54.5,59.1
Domantas Sabonis,IND,47,1.5,8.5,1.25,1.9,0.7,1,68.8,69.8
Khem Birch,TOR,55,0.4,8.5,1.32,0.5,0.2,0.3,68.8,68.8
Alex Len,SAC,39,0.5,8.5,1.05,0.6,0.2,0.4,53.3,53.3
Mike Conley,UTA,72,1.1,8.4,0.98,1.1,0.4,1,43.5,55.1
Marquese Chriss,DAL,34,0.4,8.4,1.36,0.6,0.2,0.3,70,75
Cody Zeller,POR,27,0.4,8.4,1.46,0.6,0.2,0.3,66.7,66.7
Isaiah Hartenstein,LAC,68,0.6,8.3,1.45,0.9,0.4,0.5,79.4,80.9
Naz Reid,MIN,77,0.7,8.3,1.08,0.7,0.3,0.5,51.2,59.8
Jalen Smith,PHX,29,0.5,8.2,1.07,0.6,0.2,0.4,41.7,45.8
Terrence Ross,ORL,63,0.9,8.1,0.73,0.6,0.2,0.7,29.8,36.2
DeMar DeRozan,CHI,76,2.1,8,1.2,2.5,0.8,1.3,62,63
Tony Bradley,CHI,52,0.2,7.8,1.33,0.3,0.2,0.2,72.7,72.7
Ivica Zubac,LAC,76,0.7,7.7,1.46,1.1,0.4,0.5,84.6,84.6
Robert Williams III,BOS,61,0.6,7.6,1.33,0.8,0.3,0.4,76.9,76.9
Dewayne Dedmon,MIA,67,0.5,7.6,1.52,0.7,0.3,0.4,58.6,75.9
Danilo Gallinari,ATL,66,0.8,7.5,1.26,1,0.3,0.7,46.8,62.8
Drew Eubanks,POR,22,0.9,7.4,1.1,1,0.5,0.8,58.8,61.8
JaVale McGee,PHX,74,0.6,7.3,1.18,0.7,0.3,0.5,64.7,64.7
Rudy Gobert,UTA,66,0.9,7.2,1.5,1.4,0.5,0.6,86.8,86.8
Onyeka Okongwu,ATL,48,0.5,7,1.46,0.7,0.3,0.4,78.9,78.9
Omer Yurtseven,MIA,56,0.4,7,1.23,0.5,0.2,0.3,73.3,73.3
Daniel Theis,HOU,26,0.6,7,1.06,0.7,0.3,0.5,61.5,65.4
Maxi Kleber,DAL,59,0.5,6.9,1.23,0.6,0.3,0.4,57.7,71.2
