PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Chris Paul,LAC,75,0.6,3.3,0.96,0.6,0.2,0.5,46.2,50
LeBron James,CLE,76,0.5,1.9,1.26,0.6,0.2,0.4,56.3,64.1
Trevor Ariza,HOU,81,0.5,3.9,1.07,0.5,0.2,0.4,44.4,55.6
Langston Galloway,NYK,82,0.7,8.1,0.79,0.5,0.2,0.6,38,42
Manu Ginobili,SAS,58,0.8,7.7,0.96,0.7,0.3,0.6,47.2,51.4
Kent Bazemore,ATL,75,0.8,6.8,0.68,0.6,0.2,0.6,30.4,37
Carmelo Anthony,NYK,72,0.6,2.6,0.98,0.6,0.3,0.5,48.7,51.3
J.J. Barea,DAL,74,0.6,5.1,0.95,0.6,0.2,0.5,48.6,54.3
Elfrid Payton,ORL,73,0.8,5.7,0.75,0.6,0.3,0.6,41.3,41.3
O.J. Mayo,MIL,41,1.1,11,0.91,1,0.4,0.9,41.7,48.6
Russell Westbrook,OKC,80,0.6,2.3,0.87,0.5,0.2,0.5,36.8,44.7
Marvin Williams,CHA,81,0.4,3.7,1.25,0.5,0.2,0.4,50,65
Mario Chalmers,MEM,55,0.7,6,1.08,0.7,0.2,0.4,47.8,54.3
Ben McLemore,SAC,68,0.6,6.3,1.05,0.6,0.2,0.5,48.4,56.5
Gerald Henderson,POR,72,0.7,7.4,0.82,0.6,0.2,0.5,42.1,47.4
Stanley Johnson,DET,73,0.7,6.7,0.78,0.5,0.2,0.6,34.1,42
Toney Douglas,NOP,61,0.7,7.4,0.95,0.6,0.2,0.6,39.5,48.7
Eric Gordon,NOP,45,1,6.6,0.87,0.9,0.3,0.8,40.5,47.3
Raul Neto,UTA,81,0.7,10.2,0.68,0.5,0.2,0.6,37,40.2
Ramon Sessions,WAS,82,0.4,3.5,1.28,0.5,0.1,0.2,57.9,57.9
Tyler Johnson,MIA,36,0.8,9.5,1.23,1,0.4,0.7,60,66
Darren Collison,SAC,74,0.5,3.4,1.09,0.5,0.2,0.4,45.5,48.5
Aaron Brooks,CHI,69,0.6,6.8,0.92,0.5,0.2,0.4,50,58.3
DeMarcus Cousins,SAC,65,0.7,2.5,0.77,0.6,0.2,0.6,30.8,33.3
Wesley Johnson,LAC,80,0.6,8.5,0.72,0.5,0.2,0.6,31.9,37.2
Rodney Stuckey,IND,58,0.9,8.7,0.71,0.6,0.3,0.7,37.5,37.5
Ricky Rubio,MIN,76,0.5,4,0.95,0.5,0.2,0.4,46.9,51.6
T.J. McConnell,PHI,81,0.6,7.4,0.76,0.4,0.2,0.4,44.1,45.6
