PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Isaiah Thomas,BOS,76,2.8,11.1,1.06,3,0.9,2,47,51.7
JJ Redick,LAC,78,2.6,19,0.99,3,0.9,2.2,42.4,53.5
CJ McCollum,POR,80,2,9.2,1.11,2,0.8,1.6,50.8,57
Damian Lillard,POR,75,2.4,9.5,0.96,2,0.8,1.9,42.3,50
Kentavious Caldwell-Pope,DET,76,2.1,14.9,1.04,2,0.7,1.7,41.1,48.4
Zach LaVine,MIN,47,3.3,18.5,1.03,3,1.3,2.9,47,56.3
Gordon Hayward,UTA,73,2.3,11.5,0.9,2,0.7,1.9,35.3,44.1
Nick Young,LAL,60,1.8,15.5,1.25,2,0.8,1.7,46.1,59.8
Nicolas Batum,CHA,77,1.6,9.9,1.04,2,0.4,1.1,37.2,47.7
Mike Conley,MEM,69,1.6,8.2,1.21,2,0.6,1.3,47.1,55.2
Kemba Walker,CHA,79,1.3,6,1.18,2,0.6,1.2,48.4,56.5
Evan Fournier,ORL,68,1.9,11.2,0.94,2,0.7,1.6,42.9,49.6
Andrew Wiggins,MIN,82,1.5,6.1,1.01,2,0.5,1.1,45.2,52.7
Tyler Johnson,MIA,73,1.7,12.1,0.94,2,0.6,1.4,43.3,49.5
Kawhi Leonard,SAS,74,1.4,6.3,1.05,2,0.6,1.2,49.4,51.7
D'Angelo Russell,LAL,63,1.6,9.1,1.09,2,0.6,1.4,44.8,55.7
Avery Bradley,BOS,55,2.4,14.5,0.84,2,0.9,2,42.9,47.3
Marco Belinelli,CHA,74,1.2,12.3,1.13,1,0.4,1,42.9,54.5
Jordan Clarkson,LAL,82,1.3,8.4,0.94,1,0.5,1.2,42.7,51.6
Eric Gordon,HOU,75,1.4,9,0.93,1,0.4,1.3,33,46.4
Tony Snell,MIL,80,1,13.1,1.22,1,0.4,0.9,46.7,63.3
Wayne Ellington,MIA,62,1.6,16.7,0.97,2,0.6,1.6,37.1,49
Nik Stauskas,PHI,80,1.4,13.7,0.86,1,0.4,1.1,40.5,49.4
Lou Williams,LAL,58,1.6,9.2,1.05,2,0.5,1.1,42.2,52.3
Kyrie Irving,CLE,72,1.3,5.5,1.01,1,0.4,1.1,38.2,43.4
Jamal Murray,DEN,82,1.1,10.2,1.01,1,0.4,0.9,47.2,52.8
Goran Dragic,MIA,73,1.2,6.1,0.97,1,0.5,1,48.6,55
