RANKING,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
157,Victor Oladipo,ORL,24,72,32,40,33,105,105.4,-0.4,18.2,1.84,18.7,2,12.1,7.1,10.1,48.9,53.4,22.4,97.87,11.1,4849
172,Arron Afflalo,NYK,30,71,27,44,33.4,104,107.4,-3.4,9.7,1.76,13.4,1,9.8,5.5,7.6,50,53.1,17.8,94.09,7.6,4650
172,Dwight Howard,HOU,30,71,34,37,32.1,106.5,105.6,0.9,7.1,0.59,9.1,10.3,26.1,18.2,15.5,62,60.4,18.4,98.27,12.8,4655
172,Ian Mahinmi,IND,29,71,41,30,25.6,102.9,99.3,3.6,9,1.04,13.8,7.6,19.7,13.7,13.2,58.9,60.3,15.7,98.76,11.1,3725
172,Patrick Beverley,HOU,27,71,35,36,28.7,108.9,105.4,3.5,17.5,2.63,24.8,3.5,8.7,6.1,9.4,53.9,55.3,15.3,98.35,7.6,4176
172,Thomas Robinson,BKN,25,71,16,55,12.9,96.6,110.3,-13.6,8,0.67,10.2,13.4,25.5,19,15.3,44.7,45.3,18.6,98.34,9.1,1867
177,Andre Roberson,OKC,24,70,48,22,22.2,110.9,101.7,9.2,3.9,1.34,12.3,5.3,10.2,7.9,9.2,55.5,56.6,9.2,98.05,5.8,3158
177,Andrew Bogut,GSW,31,70,62,8,20.7,112,97.9,14.1,14.5,1.95,29.6,8.6,22.9,16.3,15.2,62.9,62.3,11.5,100.41,10.6,3021
177,Channing Frye,CLE,33,70,35,35,17.1,106.8,102,4.8,8.6,1.65,14.9,3,17.2,10,9,56.9,58.6,15.3,94.29,8.8,2351
177,Chris Johnson,UTA,26,70,38,32,12.2,99.2,97.2,2,8.2,1.13,15.1,3.2,11.8,7.6,13.4,44.1,48.2,13.1,96.3,5.3,1702
177,Darrell Arthur,DEN,28,70,26,44,21.7,102.2,104,-1.8,10.2,1.45,14.2,5.5,13.2,9.3,9.8,49.8,51.4,16.5,97.63,7.9,3085
177,Nicolas Batum,CHA,27,70,41,29,35,107.5,103.5,4,26.2,1.97,26,2.2,14.8,8.6,13.2,50.6,54.6,20.9,96.9,11.6,4948
177,Rashad Vaughn,MIL,19,70,30,40,14.3,99.1,107.2,-8.1,5.5,1.39,11.5,1.1,7.7,4.4,8.3,38.5,39.8,13,96.34,2.4,2017
177,Rudy Gay,SAC,29,70,29,41,34,105.5,107,-1.5,7.8,0.86,8.8,4.3,14.5,9.4,10.1,50,53.8,22.2,101.1,10.1,5006
185,Aaron Brooks,CHI,31,69,36,33,16.1,102.3,102.3,0,26.5,2.2,23.7,1.8,6.8,4.3,10.8,47.1,49.4,22.5,97.72,7.3,2249
185,Dwight Powell,DAL,24,69,35,34,14.4,97.7,100,-2.3,7.7,1.1,10,8.2,18.8,13.5,9.1,49.7,55.7,17.5,99.18,11.7,2032
185,Gerald Green,MIA,30,69,40,29,22.6,103.7,102.9,0.9,5.7,1.22,7.7,1.7,8.5,5.2,6.4,46.3,49.1,19.2,95.15,6,3095
185,Kelly Olynyk,BOS,25,69,40,29,20.2,103.6,96.8,6.8,11.9,1.42,13.3,4.7,13.8,9.2,9.3,53.1,56.1,20.4,101.67,11.1,2963
185,Lance Stephenson,MEM,25,69,36,33,19.9,103.7,106.2,-2.5,15.2,1.41,17.8,2.9,13.5,8.1,12.6,51.3,54.8,19.4,97.24,9.8,2783
185,Omri Casspi,SAC,28,69,27,42,27.3,105.6,104.6,1,7.4,1.01,10.8,3,17.6,10.4,10.7,57.1,58.7,17.4,102.22,10.2,3990
191,Anthony Morrow,OKC,30,68,46,22,13.6,110.9,105.6,5.3,3.7,1.41,6.2,1.1,5.4,3.3,4.4,52.7,54.3,16.7,98.42,5.7,1905
191,Ben McLemore,SAC,23,68,28,40,21.2,105.8,104.6,1.2,7.6,0.8,11.7,2.3,7.6,5,14.6,50.2,53.1,17.2,103.23,4.8,3096
191,Emmanuel Mudiay,DEN,20,68,29,39,30.4,104.7,107.9,-3.1,28.1,1.71,23.4,1.5,9.7,5.5,13.7,40.4,43.7,25,98.31,6.8,4242
191,Kyle Singler,OKC,28,68,43,25,14.4,103.1,103.8,-0.6,3.5,0.75,8.1,4.8,8.7,6.8,10.8,45.7,48.1,11.3,100.09,3.1,2033
191,Leandro Barbosa,GSW,33,68,60,8,15.9,106,103.4,2.6,11.2,1.55,15.4,2.5,7.9,5.2,9.9,51.5,54.5,17.4,101.7,7.2,2278
191,Marco Belinelli,SAC,30,68,27,41,24.6,101,106.7,-5.7,11.7,1.59,14.2,0.6,6.4,3.4,9,45.7,50,19.3,101.06,6.3,3527
