RANKING,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Andrew Wiggins,MIN,23,82,47,35,36.3,112.5,108.9,3.5,8,1.16,9.2,2.8,9.4,6.1,7.9,48.1,50.5,22.8,97.56,7.6,6052
1,Bismack Biyombo,ORL,25,82,25,57,18.2,97.9,111.4,-13.6,7,0.79,11.5,9.1,20.9,14.9,14.7,52,55.6,14.6,97.92,9.8,3042
1,Bradley Beal,WAS,25,82,43,39,36.3,108.7,106.3,2.4,20.6,1.74,16.9,2.1,10.1,6.2,9.7,52.7,56.4,26.8,97.82,12.5,6081
1,Cory Joseph,IND,26,82,48,34,27,105.4,106.5,-1.1,16.4,2.99,26.2,1.7,10.1,5.9,8.8,47.9,50.3,14.3,97.89,7.8,4506
1,Darius Miller,NOP,28,82,48,34,23.7,108.1,108.7,-0.6,7.6,1.91,16.4,0.9,7,4.1,8.6,59.4,61.7,12.4,102.1,5.6,4137
1,Dillon Brooks,MEM,22,82,22,60,28.7,102.4,107.4,-5,9.2,1.09,12.3,2.1,9.2,5.6,11.3,50.1,53.1,18.4,95.9,6.3,4690
1,Dragan Bender,PHX,20,82,21,61,25.2,100.6,110.9,-10.3,8.9,1.16,17.4,1.8,14.9,8.2,15,50.8,52.4,12.5,102.2,5.8,4397
1,E'Twaun Moore,NOP,29,82,48,34,31.5,108.7,106.1,2.6,9.9,1.83,16.3,2.3,6.5,4.5,8.9,58.5,59.3,15.8,102.57,7.3,5528
1,Ish Smith,DET,29,82,39,43,24.9,106.8,105.9,0.8,27.3,3.33,27.3,1.3,9.5,5.4,8.2,50.7,52.5,20.3,98.58,10.6,4199
1,Jakob Poeltl,TOR,22,82,59,23,18.6,111.9,103.7,8.3,5.4,0.67,10.1,10.7,15,12.9,15.1,66,66.2,14.3,98.72,9.7,3129
1,Joe Ingles,UTA,30,82,48,34,31.4,107.7,102.4,5.3,22.2,2.47,30,1,12.5,6.8,12.2,60.9,62.3,15.6,97.56,10.7,5236
1,Julius Randle,LAL,23,82,35,47,26.7,107,108.4,-1.4,15.8,0.99,13.9,8.2,20.2,14.4,14.1,56.3,60.6,25.1,101.3,13.5,4615
1,Karl-Anthony Towns,MIN,22,82,47,35,35.6,115.3,109.2,6.1,10.5,1.25,11.7,8.5,27.2,17.9,9.3,59.6,64.6,22.5,96.15,16.5,5852
1,Khris Middleton,MIL,26,82,44,38,36.4,110.3,108.7,1.6,17.2,1.72,17,1.6,13.3,7.6,9.9,52.4,57.7,23.9,97.78,11.4,6074
1,Lance Stephenson,IND,27,82,48,34,22.6,106.1,109.4,-3.2,18.6,1.79,20.8,3.3,20.3,11.5,11.6,47.5,49.5,20.8,97.8,9.7,3776
1,LeBron James,CLE,33,82,50,32,36.9,113.7,112.1,1.6,43.2,2.15,25.8,3.3,20.1,11.9,12,59,62.1,31,99.12,19.1,6250
1,Marcin Gortat,WAS,34,82,43,39,25.3,107.4,105.3,2.1,10.3,1.53,17.1,8.9,21.3,15.1,11.2,51.8,54.6,15.3,98,10.4,4243
1,P.J. Tucker,HOU,33,82,65,17,27.8,114.8,103.4,11.4,4.7,1.04,12.4,4.1,16,10.1,12,52,53.7,10.3,98.82,5.9,4692
1,Pat Connaughton,POR,25,82,49,33,18.1,107.8,103.5,4.3,8.5,2.12,16.8,2.3,8,5.2,7.9,51.8,53.9,12.8,99.01,5.8,3073
1,Patrick Patterson,OKC,29,82,48,34,15.5,102.6,105.7,-3.1,6.8,1.73,15.1,2.4,12.8,7.4,8.7,52.3,55.5,11.2,96.4,7.4,2552
1,Patty Mills,SAS,29,82,47,35,25.7,107.8,105.3,2.6,15.8,2.16,21.5,1.2,6.1,3.6,10,52.3,55.8,17.2,97.02,7.5,4260
1,Raymond Felton,OKC,34,82,48,34,16.6,103.5,104.7,-1.3,25.5,2.67,23.9,1.8,9.7,5.6,9,47.9,49.4,21,95.93,10.1,2722
1,Taj Gibson,MIN,33,82,47,35,33.2,113.2,108.5,4.6,5.1,1.11,9.9,7.2,14.6,10.9,8.9,58.1,61,14.4,97.18,9.4,5513
1,Taurean Prince,ATL,24,82,24,58,30,103.8,111.4,-7.5,13.5,1.12,14.7,2,13.8,7.8,13.1,51.6,54.9,21.6,100.03,9,5145
1,Tyus Jones,MIN,22,82,47,35,17.9,110.8,105.2,5.6,21.5,3.93,35.6,1.1,8.3,4.7,9,52.6,57.2,12.4,97.49,9,2985
1,Yogi Ferrell,DAL,25,82,24,58,27.8,103.4,103.2,0.2,13.7,2.58,19.1,1.1,9.7,5.4,7.4,51.8,54,16.6,97.66,8.2,4638
27,Aron Baynes,BOS,31,81,54,27,18.3,104.1,97.7,6.5,9.5,1.16,14.2,8.6,19.6,14.1,12.3,47.4,50.2,16.6,96.78,8.7,2989
27,Ben Simmons,PHI,21,81,51,30,33.7,109.5,102.9,6.6,36.2,2.38,31.6,5.3,17.1,11.5,13.3,54.5,55.7,21.9,101.77,15.4,5793
27,CJ McCollum,POR,26,81,48,33,36.1,107.3,105.8,1.6,15.6,1.8,13.4,1.7,8.9,5.3,7.4,50.6,53.6,25.9,98.2,10.9,5993
27,Dejounte Murray,SAS,21,81,47,34,21.5,103,98.7,4.3,20.2,1.72,22.2,6.1,19.6,12.8,12.9,45.1,48.5,20.1,97.27,11.7,3532
27,Doug McDermott,DAL,26,81,30,51,21.8,103.9,105.1,-1.2,6.5,1.41,11.7,2.2,8.7,5.5,8.3,55.7,57.9,14.4,99.28,6.9,3661
27,Dwight Howard,CHA,32,81,35,46,30.4,109.6,108.2,1.4,6.9,0.5,7.1,10.1,29.5,19.9,14,55.6,57.7,23.8,99.41,13.6,5110
27,Jamal Murray,DEN,21,81,46,35,31.7,113.9,110.2,3.7,15.9,1.59,17.1,3.3,8.7,6,10.8,52.9,57.6,22.3,97.75,9.6,5237
27,Jerami Grant,OKC,24,81,48,33,20.3,106.5,104.7,1.7,5.5,1.06,8.5,5,14,9.4,8.1,57,60.7,16.1,98.37,10.1,3356
27,Jordan Clarkson,CLE,26,81,40,41,23.3,104.6,106.5,-1.9,19.3,1.74,16.1,2.9,8,5.5,9.3,50.9,54.2,25.3,101.14,11.5,3994
27,Josh Richardson,MIA,24,81,44,37,33.2,105,104.2,0.8,13.1,1.65,17.6,2.5,8,5.3,10.7,52.3,55.1,17.6,97.38,8.6,5456
27,Jrue Holiday,NOP,28,81,47,34,36.1,109.4,104.5,4.9,24.3,2.28,23.8,2.2,9.5,6,10.4,54.3,57,22.5,102.25,11.8,6242
27,Kelly Oubre Jr.,WAS,22,81,43,38,27.5,105.9,108.2,-2.4,6.7,1.09,9.1,2.6,13.6,8.1,8.3,48.2,53.4,18.8,99.49,7.9,4622
27,Pascal Siakam,TOR,24,81,59,22,20.7,111.2,102.3,8.9,13.3,2.37,21,4.8,16.8,10.9,8.9,53.7,54.9,15.4,98.4,10.2,3441
27,Thaddeus Young,IND,30,81,48,33,32.2,108.7,105,3.7,8.5,1.45,13.1,7.4,12.8,10.1,9,52.1,52.8,17.1,97.17,9,5285
27,Will Barton,DEN,27,81,46,35,33.1,110.7,108.6,2.1,18.5,2.22,20.7,2.6,12.6,7.5,9.3,52.8,56.2,20.1,98.63,10.9,5517
42,Bojan Bogdanovic,IND,29,80,47,33,30.8,106.4,104.9,1.5,7.1,1.12,10.3,1.2,9.7,5.5,9.1,56.5,60.5,18.5,98.36,9.1,5056
