RANKING,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Andrew Wiggins,MIN,22,82,31,51,37.2,111.1,111.3,-0.2,10.4,1.01,8.6,3.4,7.7,5.6,8.6,48.4,53.4,28.6,96.58,9.5,6131
1,Buddy Hield,SAC,24,82,31,51,23,102,107.9,-5.8,10.1,1.2,11.9,1.8,12,7,9.9,52.3,54.1,20.9,98.76,8.4,3892
1,Corey Brewer,LAL,31,82,47,35,15.6,108.8,104.6,4.2,10.4,1.76,18.3,2.4,10.4,6.3,10.4,46.1,49.1,14.3,100.67,5.7,2668
1,Elfrid Payton,ORL,23,82,29,53,29.4,106.6,109.2,-2.6,32.9,2.97,30.9,3.5,12,7.7,10.4,49.3,52,21.1,98.58,11.7,4945
1,Ersan Ilyasova,ATL,30,82,35,47,26.1,103.9,104.3,-0.4,10.7,1.22,11.4,5.2,16.3,10.8,9.4,51.1,54.6,21.6,100.62,10.6,4484
1,Gorgui Dieng,MIN,27,82,31,51,32.4,110.1,109.3,0.8,8.6,1.48,15.8,7.3,18.1,12.6,10.7,51.4,55.5,14,95.49,9.2,5275
1,Jamal Crawford,LAC,37,82,51,31,26.3,106.9,107.9,-1,15.9,1.6,16.5,0.8,5.1,3,10.3,47.9,52.5,22,98.66,7.9,4465
1,Jamal Murray,DEN,20,82,40,42,21.5,110.2,108,2.2,14.2,1.5,16.1,2.3,9.5,5.9,10.7,48.3,51.8,21.2,100.7,7.8,3700
1,Jeff Teague,IND,29,82,42,40,32.4,109,107.9,1.1,35.9,2.96,32.9,1.3,11.1,6.3,11.1,49.2,57.4,21.9,98.09,13.1,5425
1,Joe Ingles,UTA,29,82,51,31,24.1,108.5,104.4,4,16.8,2.1,27.6,1.3,12.3,7,13.1,58.9,60.4,13.5,94.45,9,3881
1,Jordan Clarkson,LAL,25,82,26,56,29.2,104.2,112.6,-8.3,14.3,1.3,14.1,2,8.3,5,10.8,50,52.6,22.8,100.47,8.4,5015
1,Justin Holiday,NYK,28,82,31,51,20,104.5,105.3,-0.8,9.5,1.55,13.8,1.6,11.4,6.5,8.9,52.3,54.9,16.6,98,9.2,3340
1,Karl-Anthony Towns,MIN,21,82,31,51,37,111.8,112.1,-0.3,12.7,1.04,10.5,10.1,24.7,17.3,10.1,57.6,61.8,27.1,95.73,17,6041
1,Marcin Gortat,WAS,33,82,49,33,31.2,112.1,108.6,3.5,6.5,1.02,12.3,9.3,24.3,16.8,12.1,57.9,59.3,14.6,98.44,10.9,5249
1,Marquese Chriss,PHX,19,82,24,58,21.3,104.3,113.8,-9.5,5.1,0.56,6.8,5.2,14.8,9.8,12.3,50.6,52.9,19.4,102.46,6.3,3709
1,Marreese Speights,LAC,29,82,51,31,15.7,105.3,106.3,-0.9,8.5,0.94,8.7,6.9,21.8,14.4,9.3,53.9,58.4,23.4,98.59,11.4,2637
1,Tobias Harris,DET,24,82,37,45,31.3,105.5,106.1,-0.5,8.7,1.48,10.2,2.4,14,8,6.9,53.2,56.8,21.4,96.57,11.3,5177
18,Andre Drummond,DET,23,81,36,45,29.7,104.3,109.9,-5.6,6,0.59,6.9,13.2,34.1,22.9,11.6,53.1,51.8,22.2,95.3,13.6,4780
18,Bismack Biyombo,ORL,24,81,29,52,22.1,100.3,108.9,-8.6,6.5,0.78,12.1,8.3,22.7,15.3,15.5,52.8,54.6,13.4,95.79,8.7,3561
18,Bojan Bogdanovic,WAS,28,81,23,58,25.7,104.1,110.9,-6.8,8.6,0.85,9.4,1.8,11.1,6.5,11.1,53,58.5,21.9,102.01,9.1,4443
18,Brandon Jennings,WAS,27,81,37,44,22.2,106.6,108.6,-2,30.8,3.09,35.1,1.5,8.9,5.2,11.4,43.3,47.9,17.2,98.85,8.9,3716
18,Dario Saric,PHI,23,81,28,53,26.3,100.6,106.8,-6.2,14.5,0.99,13.1,5.1,18.3,11.7,13.2,46.8,50.8,24,101.06,10.3,4468
18,DeAndre Jordan,LAC,28,81,51,30,31.7,114.7,105.8,8.9,5.4,0.83,9.8,12.2,30.5,21.7,11.7,71.4,67.3,15.2,97,15,5190
18,Domantas Sabonis,OKC,21,81,46,35,20.1,104.2,102.5,1.7,7.3,0.99,12.1,2.7,14.6,8.6,12.3,45.2,46.9,15.6,98.25,4.9,3320
18,Dorian Finney-Smith,DAL,24,81,33,48,20.3,103.2,105.5,-2.3,6.1,1.49,14.1,3.4,10.9,7.1,9.5,45.6,48.6,11.5,93.71,4.9,3184
18,Greg Monroe,MIL,27,81,42,39,22.5,111,107,4,16.5,1.34,16.2,9.9,20.8,15.5,12.1,53.3,57.2,23.8,96.33,13.9,3654
18,Ish Smith,DET,28,81,37,44,24.1,105.4,104.6,0.8,31.9,3.73,31.5,1,10.9,5.8,8.4,45.8,47.7,20.1,97.18,10.7,3966
18,James Harden,HOU,27,81,54,27,36.4,115.6,108.9,6.7,50.5,1.95,27.9,3.1,18.5,10.9,14.3,52.5,61.3,33.3,101.32,19,6223
18,Lou Williams,HOU,30,81,34,47,24.6,110.1,109.1,0.9,19.3,1.49,15.1,1.2,8.4,4.8,10.1,51.1,59.3,27.7,102.49,13.3,4260
18,Mason Plumlee,DEN,27,81,38,43,26.5,112.6,111.9,0.7,18.7,2.12,24.2,8,20,14.1,11.4,53.6,55.8,18,98.13,11.2,4377
18,Michael Kidd-Gilchrist,CHA,23,81,36,45,29,106.7,105.8,0.9,7.4,2.04,13,6.4,17.1,11.7,6.4,47.8,52.8,14.4,96.25,9.3,4689
18,Myles Turner,IND,21,81,42,39,31.4,109.1,106.4,2.8,6.5,1.01,8.8,5.9,17.2,11.9,8.7,53.4,58.5,19.5,97.52,11.2,5162
18,P.J. Tucker,TOR,32,81,35,46,27.6,105.7,107.2,-1.5,6.3,1.5,14.3,5,16,10.3,9.6,48.5,51.6,11.1,99.05,7.9,4610
