PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
LaMarcus Aldridge,SAS,75,9.4,43.4,0.99,9.3,3.7,7.8,46.9,46.9
Joel Embiid,PHI,63,9.4,39.7,0.97,9.1,3.1,6.2,50,50
Dwight Howard,CHA,81,6.2,36.3,0.83,5.1,1.9,4.1,47.1,47.1
Karl-Anthony Towns,MIN,82,4.1,22.5,1.02,4.2,1.7,3.2,51.9,51.9
Anthony Davis,NOP,75,4.7,18.7,0.97,4.5,1.7,3.6,47.6,47.6
Nikola Jokic,DEN,75,4.4,24.4,0.93,4.1,1.4,3.2,44.1,44.1
Marc Gasol,MEM,73,5.2,27.7,0.79,4.1,1.4,3.7,38.6,38.6
Kristaps Porzingis,NYK,49,5.6,24.8,0.96,5.4,1.9,4.3,43.4,43.4
Zach Randolph,SAC,60,4.9,31.8,0.86,4.2,1.8,3.9,45.9,45.9
Julius Randle,LAL,82,3.3,20.9,0.89,2.9,1.1,2.3,46,46
Brook Lopez,LAL,74,3.3,25.5,0.95,3.1,1.4,2.7,50.5,50.5
Harrison Barnes,DAL,77,3.2,16.8,0.94,3,1.1,2.4,45.7,45.7
Jusuf Nurkic,POR,79,3.5,22.3,0.77,2.7,1.1,2.6,42,42
Enes Freedom,NYK,71,3.1,23.9,0.96,3,1.3,2.3,54.9,54.9
Giannis Antetokounmpo,MIL,75,3.1,12.4,0.88,2.8,1.2,2.5,46.8,46.8
Al Horford,BOS,72,3.5,26.5,0.82,2.8,1.3,2.8,44.1,44.1
LeBron James,CLE,82,2.4,9.2,1.04,2.5,1.1,1.9,56.3,56.3
DeMarcus Cousins,NOP,48,4.4,16.6,0.88,3.9,1.3,2.8,47.8,47.8
Kevin Love,CLE,59,3.1,19.4,0.98,3,1.1,2.2,47.7,47.7
Jonas Valanciunas,TOR,77,2,17,1.09,2.2,0.8,1.5,57.1,57.1
Carmelo Anthony,OKC,78,2.5,14.4,0.84,2.1,0.8,1.9,41.4,41.4
Taj Gibson,MIN,82,1.8,15.9,1.12,2,0.9,1.4,62.9,62.9
Michael Beasley,NYK,74,2.3,16.8,0.94,2.2,0.9,1.9,50,50
Dirk Nowitzki,DAL,77,2.1,19.1,0.97,2.1,0.8,1.7,46.9,46.9
Blake Griffin,LAC,33,5.3,22.7,0.87,4.6,1.7,3.8,44.4,44.4
Montrezl Harrell,LAC,76,1.9,20.9,1.01,2,0.9,1.6,54.5,54.5
Andrew Wiggins,MIN,82,1.9,9.9,0.95,1.8,0.8,1.5,51.6,51.6
Hassan Whiteside,MIA,54,2.9,21,0.93,2.7,1.1,2.3,47.2,47.2
Markieff Morris,WAS,73,2.1,18,0.88,1.9,0.8,1.7,47.2,47.2
Andre Drummond,DET,78,2.1,13.1,0.83,1.8,0.7,1.6,44.4,44.4
Rondae Hollis-Jefferson,BKN,68,2.2,15,0.93,2,0.7,1.6,44.4,44.4
Kevin Durant,GSW,68,2,8.7,0.97,2,0.8,1.5,50.5,50.5
Willie Cauley-Stein,SAC,73,2.2,16.1,0.84,1.8,0.7,1.7,43.4,43.4
Russell Westbrook,OKC,80,2,7,0.83,1.7,0.6,1.5,38,38
Nikola Vucevic,ORL,57,3.2,18.3,0.74,2.3,1,2.6,39.6,39.6
Bobby Portis,CHI,73,1.9,14.1,0.94,1.8,0.7,1.4,50.5,50.5
Khris Middleton,MIL,82,1.5,7.8,0.98,1.5,0.7,1.3,53.4,53.4
Steven Adams,OKC,76,1.4,11.2,1.08,1.6,0.7,1.1,60.7,60.7
Blake Griffin,DET,25,4.9,23.3,0.94,4.6,1.8,4,46.5,46.5
Evan Turner,POR,79,1.4,15.8,0.96,1.4,0.6,1.2,50,50
Al Jefferson,IND,36,2.7,40.8,1.09,3,1.3,2.4,54.7,54.7
DeMar DeRozan,TOR,80,1.6,7,0.83,1.3,0.5,1.3,38.6,38.6
Pau Gasol,SAS,77,1.7,15.9,0.8,1.4,0.5,1.2,39.4,39.4
Rudy Gay,SAS,57,1.9,16.1,0.94,1.8,0.8,1.6,47.8,47.8
Paul Millsap,DEN,38,2.9,18.8,0.92,2.6,0.9,2.1,45,45
Robin Lopez,CHI,64,1.7,13.7,0.92,1.5,0.8,1.5,52.1,52.1
Domantas Sabonis,IND,74,1.6,13.2,0.81,1.3,0.5,1.1,48.2,48.2
Marcin Gortat,WAS,82,1.5,16.6,0.79,1.2,0.5,1.3,40.4,40.4
Myles Turner,IND,65,1.5,11.7,0.96,1.4,0.5,1.1,47.9,47.9
Trey Lyles,DEN,73,1.2,13.1,1.04,1.3,0.5,0.9,55.9,55.9
Marcus Morris Sr.,BOS,54,1.8,13.1,0.95,1.7,0.6,1.4,45.5,45.5
Lauri Markkanen,CHI,68,1.6,11,0.81,1.3,0.5,1.3,41.6,41.6
Ben Simmons,PHI,81,1.6,9.2,0.69,1.1,0.5,1.1,42.5,42.5
Jimmy Butler,MIN,59,1.7,8.3,0.89,1.5,0.5,1.3,41.6,41.6
Aaron Gordon,ORL,58,1.7,9,0.91,1.5,0.6,1.3,47.3,47.3
