PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Harrison Barnes,SAC,28,2.6,19.1,0.97,2.5,0.8,1.8,45.1,45.1
Dirk Nowitzki,DAL,51,1.6,20.2,0.84,1.4,0.6,1.4,44.3,44.3
Zach Collins,POR,77,0.9,13.8,0.94,0.9,0.4,0.8,50,50
Rudy Gobert,UTA,81,0.9,7,0.92,0.9,0.3,0.5,55,55
Jaylen Brown,BOS,74,1.1,8.1,0.86,0.9,0.4,0.8,50.9,50.9
Bobby Portis,CHI,22,3.3,22.5,0.93,3.1,1.2,2.4,50.9,50.9
Kelly Olynyk,MIA,79,0.7,7.6,1.14,0.8,0.3,0.4,68.6,68.6
Jonas Valanciunas,TOR,30,1.9,16.7,1.1,2.1,0.8,1.4,53.5,53.5
JaVale McGee,LAL,75,1,8.9,0.81,0.8,0.4,0.8,47.5,47.5
Kevin Love,CLE,23,3,18.8,0.83,2.5,0.6,1.9,30.2,30.2
Boban Marjanovic,LAC,36,1.6,25.7,1.02,1.6,0.6,1.1,57.9,57.9
Jabari Parker,CHI,39,1.2,7.8,1.2,1.4,0.6,0.8,66.7,66.7
DeAndre Jordan,DAL,50,1.3,12.7,0.82,1.1,0.3,0.7,48.6,48.6
Jimmy Butler,PHI,55,1.3,7.2,0.8,1,0.3,1,31.5,31.5
Wendell Carter Jr.,CHI,44,2,18.1,0.63,1.3,0.5,1.6,28.2,28.2
Maurice Harkless,POR,60,1,12.6,0.93,0.9,0.4,0.8,51.1,51.1
Dario Saric,MIN,68,1.1,10.9,0.72,0.8,0.3,0.7,38.8,38.8
Bojan Bogdanovic,IND,81,0.8,4.7,0.84,0.6,0.2,0.6,38,38
Boban Marjanovic,PHI,22,2.1,29.7,1.02,2.2,0.9,1.6,55.6,55.6
Marc Gasol,TOR,26,2.3,23.9,0.8,1.8,0.8,1.8,43.5,43.5
Chris Paul,HOU,59,0.8,5,0.94,0.8,0.3,0.7,48.7,48.7
Jabari Parker,WAS,25,1.6,10.6,1.07,1.8,0.7,1.2,60,60
Bam Adebayo,MIA,82,0.6,7.2,0.86,0.5,0.2,0.4,45.7,45.7
JaMychal Green,MEM,41,1.4,13.7,0.79,1.1,0.4,1,41,41
Tristan Thompson,CLE,43,1.6,13.8,0.65,1,0.5,1.2,39.2,39.2
Marvin Williams,CHA,75,0.6,6.4,0.92,0.6,0.3,0.6,48.8,48.8
Bogdan Bogdanovic,SAC,70,0.6,3.7,1.08,0.6,0.2,0.4,51.7,51.7
Bobby Portis,WAS,28,1.9,12.9,0.78,1.5,0.6,1.5,41.5,41.5
Nemanja Bjelica,SAC,77,0.6,6.3,0.89,0.5,0.2,0.4,46.9,46.9
Ivan Rabb,MEM,49,0.7,12.9,1.08,0.8,0.4,0.6,62.1,62.1
Willy Hernangomez,CHA,58,0.8,10.5,0.89,0.7,0.2,0.5,48.1,48.1
Larry Nance Jr.,CLE,67,0.7,7.8,0.78,0.6,0.2,0.5,41.2,41.2
Derrick Favors,UTA,76,0.4,3.7,1.17,0.5,0.2,0.3,59.1,59.1
Marcus Smart,BOS,80,0.5,5.3,0.88,0.4,0.1,0.3,45.8,45.8
Frank Kaminsky,CHA,47,0.5,6.5,1.36,0.7,0.3,0.4,66.7,66.7
Markieff Morris,OKC,23,1.6,21.2,0.94,1.5,0.7,1.4,48.5,48.5
Ivica Zubac,LAL,33,1.1,14.4,0.92,1,0.5,0.8,53.6,53.6
Gorgui Dieng,MIN,77,0.5,8.3,0.85,0.4,0.2,0.5,45.7,45.7
Rondae Hollis-Jefferson,BKN,59,0.7,6.8,0.77,0.6,0.2,0.5,38.7,38.7
Tobias Harris,PHI,27,1.2,6.8,0.97,1.2,0.5,1,50,50
Carmelo Anthony,HOU,10,2.2,15.7,1.41,3.1,1.5,1.9,78.9,78.9
Ivica Zubac,LAC,26,1.4,14.7,0.84,1.2,0.5,1,48.1,48.1
Rodney Hood,POR,27,0.9,9.2,1.3,1.1,0.5,0.7,68.4,68.4
Jakob Poeltl,SAS,77,0.4,8.7,0.91,0.4,0.2,0.3,52.2,52.2
James Harden,HOU,78,0.3,0.9,1.21,0.4,0.1,0.2,64.7,64.7
Kyrie Irving,BOS,67,0.4,1.7,1.16,0.4,0.2,0.3,50,50
Richaun Holmes,PHX,70,0.4,5.9,1,0.4,0.1,0.3,50,50
Maxi Kleber,DAL,71,0.4,6.3,0.97,0.4,0.1,0.3,50,50
Shaun Livingston,GSW,64,0.5,11.8,0.91,0.5,0.2,0.4,44.4,44.4
Zach LaVine,CHI,63,0.6,2.7,0.7,0.4,0.2,0.5,34.5,34.5
Greg Monroe,TOR,38,1.3,22.4,0.56,0.7,0.3,0.9,33.3,33.3
Jrue Holiday,NOP,67,0.4,1.8,1.04,0.4,0.1,0.3,38.9,38.9
Emmanuel Mudiay,NYK,59,0.5,2.8,1,0.5,0.2,0.4,52.2,52.2
DeAndre Jordan,NYK,19,1.4,13.8,1,1.4,0.6,1,57.9,57.9
Zaza Pachulia,DET,68,0.4,7.8,1.08,0.4,0.1,0.2,58.3,58.3
Luol Deng,MIN,22,0.7,11,1.56,1.1,0.4,0.5,81.8,81.8
Draymond Green,GSW,66,0.5,5.6,0.71,0.4,0.2,0.3,47.6,47.6
Vince Carter,ATL,76,0.5,6.8,0.64,0.3,0.1,0.4,34.4,34.4
