PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Draymond Green,GSW,70,0.6,4.5,0.88,0.5,0.2,0.5,39.4,40.9
Tomas Satoransky,WAS,73,0.3,4.5,0.78,0.2,0.1,0.2,38.5,38.5
Karl-Anthony Towns,MIN,82,0.8,4.4,1.03,0.8,0.3,0.6,44.2,46.2
Klay Thompson,GSW,73,0.8,4.4,0.85,0.7,0.3,0.7,40.8,46.9
Bobby Portis,CHI,73,0.6,4.4,0.91,0.5,0.2,0.5,46.2,46.2
Tyus Jones,MIN,82,0.2,4.3,0.56,0.1,0.1,0.2,31.3,31.3
Royce O'Neale,UTA,68,0.2,4.3,0.56,0.1,0,0.2,25,29.2
Ricky Rubio,UTA,77,0.6,4.2,1,0.6,0.2,0.5,43.2,47.3
Jerami Grant,OKC,81,0.3,4.2,0.92,0.3,0.1,0.2,50,53.1
Pat Connaughton,POR,82,0.2,4.2,0.9,0.2,0.1,0.2,37.5,46.9
Marreese Speights,ORL,52,0.3,4.1,0.88,0.3,0.1,0.2,27.3,31.8
Sam Dekker,LAC,73,0.2,4.1,1,0.2,0.1,0.1,44.4,50
Nikola Jokic,DEN,75,0.7,4,1.24,0.9,0.3,0.5,58.5,65.9
Dwight Howard,CHA,81,0.7,4,0.91,0.6,0.2,0.5,50,50
Lonzo Ball,LAL,52,0.6,4,0.76,0.4,0.2,0.5,36,44
Marquese Chriss,PHX,72,0.4,4,0.81,0.3,0.1,0.3,47.4,47.4
Nick Young,GSW,80,0.3,4,0.82,0.2,0.1,0.3,35,42.5
Evan Fournier,ORL,57,0.7,3.9,1,0.7,0.2,0.5,46.4,50
Bojan Bogdanovic,IND,80,0.5,3.9,0.56,0.3,0.1,0.4,21.2,24.2
Justise Winslow,MIA,68,0.4,3.9,0.54,0.2,0.1,0.3,31.6,31.6
Jordan Bell,GSW,57,0.2,3.9,0.9,0.2,0,0.1,25,25
Kevon Looney,GSW,66,0.2,3.9,0.6,0.1,0,0.1,33.3,33.3
Otto Porter Jr.,WAS,77,0.5,3.8,0.77,0.4,0.1,0.4,32.4,35.3
Michael Kidd-Gilchrist,CHA,74,0.4,3.8,1.04,0.4,0.1,0.3,52.6,52.6
Jarell Martin,MEM,73,0.3,3.8,0.83,0.3,0.1,0.3,40,40
Maurice Harkless,POR,59,0.2,3.8,0.14,0,0,0.2,8.3,8.3
Denzel Valentine,CHI,77,0.4,3.6,0.83,0.3,0.1,0.3,47.8,54.3
JaMychal Green,MEM,55,0.4,3.6,0.59,0.2,0.1,0.4,25,27.5
Cristiano Felicio,CHI,55,0.2,3.6,0.73,0.1,0.1,0.1,42.9,42.9
Al Horford,BOS,72,0.5,3.5,1.12,0.5,0.2,0.4,48.3,50
Kelly Oubre Jr.,WAS,81,0.4,3.5,0.79,0.3,0.1,0.3,30.8,32.7
Kelly Olynyk,MIA,76,0.4,3.5,0.83,0.3,0.1,0.3,34.8,37
Manu Ginobili,SAS,65,0.3,3.5,0.68,0.2,0.1,0.3,28.6,33.3
Mason Plumlee,DEN,74,0.3,3.5,0.63,0.2,0.1,0.2,38.5,38.5
Gary Harris,DEN,67,0.6,3.4,0.78,0.4,0.1,0.5,27.3,31.8
Darius Miller,NOP,82,0.2,3.4,0.84,0.2,0.1,0.2,47.1,47.1
Hassan Whiteside,MIA,54,0.5,3.4,0.64,0.3,0.1,0.4,30.4,30.4
Nemanja Bjelica,MIN,67,0.2,3.4,0.73,0.2,0.1,0.2,35.7,39.3
Lance Thomas,NYK,73,0.2,3.3,0.18,0,0,0.1,10,10
Patty Mills,SAS,82,0.3,3.2,1.44,0.5,0.2,0.3,66.7,77.1
Dario Saric,PHI,78,0.5,3.2,1,0.5,0.2,0.4,46.9,46.9
Kentavious Caldwell-Pope,LAL,74,0.4,3.2,1.03,0.4,0.1,0.4,37.9,43.1
E'Twaun Moore,NOP,82,0.4,3.2,0.94,0.4,0.2,0.4,48.3,50
Dirk Nowitzki,DAL,77,0.4,3.2,0.81,0.3,0.1,0.3,38.5,38.5
Devin Harris,DAL,44,0.3,3.2,1,0.3,0,0.2,25,25
LaMarcus Aldridge,SAS,75,0.7,3.1,0.72,0.5,0.2,0.5,32.4,32.4
Allen Crabbe,BKN,75,0.4,3.1,1.07,0.4,0.2,0.3,46.2,51.9
Kevin Love,CLE,59,0.5,3,0.86,0.4,0.2,0.4,40.9,40.9
Luc Mbah a Moute,HOU,61,0.2,3,1.5,0.3,0.1,0.1,85.7,85.7
Nikola Mirotic,NOP,30,0.4,3,1.15,0.5,0.2,0.4,53.8,57.7
Vince Carter,SAC,58,0.2,3,0.6,0.1,0.1,0.2,33.3,33.3
Alex Abrines,OKC,75,0.1,3,0.3,0,0,0.1,0,0
Jonas Valanciunas,TOR,77,0.3,2.9,1.11,0.4,0.2,0.3,63.6,65.9
Nikola Vucevic,ORL,57,0.5,2.9,0.9,0.5,0.2,0.4,52.2,52.2
Milos Teodosic,LAC,45,0.3,2.9,1.21,0.4,0.1,0.3,41.7,62.5
Avery Bradley,DET,40,0.5,2.9,0.65,0.3,0.1,0.5,27.8,27.8
Tony Snell,MIL,75,0.2,2.9,0.5,0.1,0,0.1,30,30
Lauri Markkanen,CHI,68,0.4,2.8,0.75,0.3,0.1,0.4,41.7,43.8
Josh Hart,LAL,63,0.2,2.8,0.69,0.1,0,0.2,25,29.2
Jae Crowder,UTA,27,0.4,2.8,0.5,0.2,0.1,0.3,22.2,27.8
Montrezl Harrell,LAC,76,0.3,2.7,1.47,0.4,0.2,0.2,72.2,72.2
Brook Lopez,LAL,74,0.3,2.6,1.16,0.4,0.1,0.2,55.6,58.3
John Collins,ATL,74,0.3,2.6,0.84,0.2,0.1,0.2,43.8,43.8
Mike Scott,WAS,76,0.2,2.5,1.31,0.3,0.1,0.2,62.5,62.5
Bam Adebayo,MIA,69,0.2,2.5,1,0.2,0.1,0.1,50,50
