PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
James Harden,BKN,36,8,33.6,1.09,8.7,2.7,6.2,43.5,53.1
James Harden,HOU,8,6,24.7,1.02,6.1,2.1,4.9,43.6,53.8
Russell Westbrook,WAS,65,6.4,24,0.78,5,1.9,4.8,39.5,40.8
John Wall,HOU,40,5.5,22.9,0.88,4.8,1.8,4.5,39.3,43
Julius Randle,NYK,71,5.5,22.7,0.9,5,1.9,4.6,42,44.9
Shai Gilgeous-Alexander,OKC,35,5,22.7,0.98,4.9,1.7,4,43.2,47.8
Jeff Teague,MIL,21,1.3,20,0.79,1,0.4,1,38.1,38.1
Carmelo Anthony,POR,69,2.6,19.4,1.03,2.6,0.9,2.1,43.4,47.2
Damian Lillard,POR,67,4.9,19.1,1.11,5.5,1.6,3.7,44.2,53.4
Jayson Tatum,BOS,64,4.7,18.6,0.82,3.9,1.4,4.1,34,40.5
LeBron James,LAL,45,4.4,18.1,0.84,3.7,1.4,3.7,38.7,45.2
Giannis Antetokounmpo,MIL,62,4.5,17.8,1.07,4.8,1.7,3.4,49.1,53.3
Kyrie Irving,BKN,54,4.3,17.6,1.11,4.8,1.9,3.9,50.5,55.8
Kawhi Leonard,LAC,52,3.7,17,0.94,3.5,1.3,3.1,42.1,44.3
Luka Doncic,DAL,66,4.6,16.7,1.05,4.8,1.7,3.7,46.3,55.5
Mike James,BKN,13,1.6,16.7,0.52,0.8,0.2,1.3,17.6,23.5
Austin Rivers,NYK,21,1.2,15.9,1.42,1.8,0.6,1,59.1,79.5
Jeff Teague,BOS,34,1.2,15.7,1.05,1.2,0.4,0.9,51.7,56.9
Chris Paul,PHX,70,2.5,15.6,1.05,2.6,1,2.3,44.9,51.6
DeMar DeRozan,SAS,61,3,15.2,1.2,3.6,1.3,2.4,54.7,55.1
Pascal Siakam,TOR,56,3.3,15.1,0.94,3.1,1.2,2.6,45.2,45.5
Paul George,LAC,54,3.3,14.7,1.07,3.6,1.3,2.8,47,55
CJ McCollum,POR,47,3,14.2,1.09,3.3,1.3,2.8,46.9,53.5
