PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Klay Thompson,GSW,78,6.9,34.2,1.05,7.3,2.8,6.4,43.8,54.4
Joe Harris,BKN,76,3.7,30.1,1.29,4.7,1.7,3.1,55.5,69.1
Allen Crabbe,BKN,43,3,29.7,0.88,2.7,1,2.8,34.2,45
Kyle Korver,CLE,16,1.8,28.6,1.29,2.3,0.8,1.7,44.4,64.8
Dairis Bertans,NOP,12,1.2,28.6,0.64,0.8,0.3,1.2,21.4,32.1
Landry Shamet,LAC,25,2.7,28,1.12,3,1,2.4,41.7,58.3
Reggie Bullock,LAL,19,2.5,27.8,1.08,2.7,1.1,2.4,46.7,55.6
Terrence Ross,ORL,81,3.7,25.8,0.97,3.6,1.4,3.4,40.5,48.2
Svi Mykhailiuk,LAL,39,1.1,25.6,0.66,0.7,0.3,0.9,28.6,38.6
John Jenkins,NYK,22,1.3,24.6,0.97,1.3,0.5,1.2,38.5,44.2
Kyle Korver,UTA,54,2,23.6,0.89,1.8,0.7,1.9,37.6,47.5
Bojan Bogdanovic,IND,81,3.5,21.8,1.08,3.8,1.3,2.9,46.4,53.6
Doug McDermott,IND,77,1.4,21.3,0.96,1.3,0.5,1.2,36.8,47.9
Stephen Curry,GSW,69,4.8,20.1,1.29,6.1,2,4.4,46.7,64.1
Ryan Broekhoff,DAL,42,0.7,20,1.07,0.8,0.2,0.6,38.5,53.8
CJ Miles,MEM,13,1.8,20,0.83,1.5,0.6,1.8,33.3,41.7
CJ Miles,TOR,40,1.2,19.8,0.85,1,0.3,1.1,30.2,38.4
Justin Holiday,CHI,38,2.3,19.2,1.11,2.6,0.9,2.1,42,56.8
Wesley Matthews,DAL,44,2.5,19.1,1.25,3.1,1,2.2,47.4,63.9
Tim Hardaway Jr.,DAL,19,3.1,18.9,0.9,2.7,1.1,2.6,40,49
Kentavious Caldwell-Pope,LAL,82,2,18.7,0.88,1.8,0.7,1.7,38.5,46.5
Darius Miller,NOP,69,1.5,18.7,1.08,1.7,0.6,1.4,41.2,55.2
Damion Lee,GSW,32,0.8,18.4,0.96,0.8,0.3,0.8,38.5,46.2
Damyean Dotson,NYK,73,1.9,17.2,0.8,1.5,0.6,1.7,32.3,39.8
Troy Daniels,PHX,51,1,16.5,0.98,1,0.3,0.9,36.4,46.6
E'Twaun Moore,NOP,53,1.8,15.9,0.99,1.8,0.8,1.6,49.4,54.6
JR Smith,CLE,11,1.4,15.8,0.6,0.8,0.3,1.3,21.4,32.1
JJ Redick,PHI,76,2.5,15.3,1.09,2.7,0.9,2,42.9,53.9
Gerald Green,HOU,73,1.3,14.3,0.93,1.2,0.4,1.2,33.3,44.6
Wayne Ellington,MIA,25,1.2,14.3,0.9,1,0.4,1.2,31,44.8
Justin Holiday,MEM,44,1.5,14.1,0.74,1.1,0.4,1.4,29.5,36.9
Evan Fournier,ORL,81,2.2,14,0.98,2.2,0.9,2,44.8,49.7
Nik Stauskas,POR,44,0.9,14,0.78,0.7,0.3,0.8,38.2,45.6
Harrison Barnes,DAL,49,2.4,13.6,1.01,2.4,0.9,2.2,38.9,51.4
Landry Shamet,PHI,54,1,13.6,1.13,1.1,0.4,0.9,42.9,60.2
Danny Green,TOR,80,1.2,13.4,0.88,1.1,0.4,1.1,36,47.8
Wesley Matthews,IND,23,1.5,13.4,0.57,0.9,0.3,1.3,23.3,33.3
Ian Clark,NOP,60,1,13.2,0.73,0.7,0.3,0.9,36.5,41.3
Wayne Ellington,DET,28,1.5,13.1,0.95,1.4,0.5,1.4,35,47.5
Ryan Anderson,PHX,15,0.7,12.7,0.7,0.5,0.2,0.5,42.9,50
Kevin Love,CLE,23,2,12.6,0.96,2,0.6,1.9,32.6,46.5
Bradley Beal,WAS,82,3,12.5,0.93,2.8,1,2.6,39.8,45.7
Avery Bradley,MEM,14,2,12.3,1,2,0.7,1.7,41.7,45.8
Nik Stauskas,CLE,24,0.7,12,1.56,1,0.3,0.5,58.3,75
Seth Curry,POR,74,0.9,11.9,0.89,0.8,0.3,0.8,36.7,46.7
Buddy Hield,SAC,82,2.3,11.8,1.1,2.5,0.9,2.1,43.8,56.2
Josh Hart,LAL,67,1,11.8,0.83,0.8,0.3,0.9,33.9,44.1
Jake Layman,POR,71,0.8,11.7,0.9,0.7,0.3,0.7,38.5,47.1
Joe Ingles,UTA,82,1.5,11.6,1.02,1.5,0.5,1.3,42.3,56.7
Reggie Bullock,DET,44,1.3,11.3,1.24,1.6,0.5,1.2,44.2,59.6
Alex Abrines,OKC,31,0.6,11.3,0.85,0.5,0.2,0.5,35.3,44.1
Tim Hardaway Jr.,NYK,46,2.2,11.2,0.89,2,0.7,1.9,34.8,41
Quinn Cook,GSW,74,0.7,11,1.04,0.8,0.3,0.7,46,55
Terry Rozier,BOS,79,1.1,10.7,1,1.1,0.3,1,35.5,49.3
Gordon Hayward,BOS,72,1.2,10.7,0.85,1,0.4,1,42.3,48.6
Devin Harris,DAL,68,0.7,10.2,1.06,0.7,0.2,0.5,34.3,47.1
Kyrie Irving,BOS,67,2.3,10.1,1.03,2.4,0.9,2,44.4,54.8
Tyler Dorsey,MEM,21,1,10.1,1.05,1,0.4,1,42.9,52.4
Donte DiVincenzo,MIL,27,0.6,10.1,0.8,0.4,0.1,0.6,26.7,40
CJ McCollum,POR,70,2,10,1.09,2.2,0.9,1.9,47.7,53.8
Mike Conley,MEM,70,2,9.9,1.11,2.2,0.8,1.8,42.9,55.6
Langston Galloway,DET,80,0.8,9.9,0.88,0.7,0.3,0.8,34.4,45.1
Paul George,OKC,76,2.6,9.8,1.1,2.8,0.9,2.2,41.9,56
Marco Belinelli,SAS,79,1,9.7,0.94,0.9,0.4,0.9,38.9,47.2
Dillon Brooks,MEM,18,0.8,9.7,1.07,0.9,0.3,0.7,41.7,50
Pat Connaughton,MIL,61,0.6,9.5,1.1,0.7,0.2,0.5,42.4,54.5
Malik Monk,CHA,73,0.9,9.4,0.85,0.8,0.2,0.8,28.8,39.8
Nikola Mirotic,NOP,32,1.4,9.4,1.22,1.8,0.6,1.3,44.2,62.8
Khris Middleton,MIL,77,1.7,9.2,0.94,1.6,0.6,1.5,37.4,47.8
Kevin Durant,GSW,78,2.1,8.9,1.1,2.3,0.9,1.8,51.8,57.9
Jeremy Lamb,CHA,79,1.3,8.9,1.09,1.4,0.6,1.3,47.5,55.1
Devin Booker,PHX,64,2.3,8.8,0.95,2.2,0.9,2.1,41.2,49.6
Otto Porter Jr.,CHI,15,1.4,8.8,0.76,1.1,0.3,1.3,26.3,34.2
Bogdan Bogdanovic,SAC,70,1.3,8.6,0.88,1.1,0.4,1.1,34.2,42.4
Tyler Johnson,MIA,44,1,8.6,0.81,0.8,0.3,0.9,34.2,43.4
Sterling Brown,MIL,58,0.6,8.5,1.06,0.6,0.2,0.4,48,60
Danilo Gallinari,LAC,68,1.4,8.4,1.21,1.7,0.6,1.4,44.1,59.1
Kelly Oubre Jr.,WAS,29,1.1,8.4,1.29,1.4,0.5,1,51.7,63.8
Kyle Kuzma,LAL,70,1.6,8.3,0.9,1.4,0.5,1.3,38.3,46.8
Otto Porter Jr.,WAS,41,1,8.2,1.17,1.2,0.5,0.9,52.6,61.8
