PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Klay Thompson,GSW,69,6,29.1,0.98,5.9,2.1,5.3,38.8,52.3
Matt Ryan,LAL,12,0.9,20.4,0.46,0.4,0.1,0.8,10,15
Luke Kennard,LAC,35,1.4,19.4,0.75,1,0.4,1.1,32.5,41.3
Justin Holiday,ATL,28,0.9,18.8,0.65,0.6,0.2,0.9,25,35.4
Bryn Forbes,MIN,25,0.8,18.8,0.79,0.6,0.2,0.7,35.3,41.2
Malik Beasley,UTA,55,2.4,17.8,1.1,2.6,1,2.3,41.9,56.2
Simone Fontecchio,UTA,52,1.2,17.1,0.97,1.2,0.4,1.1,40,47.3
Kevin Durant,PHX,8,3.5,16.7,1.21,4.3,1.6,2.8,59.1,63.6
Bojan Bogdanovic,DET,59,3.1,16.1,1.17,3.6,1.3,2.6,49,59.4
AJ Griffin,ATL,72,1.3,15.6,0.96,1.2,0.5,1.2,42.5,48.9
Lauri Markkanen,UTA,66,3.2,14.8,1.11,3.6,1.2,2.7,42.2,53.1
Doug McDermott,SAS,64,1.4,14.7,0.94,1.3,0.5,1.3,37.5,46.3
Ochai Agbaji,UTA,59,1.1,14.6,0.94,1.1,0.3,0.9,33.9,41.1
Devonte' Graham,NOP,53,0.8,14.5,0.93,0.7,0.2,0.7,30.6,45.8
Sam Hauser,BOS,80,0.8,13.9,1.2,0.9,0.3,0.7,42.9,62.5
Bogdan Bogdanovic,ATL,54,1.8,13.8,0.98,1.8,0.7,1.7,42.9,50.5
Terrence Ross,ORL,42,1.1,13.4,0.89,1,0.4,1,34.9,44.2
Duncan Robinson,MIA,42,0.9,13.4,0.84,0.7,0.2,0.8,30.3,37.9
Luke Kennard,MEM,24,1.1,13.3,1.27,1.4,0.5,1,44,66
Terrence Ross,PHX,21,1.1,13,1,1.1,0.4,1,40.9,47.7
Johnny Juzang,UTA,18,0.8,13,1.14,0.9,0.3,0.8,42.9,57.1
Malik Beasley,LAL,26,1.5,12.8,1.15,1.7,0.6,1.4,43.2,60.8
Stephen Curry,GSW,56,3.1,12.4,1.03,3.2,1,2.6,39.2,51.7
Max Strus,MIA,80,1.4,12.4,0.87,1.2,0.4,1.3,31.7,43.8
Michael Porter Jr.,DEN,63,1.8,12.1,0.96,1.7,0.7,1.7,39.6,48.6
Davis Bertans,DAL,45,0.5,12.1,1.29,0.6,0.2,0.4,44.4,66.7
Julian Champagnie,SAS,15,1.1,11.9,0.65,0.7,0.3,1,33.3,36.7
Georges Niang,PHI,78,0.8,11.4,0.74,0.6,0.2,0.7,30.9,40.9
Garrison Mathews,HOU,45,0.5,11.4,0.91,0.5,0.1,0.4,29.4,44.1
Svi Mykhailiuk,CHA,19,1.2,11.2,0.59,0.7,0.3,1,26.3,26.3
Moses Moody,GSW,63,0.5,10.4,1.24,0.6,0.2,0.4,50,64.6
Taurean Prince,MIN,54,0.9,10.3,1,0.9,0.3,0.8,43.9,54.9
Lindy Waters III,OKC,42,0.5,10.3,1.6,0.8,0.3,0.5,57.9,84.2
Desmond Bane,MEM,58,2,10.2,0.98,2,0.7,1.8,39.8,51
Gary Harris,ORL,48,0.7,10.1,1.14,0.8,0.3,0.7,42.4,60.6
Patty Mills,BKN,40,0.6,10,1.24,0.8,0.3,0.6,50,68.2
Jaylen Brown,BOS,67,2.5,9.8,0.92,2.3,0.9,2.1,41,49.7
Kevin Huerter,SAC,75,1.3,9.8,1.06,1.4,0.5,1.2,41.1,55.6
Rodney McGruder,DET,32,0.5,9.8,1.18,0.6,0.2,0.5,37.5,56.3
Kelly Oubre Jr.,CHA,48,1.9,9.6,0.89,1.7,0.6,1.8,36.9,42.9
