PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Reggie Bullock,DAL,68,1,7.2,1.03,0.6,0.2,0.5,37.8,50
Josh Hart,POR,13,1,7.2,0.94,1.2,0.5,1.2,40,46.7
Saddiq Bey,DET,82,1,7.1,0.88,1,0.4,1.1,34.1,44.9
Josh Jackson,DET,39,1,7.1,0.82,0.5,0.2,0.4,41.2,47.1
Nickeil Alexander-Walker,NOP,50,1,7,0.85,0.9,0.3,1,32.7,41.8
Ty Jerome,OKC,48,1,7,0.81,0.5,0.2,0.5,34.8,41.3
Quentin Grimes,NYK,46,0,7,1.05,0.4,0.2,0.3,43.8,62.5
Kyle Lowry,MIA,63,1,6.9,0.82,0.8,0.3,0.8,32.7,44.2
Zach LaVine,CHI,67,2,6.7,1,1.5,0.5,1.3,38.2,50
Damian Lillard,POR,29,2,6.6,0.94,1.5,0.5,1.3,38.5,44.9
Josh Richardson,SAS,21,1,6.5,1.4,1,0.3,0.6,53.8,69.2
Malik Monk,LAL,76,1,6.4,1.08,0.9,0.3,0.8,42.4,55.1
Tim Hardaway Jr.,DAL,42,1,6.4,0.97,0.9,0.3,0.8,40,48.6
Tyler Herro,MIA,66,1,6.3,0.92,1.2,0.4,1.1,36,45.3
Jalen Green,HOU,67,1,6.3,0.77,0.9,0.3,0.9,33.3,38.6
Gary Harris,ORL,61,1,6.3,1.17,0.8,0.3,0.6,47.2,54.2
Eric Gordon,HOU,57,1,6.2,0.91,0.7,0.3,0.6,42.9,54.3
Devonte' Graham,NOP,76,1,6.1,1.12,0.9,0.3,0.7,41.2,56.9
Nikola Jokic,DEN,74,1,6,1.09,1.6,0.7,1.3,51.6,60
Gordon Hayward,CHA,49,1,5.8,0.98,0.9,0.3,0.7,42.9,52.9
Furkan Korkmaz,PHI,67,0,5.7,1.09,0.5,0.2,0.4,44.8,56.9
Kelly Oubre Jr.,CHA,76,1,5.6,0.78,0.6,0.2,0.7,28.8,38.5
Dillon Brooks,MEM,33,1,5.6,0.97,1,0.4,1,40.6,42.2
