LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5
M. Barnes - C. Paul - J. Redick - D. Jordan - B. Griffin,LAC,60,1217,119.1,100.5,18.6,69.2,2.51,21.4,30.5,73.1,52.6,0.1,57.1,59.5,96.2,60.8,M. Barnes , C. Paul , J. Redick , D. Jordan , B. Griffin
K. Korver - P. Millsap - A. Horford - J. Teague - D. Carroll,ATL,57,915,109.3,100.9,8.5,72.5,2.01,21.4,24.6,70.3,48.4,0.1,55.4,58.7,97.43,55.7,K. Korver , P. Millsap , A. Horford , J. Teague , D. Carroll
A. Bogut - S. Curry - K. Thompson - H. Barnes - D. Green,GSW,58,813,115.2,94.6,20.6,70.1,2.25,22.1,22.5,74.2,49.9,0.1,58.3,60.3,100.38,60.2,A. Bogut , S. Curry , K. Thompson , H. Barnes , D. Green
L. Aldridge - R. Lopez - N. Batum - W. Matthews - D. Lillard,POR,32,630,107.9,96.9,11,55.8,1.77,16.5,28.7,74.4,52.4,0.1,50.3,54.7,96.15,57.2,L. Aldridge , R. Lopez , N. Batum , W. Matthews , D. Lillard
P. Pierce - Nene - M. Gortat - J. Wall - B. Beal,WAS,40,597,105.5,100,5.5,64.7,1.86,19.7,23.9,76.7,51,0.1,53.5,56.1,96.45,54.1,P. Pierce , Nene , M. Gortat , J. Wall , B. Beal
L. James - J. Smith - K. Love - T. Mozgov - K. Irving,CLE,33,481,116.2,95.8,20.4,62.8,1.82,19.7,30.4,74.5,53.8,0.2,57.8,60.4,97.69,60,L. James , J. Smith , K. Love , T. Mozgov , K. Irving
Z. Randolph - T. Allen - M. Conley - M. Gasol - C. Lee,MEM,43,460,109.7,102.6,7.1,55.2,1.5,17,26.1,69.5,48.6,0.2,53.5,58.4,95.07,54.6,Z. Randolph , T. Allen , M. Conley , M. Gasol , C. Lee
D. Nowitzki - T. Chandler - M. Ellis - R. Rondo - C. Parsons,DAL,31,455,101.9,105.3,-3.4,58.3,1.57,18.1,24.6,69.4,46.7,0.2,52.6,54.6,97.91,46.9,D. Nowitzki , T. Chandler , M. Ellis , R. Rondo , C. Parsons
R. Gay - J. Thompson - D. Collison - D. Cousins - B. McLemore,SAC,30,427,109,91.8,17.2,51.8,1.5,16.3,26.4,76.7,52.9,0.1,52.8,56.6,97.42,59.3,R. Gay , J. Thompson , D. Collison , D. Cousins , B. McLemore
Z. Randolph - M. Conley - J. Green - M. Gasol - C. Lee,MEM,29,426,99,103.6,-4.5,59.7,1.65,17.1,21.7,73,47.3,0.1,48.1,53.1,93.24,50.4,Z. Randolph , M. Conley , J. Green , M. Gasol , C. Lee
