LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5
R. Westbrook - P. George - S. Adams - J. Grant - T. Ferguson,OKC,58,919,112.5,103.3,9.2,58.2,1.86,18,29.5,76.9,52.7,0.1,54.1,56.5,104.97,52.8,R. Westbrook , P. George , S. Adams , J. Grant , T. Ferguson
D. Augustin - N. Vucevic - E. Fournier - A. Gordon - J. Isaac,ORL,65,852,108.4,106,2.4,64.4,1.94,19.4,27.8,78.5,53.2,0.1,52.9,55.7,99.19,52.5,D. Augustin , N. Vucevic , E. Fournier , A. Gordon , J. Isaac
A. Aminu - D. Lillard - M. Harkless - C. McCollum - J. Nurkic,POR,42,744,117.2,108,9.2,56.9,2.11,18,30.4,74.8,52.9,0.1,53.9,58,101.38,54.8,A. Aminu , D. Lillard , M. Harkless , C. McCollum , J. Nurkic
B. Lopez - E. Bledsoe - K. Middleton - G. Antetokounmpo - M. Brogdon,MIL,56,597,112.3,106.6,5.7,59.4,1.98,18.6,21.7,77.7,51,0.1,55.9,59.1,107.3,54.4,B. Lopez , E. Bledsoe , K. Middleton , G. Antetokounmpo , M. Brogdon
M. Williams - N. Batum - K. Walker - J. Lamb - C. Zeller,CHA,48,593,115.7,107.8,8,61.2,2.34,18.7,26.7,71.6,49.3,0.1,53.6,57.6,99.95,53.4,M. Williams , N. Batum , K. Walker , J. Lamb , C. Zeller
T. Young - D. Collison - B. Bogdanovic - V. Oladipo - M. Turner,IND,32,555,108.7,103.4,5.3,57.8,1.73,18.1,25.2,69.4,48,0.1,53.8,56.3,97.57,53.4,T. Young , D. Collison , B. Bogdanovic , V. Oladipo , M. Turner
K. Lowry - S. Ibaka - D. Green - K. Leonard - P. Siakam,TOR,33,547,114.8,105.6,9.2,60.9,2.19,19,27.2,71.3,50.5,0.1,55.1,58.7,100.95,56.4,K. Lowry , S. Ibaka , D. Green , K. Leonard , P. Siakam
A. Horford - K. Irving - M. Morris - M. Smart - J. Tatum,BOS,42,505,115.1,108.8,6.3,60.1,2.37,20.1,21.6,74,48.6,0.1,57.6,59.6,101.46,52.9,A. Horford , K. Irving , M. Morris , M. Smart , J. Tatum
R. Rubio - D. Favors - R. Gobert - J. Ingles - D. Mitchell,UTA,56,501,104.3,99.2,5.2,64.1,1.7,18.6,26.7,80.9,53.7,0.2,52.6,55.1,101.75,52.8,R. Rubio , D. Favors , R. Gobert , J. Ingles , D. Mitchell
N. Bjelica - I. Shumpert - W. Cauley-Stein - B. Hield - D. Fox,SAC,40,500,107.7,106.4,1.3,66.1,2,19.8,24.3,71.5,46.9,0.1,54.1,55.5,105.25,49.4,N. Bjelica , I. Shumpert , W. Cauley-Stein , B. Hield , D. Fox
