LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5
J. Teague - T. Gibson - J. Butler - A. Wiggins - K. Towns,MIN,48,1131,113.4,105.5,7.8,55.9,1.89,17.5,30.6,71.9,51.6,0.1,53.5,57.3,97.21,56,J. Teague , T. Gibson , J. Butler , A. Wiggins , K. Towns
D. Howard - M. Williams - N. Batum - K. Walker - M. Kidd-Gilchrist,CHA,56,1086,108.7,106.1,2.6,55.1,1.66,16.4,25.8,75.9,51.1,0.1,51.9,55.6,100.52,51.9,D. Howard , M. Williams , N. Batum , K. Walker , M. Kidd-Gilchrist
K. Lowry - S. Ibaka - D. DeRozan - J. Valanciunas - O. Anunoby,TOR,54,801,113,103,10,60.5,1.84,18.7,25.7,78,53,0.1,55.7,59,100.01,55.3,K. Lowry , S. Ibaka , D. DeRozan , J. Valanciunas , O. Anunoby
T. Young - D. Collison - B. Bogdanovic - V. Oladipo - M. Turner,IND,44,696,108.9,106.8,2.2,60.5,1.87,18.8,20.8,70.3,46,0.1,55.7,58.5,97.7,51.3,T. Young , D. Collison , B. Bogdanovic , V. Oladipo , M. Turner
E. Bledsoe - J. Henson - K. Middleton - T. Snell - G. Antetokounmpo,MIL,45,606,110.8,105,5.8,58.7,1.76,18.6,19.2,72.9,48.6,0.1,57,60.4,98.34,54.4,E. Bledsoe , J. Henson , K. Middleton , T. Snell , G. Antetokounmpo
J. Redick - R. Covington - J. Embiid - D. Saric - B. Simmons,PHI,49,601,115.4,94.9,20.5,63.3,1.93,19.6,26.6,77.6,54.3,0.1,57.9,60.9,101.54,62.4,J. Redick , R. Covington , J. Embiid , D. Saric , B. Simmons
C. Anthony - R. Westbrook - P. George - A. Roberson - S. Adams,OKC,31,539,110.4,95.9,14.6,55,1.58,17,37,77.5,56.8,0.2,53,55.4,97.26,58.8,C. Anthony , R. Westbrook , P. George , A. Roberson , S. Adams
E. Turner - A. Aminu - D. Lillard - C. McCollum - J. Nurkic,POR,42,535,108.1,99.6,8.4,57.3,1.92,17.3,25.7,73.2,50,0.1,50.9,54.2,98.71,54,E. Turner , A. Aminu , D. Lillard , C. McCollum , J. Nurkic
M. Gortat - M. Morris - B. Beal - T. Satoransky - O. Porter Jr.,WAS,36,526,114.1,105.4,8.7,68.6,2.07,21.7,28.4,76.1,53.5,0.2,56.9,59.7,95.07,55.7,M. Gortat , M. Morris , B. Beal , T. Satoransky , O. Porter Jr.
R. Lopez - J. Holiday - K. Dunn - D. Valentine - L. Markkanen,CHI,33,504,100.5,107.4,-6.9,62.2,1.78,18.4,21.6,79.5,49.6,0.1,51.4,53.6,100.91,46.9,R. Lopez , J. Holiday , K. Dunn , D. Valentine , L. Markkanen
M. Gortat - J. Wall - M. Morris - B. Beal - O. Porter Jr.,WAS,30,484,111.1,104,7.1,61.1,1.76,19,25.3,72.5,50,0.1,55.4,58.5,98.31,53.5,M. Gortat , J. Wall , M. Morris , B. Beal , O. Porter Jr.
R. Rubio - D. Favors - R. Gobert - J. Ingles - D. Mitchell,UTA,46,456,108.9,96.6,12.3,62.8,1.71,19.3,26.5,79.2,53.7,0.2,55.4,57.7,98.74,56.7,R. Rubio , D. Favors , R. Gobert , J. Ingles , D. Mitchell
A. Aminu - D. Lillard - M. Harkless - C. McCollum - J. Nurkic,POR,30,442,111.7,103.1,8.5,54.2,1.84,16.9,25.1,76.8,50.8,0.1,53.4,57,99.92,53.7,A. Aminu , D. Lillard , M. Harkless , C. McCollum , J. Nurkic
Z. Pachulia - K. Durant - S. Curry - K. Thompson - D. Green,GSW,36,414,118.3,109.8,8.5,75.8,2.04,24,24.4,75.6,52.4,0.2,62.2,64.8,103.62,56.5,Z. Pachulia , K. Durant , S. Curry , K. Thompson , D. Green
R. Rondo - J. Holiday - D. Cousins - E. Moore - A. Davis,NOP,28,408,107.7,107.8,-0.1,67.3,1.81,20.7,24.1,73,49.1,0.2,54.4,57.3,102.43,51.5,R. Rondo , J. Holiday , D. Cousins , E. Moore , A. Davis
A. Bradley - T. Harris - R. Jackson - A. Drummond - S. Johnson,DET,24,397,106.6,114.8,-8.1,61,1.56,17.7,26.2,72.5,48.3,0.2,53.3,56.4,96.58,44.9,A. Bradley , T. Harris , R. Jackson , A. Drummond , S. Johnson
J. Jack - C. Lee - E. Kanter - T. Hardaway Jr. - K. Porzingis,NYK,26,383,115.2,106.3,8.9,57.9,2.09,18.4,31.5,73.9,53,0.1,53.7,57.1,96.67,57.3,J. Jack , C. Lee , E. Kanter , T. Hardaway Jr. , K. Porzingis
J. Teague - T. Gibson - N. Bjelica - A. Wiggins - K. Towns,MIN,23,382,111.7,104.1,7.6,52.6,1.76,16.7,28.9,78,53.6,0.1,52.1,55.8,100.08,53.1,J. Teague , T. Gibson , N. Bjelica , A. Wiggins , K. Towns
T. Young - D. Collison - B. Bogdanovic - V. Oladipo - D. Sabonis,IND,33,366,109.6,100,9.6,53.9,1.71,17.2,22,72.9,48,0.1,54.2,57.8,99.63,54.1,T. Young , D. Collison , B. Bogdanovic , V. Oladipo , D. Sabonis
A. Horford - K. Irving - A. Baynes - J. Brown - J. Tatum,BOS,36,354,111.8,98.6,13.2,55.8,1.88,18.6,22.4,78,52.3,0.1,57.3,59.2,96.15,56.5,A. Horford , K. Irving , A. Baynes , J. Brown , J. Tatum
L. James - J. Smith - J. Calderon - K. Love - J. Crowder,CLE,22,354,113.3,106.3,7,66.6,2.07,20.4,17.6,78,48.9,0.1,58.7,61.8,96.39,53.1,L. James , J. Smith , J. Calderon , K. Love , J. Crowder
E. Ilyasova - M. Plumlee - K. Bazemore - D. Schroder - T. Prince,ATL,33,352,100,107.1,-7.1,63.3,1.38,17.9,26.1,74.1,49.8,0.2,51.4,54.3,99.79,45.8,E. Ilyasova , M. Plumlee , K. Bazemore , D. Schroder , T. Prince
P. Millsap - W. Chandler - G. Harris - N. Jokic - J. Murray,DEN,23,346,113.9,104.9,9,63.3,2.08,20,25.5,77,51.5,0.1,56.6,59.6,99.49,54.8,P. Millsap , W. Chandler , G. Harris , N. Jokic , J. Murray
C. Anthony - C. Brewer - R. Westbrook - P. George - S. Adams,OKC,16,344,109.4,107.7,1.7,56.1,1.5,15.9,32,77.5,52.7,0.1,51.1,54.5,103.94,49.1,C. Anthony , C. Brewer , R. Westbrook , P. George , S. Adams
C. Miles - D. Wright - J. Poeltl - P. Siakam - F. VanVleet,TOR,37,340,118,99.3,18.7,68.5,2.18,21.7,26.9,68.1,48.9,0.1,58.6,61,95.54,58.9,C. Miles , D. Wright , J. Poeltl , P. Siakam , F. VanVleet
T. Young - C. Joseph - B. Bogdanovic - V. Oladipo - M. Turner,IND,37,330,107.2,96,11.2,49.8,1.47,14.9,27.1,73.7,50.9,0.1,51.6,55.6,98.73,56.1,T. Young , C. Joseph , B. Bogdanovic , V. Oladipo , M. Turner
P. Millsap - W. Chandler - W. Barton - N. Jokic - J. Murray,DEN,19,318,119.2,108.2,11,60.1,2.16,18.7,31.5,71.2,51.4,0.1,55.4,58.6,94.19,53.8,P. Millsap , W. Chandler , W. Barton , N. Jokic , J. Murray
D. Carroll - T. Zeller - A. Crabbe - S. Dinwiddie - R. Hollis-Jefferson,BKN,28,315,110,101.4,8.6,65.8,2.14,19.3,26,78.3,51.8,0.1,51.6,54.7,95.7,52.3,D. Carroll , T. Zeller , A. Crabbe , S. Dinwiddie , R. Hollis-Jefferson
J. Jack - C. Lee - L. Thomas - E. Kanter - K. Porzingis,NYK,24,304,107.7,112.3,-4.6,53.3,1.6,17.2,28.2,77.5,53.3,0.1,53.2,56.1,96.99,47.7,J. Jack , C. Lee , L. Thomas , E. Kanter , K. Porzingis
W. Chandler - W. Barton - G. Harris - N. Jokic - J. Murray,DEN,32,298,118.9,115.2,3.7,63.5,1.93,20.1,30.7,74.3,51.5,0.1,59,61.6,100.93,52.1,W. Chandler , W. Barton , G. Harris , N. Jokic , J. Murray
