LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5
H. Barnes - D. Sabonis - D. Fox - K. Huerter - K. Murray,SAC,63,900,118.3,116.1,2.2,62,2.3,19.4,25.8,76.4,50.6,0.1,56.8,60.2,102.69,50.9,H. Barnes , D. Sabonis , D. Fox , K. Huerter , K. Murray
C. Capela - D. Murray - J. Collins - T. Young - D. Hunter,ATL,44,738,115.9,110.6,5.3,56.9,2.25,18.4,28.8,74.2,51.1,0.1,54.3,57.5,103.78,53.2,C. Capela , D. Murray , J. Collins , T. Young , D. Hunter
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,DEN,41,706,124.3,111.2,13.1,69.8,2.66,23.2,28.3,75.1,52.5,0.1,61.3,63.4,101.2,56.3,K. Caldwell-Pope , A. Gordon , N. Jokic , J. Murray , M. Porter Jr.
D. DeRozan - N. Vucevic - Z. LaVine - P. Williams - A. Dosunmu,CHI,48,591,110.2,109.8,0.4,61.7,1.96,19.7,16.4,79.2,50.1,0.1,57.4,60.5,101.41,51.2,D. DeRozan , N. Vucevic , Z. LaVine , P. Williams , A. Dosunmu
G. Harris - M. Fultz - W. Carter Jr. - F. Wagner - P. Banchero,ORL,36,570,113,111.6,1.4,60.8,1.87,18.8,22.8,76.5,49.6,0.1,56,59.3,100.93,50.2,G. Harris , M. Fultz , W. Carter Jr. , F. Wagner , P. Banchero
D. Lillard - J. Grant - J. Nurkic - J. Hart - A. Simons,POR,33,541,115,115.5,-0.5,62,1.65,18.7,23.5,74,49.3,0.2,57.7,61.5,100.46,49.5,D. Lillard , J. Grant , J. Nurkic , J. Hart , A. Simons
J. Randle - J. Brunson - M. Robinson - R. Barrett - Q. Grimes,NYK,33,526,123.8,117.1,6.7,57.3,2.14,18.2,31.3,79,54.5,0.1,58.4,61.3,97.77,52.4,J. Randle , J. Brunson , M. Robinson , R. Barrett , Q. Grimes
P. Tucker - J. Harden - T. Harris - J. Embiid - D. Melton,PHI,37,519,120.2,112.4,7.9,68.8,1.99,20.3,21.2,71,48.6,0.1,59.5,65.1,96.44,56.4,P. Tucker , J. Harden , T. Harris , J. Embiid , D. Melton
K. Porter Jr. - J. Green - K. Martin Jr. - A. Sengun - J. Smith Jr.,HOU,43,440,111.5,120.8,-9.3,54.5,1.75,16.9,31.9,75.5,53.2,0.1,53.6,56.2,100.25,45.4,K. Porter Jr. , J. Green , K. Martin Jr. , A. Sengun , J. Smith Jr.
A. Horford - M. Smart - J. Brown - J. Tatum - D. White,BOS,35,432,124,111.8,12.2,69.8,2.95,22.6,17.4,73.5,47.1,0.1,61.5,64.4,102.34,55.7,A. Horford , M. Smart , J. Brown , J. Tatum , D. White
