LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5
J. Green - W. Barton - A. Gordon - N. Jokic - M. Morris,DEN,41,761,121.3,111.8,9.5,71.4,2.48,23.2,25.3,75.7,52.2,0.1,60,63,100.36,55.8,J. Green , W. Barton , A. Gordon , N. Jokic , M. Morris
C. Paul - J. Crowder - D. Booker - M. Bridges - D. Ayton,PHX,38,754,116.4,109,7.4,64.3,2.83,21,21.3,73.7,49,0.1,56.9,60,100.22,54.8,C. Paul , J. Crowder , D. Booker , M. Bridges , D. Ayton
M. Conley - B. Bogdanovic - R. Gobert - R. O'Neale - D. Mitchell,UTA,42,666,117.1,110.5,6.7,57.8,1.74,17.6,26.6,72.5,51,0.1,59,62.1,100.54,54.1,M. Conley , B. Bogdanovic , R. Gobert , R. O'Neale , D. Mitchell
A. Horford - M. Smart - J. Brown - J. Tatum - R. Williams III,BOS,34,443,118.8,94.2,24.6,63.3,2.18,20.7,26.4,76.4,54.2,0.1,59.7,61.6,99.08,64,A. Horford , M. Smart , J. Brown , J. Tatum , R. Williams III
P. Beverley - D. Russell - K. Towns - J. Vanderbilt - A. Edwards,MIN,36,439,120.2,107.4,12.8,58.6,1.93,18.5,33.3,70.6,51.9,0.1,56.9,59.4,99.52,53.8,P. Beverley , D. Russell , K. Towns , J. Vanderbilt , A. Edwards
A. Burks - E. Fournier - J. Randle - M. Robinson - R. Barrett,NYK,33,434,113.7,113.7,0,55.1,1.65,16.1,32.9,78.1,54.3,0.1,53.3,56.5,98.88,48.3,A. Burks , E. Fournier , J. Randle , M. Robinson , R. Barrett
K. Walker - E. Fournier - J. Randle - M. Robinson - R. Barrett,NYK,24,428,102.8,116.6,-13.8,55,1.47,15.5,26,74.9,49.2,0.1,50.3,52.5,97.2,41.1,K. Walker , E. Fournier , J. Randle , M. Robinson , R. Barrett
M. Bamba - W. Carter Jr. - C. Anthony - F. Wagner - J. Suggs,ORL,34,424,102,103.2,-1.1,58.6,1.42,16.7,28,75,53,0.2,50.5,53.5,100.55,51.3,M. Bamba , W. Carter Jr. , C. Anthony , F. Wagner , J. Suggs
K. Lowry - P. Tucker - J. Butler - B. Adebayo - D. Robinson,MIA,30,423,111.2,98.7,12.5,66.1,2.11,19.6,24.2,77,51.5,0.1,53.7,57.3,95.21,57.8,K. Lowry , P. Tucker , J. Butler , B. Adebayo , D. Robinson
G. Hayward - M. Plumlee - T. Rozier - M. Bridges - L. Ball,CHA,31,373,105.5,107.8,-2.3,66.8,2.27,19.8,23,75.5,47.9,0.1,52.8,54.3,104.16,48.2,G. Hayward , M. Plumlee , T. Rozier , M. Bridges , L. Ball
