LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5
M. Gortat - J. Wall - M. Morris - B. Beal - O. Porter Jr.,WAS,69,1347,113.1,104.2,9,61.8,2.06,19.5,26.5,74.8,50.7,0.1,55.1,57.8,98.99,54.3,M. Gortat , J. Wall , M. Morris , B. Beal , O. Porter Jr.
R. Rubio - G. Dieng - Z. LaVine - A. Wiggins - K. Towns,MIN,41,881,108.8,110.6,-1.8,63.7,1.76,18.8,29.1,72.8,50.9,0.1,51.7,55.7,95.15,50.1,R. Rubio , G. Dieng , Z. LaVine , A. Wiggins , K. Towns
C. Paul - J. Redick - D. Jordan - L. Mbah a Moute - B. Griffin,LAC,46,871,116,101.6,14.4,65.3,2.06,20,26.3,74.5,52.6,0.1,57.3,60.6,96.3,61.6,C. Paul , J. Redick , D. Jordan , L. Mbah a Moute , B. Griffin
M. Williams - N. Batum - K. Walker - M. Kidd-Gilchrist - C. Zeller,CHA,47,784,107.7,102.1,5.6,65.5,2.14,18.8,24,77.4,50.4,0.1,50.7,55.1,96.93,53.9,M. Williams , N. Batum , K. Walker , M. Kidd-Gilchrist , C. Zeller
R. Westbrook - A. Roberson - S. Adams - V. Oladipo - D. Sabonis,OKC,52,632,103.6,98.5,5.2,53.4,1.4,16.3,28.8,73.5,52,0.2,51,53.4,97.57,52.2,R. Westbrook , A. Roberson , S. Adams , V. Oladipo , D. Sabonis
M. Ellis - T. Young - J. Teague - P. George - M. Turner,IND,55,603,104.4,105.6,-1.2,61.9,1.54,18.4,19.2,70.2,46.3,0.2,54,58.1,100.62,52.1,M. Ellis , T. Young , J. Teague , P. George , M. Turner
B. Rush - R. Rubio - G. Dieng - A. Wiggins - K. Towns,MIN,38,596,110.7,109.5,1.2,62.1,1.79,19.1,26.9,73.4,51.1,0.1,53.6,57.9,96.05,52.4,B. Rush , R. Rubio , G. Dieng , A. Wiggins , K. Towns
Z. Pachulia - K. Durant - S. Curry - K. Thompson - D. Green,GSW,43,532,121.3,98.2,23.2,77.6,2.4,24,26.7,77.9,54.3,0.1,60.5,63.7,102.65,63.8,Z. Pachulia , K. Durant , S. Curry , K. Thompson , D. Green
T. Ariza - R. Anderson - J. Harden - P. Beverley - C. Capela,HOU,42,505,125,106.7,18.3,67,2.2,20.6,29.4,76.1,51.7,0.1,59.4,62.3,99.61,56.2,T. Ariza , R. Anderson , J. Harden , P. Beverley , C. Capela
I. Smith - M. Morris - T. Harris - A. Drummond - K. Caldwell-Pope,DET,61,492,105.8,114.1,-8.3,53.9,2.03,17,26.9,74,49.4,0.1,51.6,53.7,96.63,45.6,I. Smith , M. Morris , T. Harris , A. Drummond , K. Caldwell-Pope
L. James - J. Smith - K. Love - K. Irving - T. Thompson,CLE,27,454,118.2,112.7,5.4,62.6,2.15,19.5,28.5,70.5,49.6,0.1,57.1,59.7,98.44,52.2,L. James , J. Smith , K. Love , K. Irving , T. Thompson
