LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5
C. Paul - J. Crowder - D. Booker - M. Bridges - D. Ayton,PHX,52,706,115.9,111.2,4.7,63.3,2.42,20.3,21.7,74.8,49,0.1,57.9,61.1,100.11,53.7,C. Paul , J. Crowder , D. Booker , M. Bridges , D. Ayton
D. Green - T. Harris - S. Curry - J. Embiid - B. Simmons,PHI,32,656,117.7,103.7,14,60.9,2.02,19,21.7,76,50.7,0.1,57.9,62.1,100.57,58.9,D. Green , T. Harris , S. Curry , J. Embiid , B. Simmons
E. Bledsoe - S. Adams - B. Ingram - L. Ball - Z. Williamson,NOP,41,610,115.9,113.8,2,64.4,2.17,20.4,30,75.5,53.2,0.1,57.1,59,100.35,52.8,E. Bledsoe , S. Adams , B. Ingram , L. Ball , Z. Williamson
M. Conley - B. Bogdanovic - R. Gobert - R. O'Neale - D. Mitchell,UTA,41,593,114.2,103.4,10.8,55.7,1.7,16.6,27.6,73.6,52.4,0.1,55.8,59.2,99.89,55.8,M. Conley , B. Bogdanovic , R. Gobert , R. O'Neale , D. Mitchell
N. Noel - R. Bullock - E. Payton - J. Randle - R. Barrett,NYK,41,554,109,113.6,-4.6,55,1.65,16.8,24.6,73.4,48.9,0.1,54.3,57,97.35,45.4,N. Noel , R. Bullock , E. Payton , J. Randle , R. Barrett
B. Lopez - J. Holiday - K. Middleton - G. Antetokounmpo - D. DiVincenzo,MIL,45,508,117.7,109,8.7,60.5,2.07,19.9,23,80.6,52.6,0.1,59.8,61.9,107.9,55.9,B. Lopez , J. Holiday , K. Middleton , G. Antetokounmpo , D. DiVincenzo
J. Valanciunas - K. Anderson - D. Brooks - G. Allen - J. Morant,MEM,35,457,116.2,107.6,8.7,60.4,2.28,19,26.8,78.7,53.2,0.1,55,58.2,104.63,53.6,J. Valanciunas , K. Anderson , D. Brooks , G. Allen , J. Morant
H. Barnes - R. Holmes - B. Hield - D. Fox - M. Bagley III,SAC,32,425,121.4,114.2,7.2,60,2.46,20,26,77.4,51.7,0.1,59.6,61.1,101.28,52.6,H. Barnes , R. Holmes , B. Hield , D. Fox , M. Bagley III
H. Barnes - R. Holmes - B. Hield - D. Fox - T. Haliburton,SAC,40,404,120,112.4,7.6,56.9,2.14,18.4,24.7,71.3,48.9,0.1,58.5,62.3,103.62,54.4,H. Barnes , R. Holmes , B. Hield , D. Fox , T. Haliburton
R. Bullock - E. Payton - J. Randle - M. Robinson - R. Barrett,NYK,23,395,104.9,103,1.9,53.5,1.58,16.3,29.6,77.8,54.5,0.1,50.8,53.2,95.91,50.9,R. Bullock , E. Payton , J. Randle , M. Robinson , R. Barrett
D. Lillard - C. McCollum - R. Covington - J. Nurkic - N. Powell,POR,21,370,118.1,104.8,13.4,60.3,2.44,19.1,24.2,79.9,50.9,0.1,57,59.9,103.31,56.1,D. Lillard , C. McCollum , R. Covington , J. Nurkic , N. Powell
D. DeRozan - D. Murray - J. Poeltl - D. White - K. Johnson,SAS,24,333,117.9,111.9,6,57.9,2.75,19.7,25.8,75.1,50.9,0.1,56.2,58.7,100.07,53.3,D. DeRozan , D. Murray , J. Poeltl , D. White , K. Johnson
M. Conley - R. Gobert - J. Clarkson - J. Ingles - G. Niang,UTA,34,302,116.5,101.5,15,64.3,2.22,19.3,27,75.4,52.4,0.1,58.4,61.5,104.98,57.8,M. Conley , R. Gobert , J. Clarkson , J. Ingles , G. Niang
E. Kanter - D. Lillard - R. Covington - D. Jones Jr. - G. Trent Jr.,POR,25,289,122.9,107.4,15.5,53.2,2.14,17.2,30.9,73.5,52.2,0.1,56.6,59.7,98.29,55.3,E. Kanter , D. Lillard , R. Covington , D. Jones Jr. , G. Trent Jr.
K. Porzingis - J. Richardson - D. Finney-Smith - M. Kleber - L. Doncic,DAL,22,281,123.7,111.1,12.6,59.6,2.21,19.3,24.1,78.7,52.6,0.1,61.5,63.9,99.8,55.4,K. Porzingis , J. Richardson , D. Finney-Smith , M. Kleber , L. Doncic
L. James - M. Gasol - A. Davis - D. Schroder - K. Caldwell-Pope,LAL,21,281,116.9,103.7,13.2,64.1,2.13,20.4,23.8,75.8,50.6,0.1,57.8,60.8,100.86,56.2,L. James , M. Gasol , A. Davis , D. Schroder , K. Caldwell-Pope
S. Curry - D. Green - K. Bazemore - A. Wiggins - K. Looney,GSW,28,268,116,106.7,9.3,73.6,2,22.3,27.9,75.2,52.5,0.2,59.7,61.3,101.54,55.1,S. Curry , D. Green , K. Bazemore , A. Wiggins , K. Looney
S. Ibaka - N. Batum - P. Beverley - P. George - K. Leonard,LAC,19,264,118.3,101.7,16.7,63.2,2.19,19.9,26.1,81,52.4,0.1,58.3,60.5,98.55,56.2,S. Ibaka , N. Batum , P. Beverley , P. George , K. Leonard
D. Favors - B. Bogdanovic - J. Clarkson - R. O'Neale - D. Mitchell,UTA,45,262,120.5,109.9,10.6,52.7,1.56,16.3,31.1,75.6,53,0.1,57.7,61.5,104.49,50.9,D. Favors , B. Bogdanovic , J. Clarkson , R. O'Neale , D. Mitchell
G. Hayward - B. Biyombo - T. Rozier - D. Graham - P. Washington,CHA,26,258,99.2,109.2,-10,74.2,1.89,19.5,22.5,75,47.6,0.1,49.6,52.2,98.92,45,G. Hayward , B. Biyombo , T. Rozier , D. Graham , P. Washington
P. Millsap - W. Barton - G. Harris - N. Jokic - J. Murray,DEN,16,250,124,112.8,11.2,60,2.27,19.8,33.6,77.7,56.1,0.1,58.6,61.3,95.51,54.6,P. Millsap , W. Barton , G. Harris , N. Jokic , J. Murray
S. Curry - D. Green - A. Wiggins - K. Oubre Jr. - J. Wiseman,GSW,23,247,96.9,109.7,-12.8,67.1,1.46,19,18,72.9,46.6,0.2,51.6,54.1,105.95,45.1,S. Curry , D. Green , A. Wiggins , K. Oubre Jr. , J. Wiseman
J. Holiday - D. McDermott - M. Turner - D. Sabonis - M. Brogdon,IND,24,238,111.3,105.8,5.5,62.9,1.89,19.3,25.6,78.8,52.6,0.1,55.4,58.3,101.22,52.1,J. Holiday , D. McDermott , M. Turner , D. Sabonis , M. Brogdon
J. Valanciunas - K. Anderson - D. Brooks - J. Morant - D. Bane,MEM,28,224,114.4,105.5,8.9,60.3,1.83,19.2,32.1,75,53.8,0.1,57.5,59.4,104.57,53.3,J. Valanciunas , K. Anderson , D. Brooks , J. Morant , D. Bane
B. Bogdanovic - R. Gobert - J. Ingles - R. O'Neale - D. Mitchell,UTA,23,219,123.9,104.3,19.6,58.7,2,18.3,27.2,79.8,56.5,0.1,62.3,65.4,103.43,61.7,B. Bogdanovic , R. Gobert , J. Ingles , R. O'Neale , D. Mitchell
L. Aldridge - D. DeRozan - D. Murray - L. Walker IV - K. Johnson,SAS,16,219,111.8,124.3,-12.5,62.6,2.64,20,17.4,74.1,43.7,0.1,54.4,57.4,100.82,43.5,L. Aldridge , D. DeRozan , D. Murray , L. Walker IV , K. Johnson
P. Millsap - W. Barton - N. Jokic - J. Murray - M. Porter Jr.,DEN,15,218,125,119.4,5.6,61.6,2.5,21.4,31.1,69.5,50.6,0.1,61.4,63.4,96.4,53.6,P. Millsap , W. Barton , N. Jokic , J. Murray , M. Porter Jr.
P. George - M. Morris Sr. - K. Leonard - R. Jackson - I. Zubac,LAC,19,215,121.4,102.6,18.8,57.4,1.98,19.3,26.1,83.9,57.8,0.1,61.6,64.2,95.12,60.4,P. George , M. Morris Sr. , K. Leonard , R. Jackson , I. Zubac
D. Lillard - C. McCollum - R. Covington - J. Nurkic - D. Jones Jr.,POR,15,208,114.4,106.8,7.5,62.3,2.28,19.2,20.1,76.8,48.3,0.1,57.8,59.8,101.77,52.5,D. Lillard , C. McCollum , R. Covington , J. Nurkic , D. Jones Jr.
T. Ariza - J. Butler - B. Adebayo - D. Robinson - K. Nunn,MIA,16,203,116.7,110.3,6.4,66.9,2.38,21.3,18,76.4,47.5,0.1,59,61.9,96.65,53.8,T. Ariza , J. Butler , B. Adebayo , D. Robinson , K. Nunn
J. Butler - K. Olynyk - B. Adebayo - D. Robinson - K. Nunn,MIA,17,198,112.7,107.8,4.9,72.9,2.95,21.5,23.5,82.2,51.4,0.1,52.8,56.1,95.8,52.1,J. Butler , K. Olynyk , B. Adebayo , D. Robinson , K. Nunn
C. Paul - D. Booker - M. Bridges - D. Ayton - C. Johnson,PHX,29,197,119.4,109.3,10.1,54.5,2,17.8,36.3,67.7,51.7,0.1,56.1,59.2,97.95,54.2,C. Paul , D. Booker , M. Bridges , D. Ayton , C. Johnson
A. Horford - G. Hill - S. Gilgeous-Alexander - D. Bazley - L. Dort,OKC,9,195,110.1,108.5,1.6,57.3,2.14,17.5,18.6,77.8,49.4,0.1,54.6,57.7,99.33,51.6,A. Horford , G. Hill , S. Gilgeous-Alexander , D. Bazley , L. Dort
C. Capela - J. Collins - K. Huerter - T. Young - C. Reddish,ATL,12,194,115.3,121.1,-5.8,64,1.68,19.3,34.9,72,53.5,0.2,55.8,59.6,101.7,49.2,C. Capela , J. Collins , K. Huerter , T. Young , C. Reddish
D. Jordan - J. Harden - K. Irving - J. Harris - B. Brown,BKN,16,192,116.8,112.2,4.6,63.7,2.11,20.9,22.9,72.5,50.4,0.1,59.8,61.6,99.49,51.4,D. Jordan , J. Harden , K. Irving , J. Harris , B. Brown
D. DeRozan - D. Murray - J. Poeltl - L. Walker IV - K. Johnson,SAS,24,191,114,115.8,-1.7,53.1,2.69,17.2,29.5,75.4,51.1,0.1,50.8,53.9,98.69,47.5,D. DeRozan , D. Murray , J. Poeltl , L. Walker IV , K. Johnson
J. Holiday - M. Turner - D. Sabonis - C. LeVert - M. Brogdon,IND,10,188,97.8,104.2,-6.4,66.4,1.58,17.4,19.6,74.4,46.4,0.1,50.4,53.5,103.22,45.2,J. Holiday , M. Turner , D. Sabonis , C. LeVert , M. Brogdon
S. Curry - D. Green - A. Wiggins - K. Oubre Jr. - K. Looney,GSW,26,186,114.1,105.1,9,73.3,2.24,21.6,22.6,72.5,48,0.1,56.8,59.9,104.06,53.1,S. Curry , D. Green , A. Wiggins , K. Oubre Jr. , K. Looney
D. Favors - B. Bogdanovic - J. Ingles - R. O'Neale - D. Mitchell,UTA,36,184,107.7,106.8,0.9,58.6,1.51,16.6,30.3,78.6,53,0.2,53.7,56.7,102.47,48,D. Favors , B. Bogdanovic , J. Ingles , R. O'Neale , D. Mitchell
T. Snell - C. Capela - J. Collins - K. Huerter - T. Young,ATL,16,182,117.4,105.6,11.8,58.8,2.17,18.8,34.4,72.5,54.5,0.1,55,57.5,97.93,56.5,T. Snell , C. Capela , J. Collins , K. Huerter , T. Young
B. Griffin - W. Ellington - M. Plumlee - J. Grant - D. Wright,DET,13,178,114.4,117.1,-2.7,64.5,2.58,19.4,24.3,78.7,49.9,0.1,54.4,57,98,47.8,B. Griffin , W. Ellington , M. Plumlee , J. Grant , D. Wright
R. Rubio - K. Towns - J. Okogie - A. Edwards - J. McDaniels,MIN,22,172,107.5,104.5,3,66.9,1.79,18.1,25.3,78.8,50.4,0.1,51.3,56.2,104.6,50.3,R. Rubio , K. Towns , J. Okogie , A. Edwards , J. McDaniels
C. Paul - F. Kaminsky - D. Booker - M. Bridges - D. Ayton,PHX,13,164,117.4,110.1,7.3,59.5,2.06,20.6,25.9,71.6,52.6,0.1,60.2,62.7,99.08,55.1,C. Paul , F. Kaminsky , D. Booker , M. Bridges , D. Ayton
A. Horford - S. Gilgeous-Alexander - D. Bazley - L. Dort - T. Maledon,OKC,9,154,97.8,109,-11.2,59.3,1.76,16.4,12.9,80.1,44,0.1,50.2,52.4,99.84,43.1,A. Horford , S. Gilgeous-Alexander , D. Bazley , L. Dort , T. Maledon
W. Barton - N. Jokic - J. Murray - M. Morris - M. Porter Jr.,DEN,12,151,125.5,101.9,23.6,60.4,2.91,21.4,25.2,78,53.8,0.1,61.7,63.6,101.28,59.2,W. Barton , N. Jokic , J. Murray , M. Morris , M. Porter Jr.
S. Curry - D. Green - A. Wiggins - K. Oubre Jr. - J. Toscano-Anderson,GSW,14,149,118.3,108.4,9.9,75.7,2.04,22.9,23.1,76.5,52.4,0.2,61.7,64.5,106.21,57,S. Curry , D. Green , A. Wiggins , K. Oubre Jr. , J. Toscano-Anderson
D. Rose - N. Noel - R. Bullock - J. Randle - R. Barrett,NYK,24,145,116.8,101,15.8,62.3,1.98,19.8,19.7,74.5,49.5,0.1,58.7,62.5,100.53,56.7,D. Rose , N. Noel , R. Bullock , J. Randle , R. Barrett
L. Nance Jr. - J. Allen - C. Sexton - D. Garland - I. Okoro,CLE,10,141,100.3,114.3,-13.9,59.6,1.48,16.5,26.1,68,47.4,0.2,50.4,53.4,98.79,45.1,L. Nance Jr. , J. Allen , C. Sexton , D. Garland , I. Okoro
D. Rose - T. Gibson - A. Burks - O. Toppin - I. Quickley,NYK,18,139,118.5,98.9,19.5,44,2.13,13.8,32.7,72.3,53.7,0.1,51.2,56.2,95.24,58.4,D. Rose , T. Gibson , A. Burks , O. Toppin , I. Quickley
G. Temple - Z. LaVine - W. Carter Jr. - C. White - P. Williams,CHI,14,138,109.3,113.5,-4.1,61.6,1.79,19.1,19.8,80.9,51.5,0.1,56.7,59.8,103.97,49,G. Temple , Z. LaVine , W. Carter Jr. , C. White , P. Williams
J. Lamb - J. Holiday - M. Turner - D. Sabonis - M. Brogdon,IND,11,137,112.2,121.1,-8.9,65,2.24,19.6,24.3,70.4,46,0.1,55.3,57.7,97.72,45.4,J. Lamb , J. Holiday , M. Turner , D. Sabonis , M. Brogdon
M. Conley - B. Bogdanovic - R. Gobert - J. Ingles - R. O'Neale,UTA,10,135,119.3,90.8,28.5,66.7,1.77,19.4,31.5,80.5,58.4,0.2,59,63.1,100.69,67.2,M. Conley , B. Bogdanovic , R. Gobert , J. Ingles , R. O'Neale
R. Westbrook - B. Beal - M. Wagner - R. Hachimura - G. Mathews,WAS,15,134,104,110.2,-6.1,67.9,1.77,19.3,15.2,62.9,40.6,0.1,52.9,57.5,108.1,48.7,R. Westbrook , B. Beal , M. Wagner , R. Hachimura , G. Mathews
G. Temple - N. Vucevic - D. Theis - C. White - P. Williams,CHI,10,131,94.6,114.1,-19.5,70.4,1.95,19.9,20.7,85.2,50.9,0.1,49.4,50.6,101.18,41.6,G. Temple , N. Vucevic , D. Theis , C. White , P. Williams
T. Thompson - K. Walker - J. Brown - J. Tatum - D. Theis,BOS,11,131,118,114,4,48.3,1.71,15.7,33.3,75.2,54.7,0.1,54.6,57.4,97.19,52.3,T. Thompson , K. Walker , J. Brown , J. Tatum , D. Theis
K. Lowry - A. Baynes - N. Powell - P. Siakam - F. VanVleet,TOR,10,129,120.4,116.4,3.9,62.2,2.47,19.2,23.7,73.6,45.6,0.1,56.2,60.4,104.19,49.3,K. Lowry , A. Baynes , N. Powell , P. Siakam , F. VanVleet
J. Crowder - D. Booker - C. Payne - M. Bridges - D. Ayton,PHX,37,127,120.8,108.8,12,57.3,1.97,19.2,23.4,66.9,48,0.1,62.2,65.9,104.92,55.4,J. Crowder , D. Booker , C. Payne , M. Bridges , D. Ayton
B. Lopez - K. Middleton - G. Antetokounmpo - B. Forbes - D. DiVincenzo,MIL,26,126,121.3,111,10.3,55.6,3.68,18.5,23.5,78.3,49.2,0.1,58.1,60.1,105.94,52.2,B. Lopez , K. Middleton , G. Antetokounmpo , B. Forbes , D. DiVincenzo
E. Bledsoe - W. Hernangomez - B. Ingram - L. Ball - Z. Williamson,NOP,13,126,118.6,105.7,12.9,58.7,1.82,18.4,27.5,76.9,52.1,0.1,57.7,60.5,107.08,55.1,E. Bledsoe , W. Hernangomez , B. Ingram , L. Ball , Z. Williamson
E. Bledsoe - S. Adams - B. Ingram - Z. Williamson - N. Alexander-Walker,NOP,11,125,123.2,124,-0.8,63.5,2.21,20.4,32.1,68.3,51.5,0.1,60,63.6,96.11,52.5,E. Bledsoe , S. Adams , B. Ingram , Z. Williamson , N. Alexander-Walker
J. Wall - K. Olynyk - C. Wood - K. Porter Jr. - J. Tate,HOU,6,125,120.4,116,4.4,52.8,1.67,17.2,33.6,72.7,52.7,0.1,57.3,59.7,103.32,52.3,J. Wall , K. Olynyk , C. Wood , K. Porter Jr. , J. Tate
R. Gay - P. Mills - D. Murray - J. Poeltl - D. Vassell,SAS,25,123,111.6,85.2,26.4,62.7,2.24,20.4,20.5,81.8,52.3,0.1,59,59.8,104.7,63.8,R. Gay , P. Mills , D. Murray , J. Poeltl , D. Vassell
G. Hayward - C. Zeller - T. Rozier - P. Washington - L. Ball,CHA,13,122,122,115,7,69.1,2.24,22.5,22.5,82.5,51.4,0.1,61.4,64.3,105.18,52,G. Hayward , C. Zeller , T. Rozier , P. Washington , L. Ball
R. Gobert - J. Clarkson - J. Ingles - G. Niang - M. Oni,UTA,22,118,120.1,96.4,23.7,53.2,1.61,16.9,33.3,73.7,55.3,0.1,61.2,62.7,101.36,60.4,R. Gobert , J. Clarkson , J. Ingles , G. Niang , M. Oni
E. Bledsoe - S. Adams - B. Ingram - L. Ball - J. Hart,NOP,26,117,116.7,105.8,11,61.9,1.86,18.1,42.4,81.8,61.4,0.1,57.1,59.7,99.93,56.4,E. Bledsoe , S. Adams , B. Ingram , L. Ball , J. Hart
T. Young - N. Vucevic - T. Satoransky - Z. LaVine - P. Williams,CHI,10,116,110.2,108.9,1.3,70.3,2.69,22.8,25.7,70.5,48.9,0.1,55.4,56.4,97.74,51.2,T. Young , N. Vucevic , T. Satoransky , Z. LaVine , P. Williams
A. Gordon - N. Jokic - P. Dozier - M. Porter Jr. - F. Campazzo,DEN,10,115,113.5,118.4,-4.9,67.6,2.15,21.1,21.2,80.2,51,0.1,58,60.9,103.28,48.2,A. Gordon , N. Jokic , P. Dozier , M. Porter Jr. , F. Campazzo
K. Lowry - A. Baynes - P. Siakam - F. VanVleet - O. Anunoby,TOR,10,114,102.9,107.1,-4.2,68.5,1.8,19.1,20.2,73.4,47.3,0.1,52.4,55.6,101.65,47.3,K. Lowry , A. Baynes , P. Siakam , F. VanVleet , O. Anunoby
J. Allen - C. Sexton - D. Garland - D. Wade - I. Okoro,CLE,12,113,102.6,100.4,2.1,60.7,1.29,16.9,28.7,72.1,51.1,0.2,51.8,54.7,98.7,52,J. Allen , C. Sexton , D. Garland , D. Wade , I. Okoro
T. Snell - C. Capela - B. Bogdanovic - J. Collins - T. Young,ATL,11,113,128.1,121.7,6.4,61.6,2.16,21.2,27.8,72.9,52.3,0.1,64.8,67.9,99.4,51.3,T. Snell , C. Capela , B. Bogdanovic , J. Collins , T. Young
C. Capela - B. Bogdanovic - J. Collins - K. Huerter - T. Young,ATL,14,112,123.1,101.3,21.8,50.9,2.07,17.1,31.8,77.5,55.9,0.1,58.9,62,102.01,61.3,C. Capela , B. Bogdanovic , J. Collins , K. Huerter , T. Young
T. Hardaway Jr. - K. Porzingis - J. Richardson - D. Finney-Smith - J. Brunson,DAL,22,112,127.6,107.9,19.8,60.2,3.42,19.8,33.3,77.5,57.1,0.1,58.3,61.3,97.91,59.7,T. Hardaway Jr. , K. Porzingis , J. Richardson , D. Finney-Smith , J. Brunson
K. Walker - M. Smart - J. Brown - J. Tatum - R. Williams III,BOS,10,111,118.9,116.6,2.3,72.1,2.08,22.3,32.1,73.6,52.8,0.2,60.5,62.4,98.66,50.7,K. Walker , M. Smart , J. Brown , J. Tatum , R. Williams III
R. Rubio - K. Towns - M. Beasley - J. Vanderbilt - A. Edwards,MIN,8,111,117.7,107.3,10.5,76.3,2.31,22.2,26.1,78.1,50.2,0.1,56.9,60.4,100.77,53.9,R. Rubio , K. Towns , M. Beasley , J. Vanderbilt , A. Edwards
W. Barton - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,DEN,5,110,127.1,108.7,18.5,63.6,1.94,21.9,32.2,79.8,58.1,0.2,63.5,66,95.7,59,W. Barton , A. Gordon , N. Jokic , J. Murray , M. Porter Jr.
T. Hardaway Jr. - W. Cauley-Stein - J. Richardson - D. Finney-Smith - L. Doncic,DAL,19,109,117.6,103.1,14.5,53,1.77,17.5,27.5,75.2,53.4,0.1,60.1,61.8,99.37,55.7,T. Hardaway Jr. , W. Cauley-Stein , J. Richardson , D. Finney-Smith , L. Doncic
D. Green - T. Harris - M. Scott - S. Curry - B. Simmons,PHI,10,108,110.1,108.3,1.8,64.6,2.3,19.9,19.3,75.5,46.4,0.1,55.9,57.7,102.07,48.3,D. Green , T. Harris , M. Scott , S. Curry , B. Simmons
C. Paul - D. Booker - T. Craig - M. Bridges - D. Ayton,PHX,14,107,128.4,117.3,11.2,50.9,2.12,18.7,24.7,73.4,50.3,0.1,63.8,66.5,98.04,53.8,C. Paul , D. Booker , T. Craig , M. Bridges , D. Ayton
E. Kanter - D. Lillard - C. McCollum - R. Covington - D. Jones Jr.,POR,17,107,115.6,123,-7.4,48.9,2.19,15.4,30.5,74.7,50.7,0.1,53.3,56.2,99.78,42.9,E. Kanter , D. Lillard , C. McCollum , R. Covington , D. Jones Jr.
B. Bogdanovic - R. Gobert - J. Clarkson - J. Ingles - R. O'Neale,UTA,16,106,100.9,102.6,-1.8,46.4,0.98,12.7,30.4,77.1,54.3,0.2,54,56.6,104.62,49.8,B. Bogdanovic , R. Gobert , J. Clarkson , J. Ingles , R. O'Neale
D. Rose - T. Gibson - R. Bullock - J. Randle - R. Barrett,NYK,26,106,115.2,100.9,14.4,52.7,4.08,16.3,25.4,77.4,51.5,0.1,53.4,57.2,102.34,54.5,D. Rose , T. Gibson , R. Bullock , J. Randle , R. Barrett
K. Lowry - N. Powell - P. Siakam - F. VanVleet - O. Anunoby,TOR,11,106,117,103.6,13.4,72.3,2.52,21.3,24.5,75.5,48,0.1,58.8,60.4,100.55,52.9,K. Lowry , N. Powell , P. Siakam , F. VanVleet , O. Anunoby
R. Rubio - K. Towns - M. Beasley - A. Edwards - J. McDaniels,MIN,11,106,118.4,120.9,-2.5,68,2.19,20.5,31.4,70.7,49.3,0.1,57.6,59.8,106.33,46.1,R. Rubio , K. Towns , M. Beasley , A. Edwards , J. McDaniels
S. Gilgeous-Alexander - D. Bazley - L. Dort - I. Roby - T. Maledon,OKC,11,104,105.6,121.3,-15.7,61.3,1.58,17.8,11.3,67.9,41.3,0.1,56.5,60,100.12,42.2,S. Gilgeous-Alexander , D. Bazley , L. Dort , I. Roby , T. Maledon
Z. LaVine - L. Markkanen - W. Carter Jr. - C. White - P. Williams,CHI,10,104,90,104,-14,62.7,1.21,15.7,18.6,80.9,49.3,0.2,47.6,51.3,105.24,43.3,Z. LaVine , L. Markkanen , W. Carter Jr. , C. White , P. Williams
W. Barton - A. Gordon - N. Jokic - M. Porter Jr. - F. Campazzo,DEN,11,103,123.8,123.1,0.8,64.3,2.1,20.5,31.3,75.3,53.4,0.1,58.9,62.7,98.03,50.8,W. Barton , A. Gordon , N. Jokic , M. Porter Jr. , F. Campazzo
G. Hill - S. Gilgeous-Alexander - D. Bazley - L. Dort - I. Roby,OKC,6,102,105.4,126,-20.6,52.4,1.57,16.4,21.9,65,43.9,0.1,53.4,56.2,96.91,40.9,G. Hill , S. Gilgeous-Alexander , D. Bazley , L. Dort , I. Roby
S. Hill - C. Capela - B. Bogdanovic - K. Huerter - T. Young,ATL,10,98,130,107.7,22.3,61.5,3.76,21.5,24.7,78.1,51.9,0.1,63.1,64.6,102.9,57.4,S. Hill , C. Capela , B. Bogdanovic , K. Huerter , T. Young
R. Rubio - K. Towns - J. Layman - J. Vanderbilt - A. Edwards,MIN,8,97,100.5,101.9,-1.4,69,1.29,19.6,23.7,70,48.8,0.2,55.5,57.6,106.08,51.8,R. Rubio , K. Towns , J. Layman , J. Vanderbilt , A. Edwards
C. Capela - J. Collins - T. Young - C. Reddish - D. Hunter,ATL,10,96,113.9,100,13.9,64,2.28,19.3,29.5,78.9,54.7,0.1,53.5,57.1,103.2,57.6,C. Capela , J. Collins , T. Young , C. Reddish , D. Hunter
D. Howard - M. Scott - F. Korkmaz - S. Milton - M. Thybulle,PHI,16,96,101.4,100,1.4,58,1.62,16.4,27.7,74.3,51,0.1,53.1,55.5,106.34,50.1,D. Howard , M. Scott , F. Korkmaz , S. Milton , M. Thybulle
J. Butler - K. Olynyk - B. Adebayo - D. Robinson - T. Herro,MIA,13,96,118.8,101,17.8,68.6,2.68,20.8,23.7,82.1,55.6,0.1,56.5,60.7,101.39,61.1,J. Butler , K. Olynyk , B. Adebayo , D. Robinson , T. Herro
R. Westbrook - B. Beal - A. Len - R. Hachimura - G. Mathews,WAS,9,96,112.3,120.8,-8.4,60.9,1.75,19.6,21.2,71.7,49.2,0.2,58.2,60.6,105.46,47.2,R. Westbrook , B. Beal , A. Len , R. Hachimura , G. Mathews
A. Iguodala - B. Adebayo - D. Robinson - G. Vincent - T. Herro,MIA,13,95,109,101.1,8,64.5,2.04,18.7,28.4,67.4,48.3,0.1,53.7,57.3,94.76,56.5,A. Iguodala , B. Adebayo , D. Robinson , G. Vincent , T. Herro
