LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5
K. Perkins - T. Sefolosha - K. Durant - R. Westbrook - S. Ibaka,OKC,76,1307,109.5,97.3,12.2,57.4,1.5,17.3,28.7,71,51.8,0.2,52.7,57.2,95.17,58.2,K. Perkins , T. Sefolosha , K. Durant , R. Westbrook , S. Ibaka
D. West - R. Hibbert - G. Hill - P. George - L. Stephenson,IND,64,1218,109,97.3,11.7,60.1,1.81,18.3,31.4,73,52.8,0.1,51.8,55.1,91.41,57.9,D. West , R. Hibbert , G. Hill , P. George , L. Stephenson
L. Aldridge - J. Hickson - N. Batum - W. Matthews - D. Lillard,POR,60,1143,104.8,106.3,-1.6,62,1.58,18,29.8,68.9,49.5,0.2,51.3,54.3,93.06,49.2,L. Aldridge , J. Hickson , N. Batum , W. Matthews , D. Lillard
A. Iguodala - D. Gallinari - K. Koufos - T. Lawson - K. Faried,DEN,62,797,108,100.4,7.6,60.6,1.67,18.3,33.2,72.3,52.9,0.2,52.1,54.5,95.37,53.6,A. Iguodala , D. Gallinari , K. Koufos , T. Lawson , K. Faried
C. Butler - W. Green - C. Paul - D. Jordan - B. Griffin,LAC,46,701,113.2,105,8.2,68,2.17,21.2,32.1,71.5,51.5,0.1,54.9,56.7,90.61,55.5,C. Butler , W. Green , C. Paul , D. Jordan , B. Griffin
L. James - C. Bosh - D. Wade - U. Haslem - M. Chalmers,MIA,47,688,110.5,97.2,13.2,64.5,1.88,20.5,24,67.3,47.1,0.2,55.4,58.4,92.02,58.5,L. James , C. Bosh , D. Wade , U. Haslem , M. Chalmers
J. Johnson - G. Wallace - R. Evans - D. Williams - B. Lopez,BKN,44,640,108.2,103.4,4.8,57.4,1.52,17.1,33.8,77.9,55.6,0.2,52.1,55.1,90.61,53,J. Johnson , G. Wallace , R. Evans , D. Williams , B. Lopez
Z. Randolph - T. Allen - R. Gay - M. Conley - M. Gasol,MEM,35,631,102.9,93.5,9.4,55.5,1.39,16.1,36.1,72.6,53.7,0.2,46.9,51.1,90.26,55.1,Z. Randolph , T. Allen , R. Gay , M. Conley , M. Gasol
T. Prince - J. Maxiell - G. Monroe - B. Knight - K. Singler,DET,40,605,102.6,101.2,1.4,57.7,1.21,16.5,32.8,72.6,53.6,0.2,49.4,53.6,90.68,51.5,T. Prince , J. Maxiell , G. Monroe , B. Knight , K. Singler
J. Salmons - J. Thompson - T. Evans - D. Cousins - I. Thomas,SAC,43,581,103.3,110,-6.7,59.8,1.53,17.5,27.7,70.8,48.3,0.2,49.7,53.5,96.71,43.4,J. Salmons , J. Thompson , T. Evans , D. Cousins , I. Thomas
O. Asik - J. Harden - P. Patterson - J. Lin - C. Parsons,HOU,37,567,105.1,105.4,-0.4,62.4,1.35,17.9,28.3,74.1,51.5,0.2,52.9,56.8,98.61,50.2,O. Asik , J. Harden , P. Patterson , J. Lin , C. Parsons
Z. Randolph - T. Prince - T. Allen - M. Conley - M. Gasol,MEM,31,557,102.2,89.8,12.4,59.6,1.69,17.2,33,70.8,51.9,0.1,46.8,50.8,86.42,58.7,Z. Randolph , T. Prince , T. Allen , M. Conley , M. Gasol
D. Lee - S. Curry - K. Thompson - H. Barnes - F. Ezeli,GSW,55,517,105.1,101.9,3.2,60,1.48,17.9,30.3,73.9,52.7,0.2,51.8,54.8,95.89,50.3,D. Lee , S. Curry , K. Thompson , H. Barnes , F. Ezeli
E. Gordon - R. Lopez - A. Aminu - G. Vasquez - A. Davis,NOH,35,505,104.3,105.1,-0.7,58.8,1.54,17.7,33.4,73.2,53.1,0.2,49.3,53.1,93.2,49.7,E. Gordon , R. Lopez , A. Aminu , G. Vasquez , A. Davis
J. Tinsley - A. Jefferson - M. Williams - R. Foye - P. Millsap,UTA,29,454,102,109.2,-7.2,64.1,1.83,18.4,23.3,66.1,44.6,0.1,49.3,53.1,90.34,46,J. Tinsley , A. Jefferson , M. Williams , R. Foye , P. Millsap
L. Scola - M. Gortat - P. Tucker - J. Dudley - G. Dragic,PHX,38,442,95.8,101.6,-5.8,65.1,1.59,18.1,30.9,70.1,49.8,0.2,46.5,49.3,94.87,46.9,L. Scola , M. Gortat , P. Tucker , J. Dudley , G. Dragic
R. Hamilton - C. Boozer - K. Hinrich - L. Deng - J. Noah,CHI,25,429,101.5,97.8,3.6,69.2,1.57,19.9,34.1,73.4,54.5,0.2,49.3,52.7,92.11,54.9,R. Hamilton , C. Boozer , K. Hinrich , L. Deng , J. Noah
A. Bogut - D. Lee - S. Curry - K. Thompson - H. Barnes,GSW,30,423,104.6,102.7,1.9,61.7,1.78,18.6,23.6,73.3,49.2,0.1,52.1,55,96.54,50.1,A. Bogut , D. Lee , S. Curry , K. Thompson , H. Barnes
A. Gee - K. Irving - T. Thompson - D. Waiters - T. Zeller,CLE,31,422,102.3,107.9,-5.6,56.1,1.55,16.3,30.2,69.4,48.6,0.1,48.2,51.6,94.39,43.7,A. Gee , K. Irving , T. Thompson , D. Waiters , T. Zeller
