LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5,
A. Aminu - D. Lillard - A. Crabbe - C. McCollum - M. Plumlee,POR,38,131,107.3,98.9,8.4,52.5,2.04,14.1,29.9,72.3,49.8,0.1,45.9,53.8,103.31,55.9,A. Aminu , D. Lillard , A. Crabbe , C. McCollum , M. Plumlee,
E. Gordon - O. Asik - T. Evans - A. Gee - A. Davis,NOP,15,131,103.9,108.9,-5.1,64.7,1.78,18.4,28.2,73.4,50.6,0.1,48.9,52.9,94.05,47.6,E. Gordon , O. Asik , T. Evans , A. Gee , A. Davis,
J. Crawford - C. Paul - J. Redick - D. Jordan - W. Johnson,LAC,36,130,113.8,93.1,20.7,60.5,2.09,17,34.8,65.7,50.2,0.1,53.1,57.7,104.12,63.6,J. Crawford , C. Paul , J. Redick , D. Jordan , W. Johnson,
L. Scola - K. Lowry - D. DeRozan - D. Carroll - B. Biyombo,TOR,15,130,102,109,-7,53.1,1.63,15.5,24,76.5,48.8,0.1,48.9,52.7,93.99,45.7,L. Scola , K. Lowry , D. DeRozan , D. Carroll , B. Biyombo,
G. Henderson - E. Davis - D. Lillard - M. Leonard - A. Crabbe,POR,30,129,109.7,93.4,16.2,57.8,1.91,17.2,28.7,72.7,51.7,0.1,52.3,56,100.74,60,G. Henderson , E. Davis , D. Lillard , M. Leonard , A. Crabbe,
K. Durant - R. Westbrook - S. Ibaka - E. Kanter - D. Waiters,OKC,38,129,126.6,110.2,16.4,53.4,1.8,16.3,42.3,77.5,59.7,0.1,55.1,62,99.6,57.9,K. Durant , R. Westbrook , S. Ibaka , E. Kanter , D. Waiters,
M. Williams - N. Batum - J. Lin - K. Walker - C. Zeller,CHA,31,129,106.5,99.6,6.9,54.1,2.04,14.5,29.3,77.1,52.4,0.1,48.9,55,103.54,52,M. Williams , N. Batum , J. Lin , K. Walker , C. Zeller,
P. Gasol - D. Rose - N. Mirotic - J. Butler - D. McDermott,CHI,32,129,100.3,93.3,7,60.7,1.42,17,26.1,74.7,52.4,0.2,51.5,55.8,109.14,55.7,P. Gasol , D. Rose , N. Mirotic , J. Butler , D. McDermott,
P. Tucker - E. Bledsoe - B. Knight - J. Leuer - A. Len,PHX,13,128,100,98.1,1.9,57.8,1.19,17.2,34.4,71.3,53.6,0.2,51.5,53.1,97.79,52.1,P. Tucker , E. Bledsoe , B. Knight , J. Leuer , A. Len,
A. Johnson - E. Turner - A. Bradley - I. Thomas - J. Sullinger,BOS,19,127,109.4,96.6,12.8,56.8,1.75,17.2,32.3,82.6,57.9,0.1,51.3,55.3,100.29,57.8,A. Johnson , E. Turner , A. Bradley , I. Thomas , J. Sullinger,
A. Iguodala - S. Curry - K. Thompson - F. Ezeli - D. Green,GSW,34,126,114.3,90.2,24.1,69.7,2.02,20.5,27.6,75.3,54.5,0.1,62.1,64.9,110.21,68.6,A. Iguodala , S. Curry , K. Thompson , F. Ezeli , D. Green,
T. Chandler - P. Tucker - B. Knight - A. Len - D. Booker,PHX,9,126,94.4,111.3,-16.9,65.6,1.15,17.1,29.9,75.9,53.5,0.2,47.3,51.8,101.14,41.8,T. Chandler , P. Tucker , B. Knight , A. Len , D. Booker,
K. Garnett - K. Martin - R. Rubio - A. Wiggins - K. Towns,MIN,12,122,98.8,104.8,-6,71.1,1.88,18.7,24.4,69.5,47.4,0.1,46.8,52.2,98,50.3,K. Garnett , K. Martin , R. Rubio , A. Wiggins , K. Towns,
M. Gortat - G. Temple - J. Wall - M. Morris - O. Porter Jr.,WAS,19,122,93.7,93.8,-0.1,67,1.43,18.3,22.4,77.9,49.8,0.2,50.2,52.7,100.54,52.3,M. Gortat , G. Temple , J. Wall , M. Morris , O. Porter Jr.,
D. Gallinari - J. Hickson - K. Faried - G. Harris - E. Mudiay,DEN,9,121,103.7,108.7,-5,63.7,1.91,18.6,32.3,79.3,54.7,0.1,48.7,50.5,95.89,48.4,D. Gallinari , J. Hickson , K. Faried , G. Harris , E. Mudiay,
T. Duncan - M. Ginobili - T. Parker - L. Aldridge - K. Leonard,SAS,31,121,107,88.4,18.5,64,2,18.8,29.1,75.6,53.3,0.1,49.3,54.6,98.06,60.6,T. Duncan , M. Ginobili , T. Parker , L. Aldridge , K. Leonard,
M. Gortat - J. Dudley - G. Temple - J. Wall - K. Oubre Jr.,WAS,15,115,103.8,103.7,0.1,68.6,2,20.8,23,67.4,46.7,0.1,55,55.7,101.48,49.7,M. Gortat , J. Dudley , G. Temple , J. Wall , K. Oubre Jr.,
L. Thomas - D. Williams - K. O'Quinn - L. Galloway - J. Grant,NYK,27,114,94.9,101.3,-6.3,60.3,1.24,14.8,31.9,74.6,53.2,0.2,45.3,51,99.24,47.1,L. Thomas , D. Williams , K. O'Quinn , L. Galloway , J. Grant,
M. Ginobili - B. Diaw - L. Aldridge - P. Mills - K. Leonard,SAS,41,114,107.2,93.4,13.9,66.7,2.13,20,23.2,71.6,49.3,0.1,56,60.1,100.12,59.4,M. Ginobili , B. Diaw , L. Aldridge , P. Mills , K. Leonard,
D. Favors - G. Hayward - R. Neto - R. Hood - T. Lyles,UTA,19,113,106.4,95.5,10.9,53.5,1.59,15.9,25.2,77.7,52.1,0.1,51.9,55.9,93.18,55.9,D. Favors , G. Hayward , R. Neto , R. Hood , T. Lyles,
R. Gay - R. Rondo - D. Cousins - B. McLemore - W. Cauley-Stein,SAC,13,113,112.7,97.5,15.2,61.4,1.63,18.8,29,83.3,57,0.2,55,58.5,101.7,57.5,R. Gay , R. Rondo , D. Cousins , B. McLemore , W. Cauley-Stein,
P. Gasol - M. Dunleavy - D. Rose - T. Gibson - E. Moore,CHI,9,112,114.8,113.4,1.4,60.6,2.22,18.8,28,62.8,47,0.1,54.5,58.7,98.9,53.7,P. Gasol , M. Dunleavy , D. Rose , T. Gibson , E. Moore,
D. Howard - J. Smith - T. Ariza - J. Harden - P. Beverley,HOU,18,110,107.2,102.2,5.1,64.8,1.84,17.1,33.6,77.7,53.2,0.1,48.1,53.3,102.33,53.2,D. Howard , J. Smith , T. Ariza , J. Harden , P. Beverley,
L. Williams - R. Hibbert - J. Clarkson - A. Brown - L. Nance Jr.,LAL,7,110,96,96.4,-0.4,46.2,1.24,12.4,24.8,72.6,48.2,0.1,42.8,47.7,97.7,46.2,L. Williams , R. Hibbert , J. Clarkson , A. Brown , L. Nance Jr.,
G. Hayward - R. Gobert - R. Neto - R. Hood - T. Lyles,UTA,17,109,111.2,101.5,9.7,53.6,2.05,17.1,22.9,73,48.5,0.1,56.3,58.1,87.61,55.4,G. Hayward , R. Gobert , R. Neto , R. Hood , T. Lyles,
R. Gay - R. Rondo - M. Belinelli - D. Collison - D. Cousins,SAC,26,108,109.3,104.3,5.1,68.7,2.19,19.8,25,67,45.6,0.1,56,57.4,107.49,56.2,R. Gay , R. Rondo , M. Belinelli , D. Collison , D. Cousins,
I. Smith - N. Noel - R. Covington - N. Stauskas - J. Okafor,PHI,12,106,93.4,106.4,-13,52.9,1.02,15.5,19.4,75.9,49,0.2,49.2,53.4,104,42.5,I. Smith , N. Noel , R. Covington , N. Stauskas , J. Okafor,
T. Sefolosha - P. Millsap - A. Horford - J. Teague - K. Bazemore,ATL,44,106,87.2,102.8,-15.6,59.7,1.54,13.7,24.8,69.2,46.4,0.1,45.7,50.8,108.92,42.6,T. Sefolosha , P. Millsap , A. Horford , J. Teague , K. Bazemore,
C. Bosh - D. Wade - G. Green - G. Dragic - H. Whiteside,MIA,14,105,107.9,100,7.9,53.4,1.42,16.8,31.2,63.9,49.5,0.2,54.3,56.5,93.43,59.2,C. Bosh , D. Wade , G. Green , G. Dragic , H. Whiteside,
I. Mahinmi - M. Ellis - G. Hill - P. George - S. Hill,IND,20,105,114.3,94.8,19.5,61.3,2.38,18.2,32.1,78.3,56.1,0.1,54.2,58.8,103.11,66.7,I. Mahinmi , M. Ellis , G. Hill , P. George , S. Hill,
I. Smith - N. Noel - R. Covington - N. Stauskas - J. Grant,PHI,16,105,102.2,98.7,3.5,67.5,1.75,18.5,17.6,72.3,44,0.1,52.2,56.6,104.01,51.8,I. Smith , N. Noel , R. Covington , N. Stauskas , J. Grant,
C. Anthony - J. Calderon - A. Afflalo - R. Lopez - L. Thomas,NYK,28,103,104.6,97.3,7.3,51.2,1.07,15.7,22.6,74.3,51.8,0.2,55.7,60.9,101.42,52.3,C. Anthony , J. Calderon , A. Afflalo , R. Lopez , L. Thomas,
J. Johnson - T. Young - B. Lopez - B. Bogdanovic - S. Larkin,BKN,23,103,108.4,101.4,7,56.6,1.68,17,28.7,73.4,52.7,0.1,51.7,56.2,95.63,49.9,J. Johnson , T. Young , B. Lopez , B. Bogdanovic , S. Larkin,
L. Scola - K. Lowry - D. DeRozan - B. Biyombo - T. Ross,TOR,18,103,101,105.4,-4.4,50,1.29,14.7,24.7,76.1,52.5,0.1,52.6,56.1,96.62,48.4,L. Scola , K. Lowry , D. DeRozan , B. Biyombo , T. Ross,
Z. Pachulia - R. Felton - D. Williams - W. Matthews - C. Parsons,DAL,22,103,105.8,104.1,1.6,55.3,1.62,15.3,28.4,67.3,49,0.1,51.2,56.8,98.51,50.9,Z. Pachulia , R. Felton , D. Williams , W. Matthews , C. Parsons,
D. Nowitzki - Z. Pachulia - J. Barea - W. Matthews - C. Parsons,DAL,8,102,122.2,108.6,13.5,56.3,3.77,18.4,24.5,72.7,47.3,0.1,56,58.9,92.42,54.3,D. Nowitzki , Z. Pachulia , J. Barea , W. Matthews , C. Parsons,
E. Ilyasova - M. Morris - R. Jackson - A. Drummond - S. Johnson,DET,21,102,103.7,107.6,-3.8,50,1.4,14.8,25,84.4,49.7,0.1,53.4,55.6,100.12,44.6,E. Ilyasova , M. Morris , R. Jackson , A. Drummond , S. Johnson,
K. Lowry - D. DeRozan - P. Patterson - B. Biyombo - T. Ross,TOR,33,102,93.4,107.1,-13.7,47.8,1.1,12,29.9,70.3,49.5,0.1,45.6,50.6,99.47,41,K. Lowry , D. DeRozan , P. Patterson , B. Biyombo , T. Ross,
J. Jerebko - E. Turner - A. Bradley - T. Zeller - M. Smart,BOS,19,101,106.9,105.4,1.5,59.5,1.79,17,37.3,65.1,51.1,0.1,48.2,51.9,96.72,52.8,J. Jerebko , E. Turner , A. Bradley , T. Zeller , M. Smart,
C. Paul - J. Redick - D. Jordan - B. Griffin - W. Johnson,LAC,17,100,103.3,95.6,7.7,63,2.13,17.6,25.9,74.5,50,0.1,49.4,52.8,99.54,56.2,C. Paul , J. Redick , D. Jordan , B. Griffin , W. Johnson,
M. World Peace - R. Hibbert - J. Clarkson - J. Randle - D. Russell,LAL,18,99,86,101.9,-15.9,56.1,1.32,14,18.8,67.2,43.4,0.1,42.8,46.8,100.44,42,M. World Peace , R. Hibbert , J. Clarkson , J. Randle , D. Russell,
C. Frye - N. Vucevic - T. Harris - E. Fournier - V. Oladipo,ORL,13,98,102.6,103.1,-0.5,58.8,1.74,18,25.5,72.7,48.4,0.1,50.6,53.1,93.49,48.2,C. Frye , N. Vucevic , T. Harris , E. Fournier , V. Oladipo,
Z. Randolph - M. Conley - J. Green - M. Gasol - C. Lee,MEM,25,98,95.6,111.2,-15.6,66.7,2.29,17.1,29.5,70.1,47.2,0.1,44.1,49.1,95.77,41.6,Z. Randolph , M. Conley , J. Green , M. Gasol , C. Lee,
A. Bradley - I. Thomas - J. Sullinger - J. Crowder - K. Olynyk,BOS,23,97,114.5,91.2,23.3,61.4,2.16,18.3,28.4,73.8,51.2,0.1,52.4,57.9,105.94,63.1,A. Bradley , I. Thomas , J. Sullinger , J. Crowder , K. Olynyk,
D. Gallinari - D. Arthur - G. Harris - N. Jokic - E. Mudiay,DEN,10,97,115,99.5,15.5,65.9,2.16,19.9,28.7,74,52.9,0.1,53.9,58.8,95.92,59.7,D. Gallinari , D. Arthur , G. Harris , N. Jokic , E. Mudiay,
K. Lowry - D. DeRozan - P. Patterson - J. Valanciunas - C. Joseph,TOR,30,97,124.6,111.5,13.1,47.4,1.71,14.1,30.5,73.6,53.2,0.1,56.7,62.9,93.8,59.8,K. Lowry , D. DeRozan , P. Patterson , J. Valanciunas , C. Joseph,
E. Davis - M. Leonard - M. Harkless - A. Crabbe - C. McCollum,POR,22,96,106.3,93.2,13.2,57.3,1.47,17.3,35.6,74.7,54.7,0.2,51.9,52.9,94.82,50.9,E. Davis , M. Leonard , M. Harkless , A. Crabbe , C. McCollum,
T. Chandler - P. Tucker - M. Morris - A. Goodwin - D. Booker,PHX,6,96,102.6,113.5,-10.9,60.6,1.19,16.6,27.9,73.7,51.9,0.2,52.3,56.8,96.14,45.4,T. Chandler , P. Tucker , M. Morris , A. Goodwin , D. Booker,
C. Paul - J. Redick - J. Green - D. Jordan - L. Mbah a Moute,LAC,9,95,119,107,12,61.7,2.78,19.9,20.2,71.9,46.8,0.1,56.9,60.2,93.58,57.6,C. Paul , J. Redick , J. Green , D. Jordan , L. Mbah a Moute,
J. Johnson - D. Wade - H. Whiteside - J. Winslow - J. Richardson,MIA,17,95,113.4,105.7,7.7,42.5,1.54,14.5,30.9,79.3,56,0.1,57.7,60.7,97.59,55.2,J. Johnson , D. Wade , H. Whiteside , J. Winslow , J. Richardson,
E. Ilyasova - R. Jackson - A. Drummond - K. Caldwell-Pope - S. Johnson,DET,31,94,96,108.5,-12.6,43.2,0.91,12.3,32.7,70.7,51.8,0.2,49.4,51.7,101.08,39.8,E. Ilyasova , R. Jackson , A. Drummond , K. Caldwell,Pope , S. Johnson
M. Williams - S. Hawes - J. Lin - J. Lamb - F. Kaminsky,CHA,19,93,115.3,90.1,25.2,67.5,2.08,20.2,33.3,72,54.3,0.1,54.9,58.1,93.9,63,M. Williams , S. Hawes , J. Lin , J. Lamb , F. Kaminsky,
P. Gasol - M. Dunleavy - D. Rose - T. Gibson - J. Butler,CHI,6,93,103.1,103.2,-0.1,68.8,2.65,18.7,33.3,76.3,53.4,0.1,44.7,48.8,98.54,51.7,P. Gasol , M. Dunleavy , D. Rose , T. Gibson , J. Butler,
D. Howard - T. Ariza - J. Harden - P. Beverley - T. Jones,HOU,24,92,104.2,128.3,-24.1,47.7,1.15,12.6,28.3,62,43.9,0.1,50.3,55.1,99.19,36.3,D. Howard , T. Ariza , J. Harden , P. Beverley , T. Jones,
R. Stuckey - G. Hill - J. Hill - C. Budinger - L. Allen,IND,15,92,115.8,97.3,18.5,51.2,1.68,17.1,33.3,79.8,57,0.1,55,58.4,94.53,60.3,R. Stuckey , G. Hill , J. Hill , C. Budinger , L. Allen,
A. Jefferson - M. Williams - N. Batum - J. Lin - K. Walker,CHA,26,90,115.3,82.9,32.4,57.5,1.91,16.6,27.9,72.5,52.8,0.1,54.2,60.2,100.94,71.6,A. Jefferson , M. Williams , N. Batum , J. Lin , K. Walker,
D. Arthur - G. Harris - J. Sampson - N. Jokic - E. Mudiay,DEN,11,90,92.3,117.6,-25.4,59.7,1.74,15.5,31.4,75.6,50,0.1,39.9,43.2,97.9,35.2,D. Arthur , G. Harris , J. Sampson , N. Jokic , E. Mudiay,
R. Rubio - S. Muhammad - Z. LaVine - A. Wiggins - K. Towns,MIN,21,90,114.7,110.6,4.1,58.7,1.57,16.7,21.8,72.8,49.4,0.1,56.6,63,107.37,53.3,R. Rubio , S. Muhammad , Z. LaVine , A. Wiggins , K. Towns,
G. Hayward - J. Withey - R. Neto - R. Hood - T. Lyles,UTA,12,89,108.4,119.4,-11,59.7,1.29,17.6,27.4,76.1,50.7,0.2,54.7,59.4,89.48,44.5,G. Hayward , J. Withey , R. Neto , R. Hood , T. Lyles,
G. Henderson - E. Davis - D. Lillard - M. Harkless - A. Crabbe,POR,27,89,106.4,114.2,-7.8,44.3,1.15,12.4,37.4,64.9,51.6,0.1,51,54.9,99.55,47.1,G. Henderson , E. Davis , D. Lillard , M. Harkless , A. Crabbe,
J. Bayless - G. Monroe - K. Middleton - M. Carter-Williams - G. Antetokounmpo,MIL,19,89,109.4,102.1,7.4,58.3,1.5,16.5,28.4,70.1,50,0.1,55.6,59.8,103.86,55,J. Bayless , G. Monroe , K. Middleton , M. Carter-Williams , G. Antetokounmpo,
K. Seraphin - L. Thomas - D. Williams - L. Galloway - J. Grant,NYK,20,89,86.8,93.8,-7,68.4,1.34,15.6,23.2,67.4,44.5,0.2,40.4,46.9,103.78,42,K. Seraphin , L. Thomas , D. Williams , L. Galloway , J. Grant,
R. Anderson - J. Holiday - D. Cunningham - N. Cole - A. Davis,NOP,21,89,102.1,101.6,0.5,60.9,2,16.7,21.5,70.5,43.9,0.1,49.4,54.5,103.34,50.2,R. Anderson , J. Holiday , D. Cunningham , N. Cole , A. Davis,
E. Davis - D. Lillard - M. Leonard - M. Harkless - A. Crabbe,POR,27,88,94.1,108.3,-14.2,58.7,1.23,14.7,38.2,79.7,56.4,0.2,45.5,50,100.12,42.4,E. Davis , D. Lillard , M. Leonard , M. Harkless , A. Crabbe,
L. Barbosa - S. Livingston - A. Iguodala - M. Speights - H. Barnes,GSW,25,88,95.7,100.5,-4.9,65.2,1.72,17.2,29.4,71.4,50.3,0.1,45.3,51.7,102.09,48.1,L. Barbosa , S. Livingston , A. Iguodala , M. Speights , H. Barnes,
M. Belinelli - K. Koufos - D. Collison - O. Casspi - W. Cauley-Stein,SAC,23,88,92.6,104.7,-12.1,50,1.33,13.8,36.5,76.2,54.3,0.1,44,46.8,103.61,42.1,M. Belinelli , K. Koufos , D. Collison , O. Casspi , W. Cauley-Stein,
T. Chandler - P. Tucker - E. Bledsoe - B. Knight - J. Leuer,PHX,10,88,88.8,113,-24.1,41.5,0.9,11.6,22,78.4,47.3,0.2,47.7,50.4,101.21,39.6,T. Chandler , P. Tucker , E. Bledsoe , B. Knight , J. Leuer,
C. Anthony - A. Afflalo - R. Lopez - K. Porzingis - L. Galloway,NYK,15,87,102.8,93.1,9.7,64.5,2.67,16.2,26.2,76.7,48.7,0.1,43.2,49.5,97.22,54.7,C. Anthony , A. Afflalo , R. Lopez , K. Porzingis , L. Galloway,
D. Gallinari - K. Faried - W. Barton - G. Harris - E. Mudiay,DEN,22,87,113.8,113,0.8,52.2,1.35,13.8,35.2,70.9,52.9,0.1,50,58.4,105.87,50.4,D. Gallinari , K. Faried , W. Barton , G. Harris , E. Mudiay,
I. Smith - H. Thompson - N. Noel - I. Canaan - J. Grant,PHI,15,87,96.3,109.1,-12.9,60,1.44,15.1,20,67,43.6,0.1,49.3,53.8,102.74,44.5,I. Smith , H. Thompson , N. Noel , I. Canaan , J. Grant,
S. Livingston - S. Curry - K. Thompson - H. Barnes - D. Green,GSW,29,87,122.2,103.7,18.5,66.3,2.21,19.9,29.5,70.9,53,0.1,61.1,66.7,105.45,62.9,S. Livingston , S. Curry , K. Thompson , H. Barnes , D. Green,
A. Aminu - A. Crabbe - C. McCollum - M. Plumlee - N. Vonleh,POR,10,86,102.3,102.3,0,56.1,1.61,16.4,17.3,71.6,45.6,0.1,52.1,54.9,96.46,51.3,A. Aminu , A. Crabbe , C. McCollum , M. Plumlee , N. Vonleh,
M. Ellis - G. Hill - J. Hill - P. George - L. Allen,IND,25,86,113.4,94.1,19.3,60,1.77,16.1,38.2,75,56.1,0.1,50,55.9,94.67,59.4,M. Ellis , G. Hill , J. Hill , P. George , L. Allen,
N. Noel - N. Stauskas - J. Grant - T. McConnell - J. Okafor,PHI,10,86,79.7,102.3,-22.7,47.5,0.67,12.6,25.9,72,50,0.2,44.3,46.3,95.89,33.8,N. Noel , N. Stauskas , J. Grant , T. McConnell , J. Okafor,
A. Stoudemire - C. Bosh - D. Wade - L. Deng - G. Dragic,MIA,12,85,111.3,100.6,10.7,71.4,2.39,22.2,31.3,84.7,58.8,0.1,53,56,95.96,56.5,A. Stoudemire , C. Bosh , D. Wade , L. Deng , G. Dragic,
K. Bryant - B. Bass - J. Clarkson - J. Randle - D. Russell,LAL,31,85,123.6,109.9,13.7,46.8,4.63,15.1,33.3,71.8,51.4,0,52.3,56.8,101.55,52.6,K. Bryant , B. Bass , J. Clarkson , J. Randle , D. Russell,
K. Lowry - D. DeRozan - P. Patterson - J. Valanciunas - T. Ross,TOR,32,85,130.4,95.3,35.1,53,3.67,18.3,22.4,75,51,0.1,62.6,67.7,99.05,68.2,K. Lowry , D. DeRozan , P. Patterson , J. Valanciunas , T. Ross,
D. Wade - L. Deng - G. Green - G. Dragic - H. Whiteside,MIA,20,84,108,115.9,-7.9,52.9,1.48,16.5,34.2,69.1,52.2,0.2,52.8,56.4,92.91,46.4,D. Wade , L. Deng , G. Green , G. Dragic , H. Whiteside,
J. Crawford - C. Paul - J. Redick - D. Jordan - B. Griffin,LAC,21,84,119.8,101.7,18.1,73.6,3.12,20.6,15.2,69.8,45.1,0.1,62.1,64.2,106.89,64.6,J. Crawford , C. Paul , J. Redick , D. Jordan , B. Griffin,
P. Pierce - J. Crawford - C. Paul - J. Redick - D. Jordan,LAC,27,83,111.8,93.8,17.9,64.3,1.73,18.7,13.4,81.6,49.7,0.1,61.9,65.4,105.51,60.5,P. Pierce , J. Crawford , C. Paul , J. Redick , D. Jordan,
S. Blake - A. Tolliver - A. Baynes - K. Caldwell-Pope - S. Johnson,DET,19,83,103.1,106.7,-3.7,68.7,1.84,19.1,37.9,70.5,53.6,0.2,49,50.4,94.44,48.2,S. Blake , A. Tolliver , A. Baynes , K. Caldwell-Pope , S. Johnson,
Z. Randolph - T. Allen - M. Gasol - C. Lee - M. Chalmers,MEM,14,83,97.4,109,-11.6,60.7,1.54,17.3,32,69.9,50.7,0.2,47.4,51.1,90.07,45.6,Z. Randolph , T. Allen , M. Gasol , C. Lee , M. Chalmers,
E. Fournier - D. Dedmon - V. Oladipo - E. Payton - A. Gordon,ORL,12,82,107.8,112.4,-4.5,63.5,1.81,19.9,31.3,55.6,44.1,0.2,53.4,55.8,98.91,48.3,E. Fournier , D. Dedmon , V. Oladipo , E. Payton , A. Gordon,
J. Johnson - D. Wade - L. Deng - G. Dragic - H. Whiteside,MIA,15,82,118.2,103,15.2,53.2,2.16,17.7,34.6,70.6,53.4,0.1,53.6,57.8,97.42,57.8,J. Johnson , D. Wade , L. Deng , G. Dragic , H. Whiteside,
R. Foye - K. Durant - E. Kanter - K. Singler - D. Waiters,OKC,13,82,100,119.9,-19.9,55,0.89,14.3,38,57.5,48.2,0.2,50,55,98.97,38.3,R. Foye , K. Durant , E. Kanter , K. Singler , D. Waiters,
A. Jefferson - M. Williams - C. Lee - N. Batum - K. Walker,CHA,20,81,119.1,102.4,16.7,54.2,3.25,18.7,19.2,74.4,49.1,0.1,58.3,60.8,94.87,52.9,A. Jefferson , M. Williams , C. Lee , N. Batum , K. Walker,
D. Augustin - W. Barton - J. Lauvergne - J. Nurkic - A. Toupane,DEN,7,81,125.5,103.2,22.3,59.7,2.09,20,41.3,76.3,58.9,0.1,57.8,59.4,91.62,58.6,D. Augustin , W. Barton , J. Lauvergne , J. Nurkic , A. Toupane,
T. Duncan - T. Parker - D. West - D. Green - K. Leonard,SAS,21,81,109.4,90.6,18.8,63.6,1.62,19,27,75.6,52.6,0.2,53.7,57.6,94.05,60.2,T. Duncan , T. Parker , D. West , D. Green , K. Leonard,
D. Howard - T. Ariza - J. Harden - T. Lawson - M. Thornton,HOU,10,80,107.5,99.4,8.1,54.5,1.71,15.8,35.2,76.6,54.2,0.1,48,51.1,95.99,49.1,D. Howard , T. Ariza , J. Harden , T. Lawson , M. Thornton,
J. Nelson - R. Foye - D. Arthur - W. Barton - N. Jokic,DEN,14,80,100.6,105,-4.4,51.7,1.72,14,33.7,73.6,50.6,0.1,43.5,47.3,94.62,41.8,J. Nelson , R. Foye , D. Arthur , W. Barton , N. Jokic,
J. Terry - D. Howard - T. Ariza - J. Harden - T. Jones,HOU,16,80,87.3,106.4,-19.1,58.7,0.79,12.6,19.2,75,46,0.2,46.1,53.7,102.92,38.1,J. Terry , D. Howard , T. Ariza , J. Harden , T. Jones,
M. Morris - R. Jackson - A. Drummond - K. Caldwell-Pope - S. Johnson,DET,26,80,111.2,98.4,12.8,38.5,1.32,10.7,40.7,71.3,57.1,0.1,52.6,57.5,108.86,63.5,M. Morris , R. Jackson , A. Drummond , K. Caldwell-Pope , S. Johnson,
P. Pierce - J. Crawford - J. Smith - L. Stephenson - A. Rivers,LAC,11,80,89.3,97,-7.6,61,1.2,16.4,23.1,62.8,44.8,0.2,48.9,51.2,100,46.9,P. Pierce , J. Crawford , J. Smith , L. Stephenson , A. Rivers,
P. Gasol - D. Rose - T. Gibson - J. Butler - E. Moore,CHI,11,79,106.9,105,1.9,52.9,2,16.4,30.8,71.1,51.6,0.1,48.9,53.4,97.59,53.3,P. Gasol , D. Rose , T. Gibson , J. Butler , E. Moore,
A. Jefferson - J. Lin - K. Walker - J. Lamb - F. Kaminsky,CHA,17,78,101.2,88.1,13.1,41.7,2.08,12.3,22.1,69.7,46.3,0.1,47.8,51.8,101.93,56,A. Jefferson , J. Lin , K. Walker , J. Lamb , F. Kaminsky,
A. Johnson - I. Thomas - J. Sullinger - J. Crowder - M. Smart,BOS,14,78,104.9,96.3,8.7,59.7,1.82,17.6,29.1,71.4,49.1,0.1,49.7,52.2,99.33,53.9,A. Johnson , I. Thomas , J. Sullinger , J. Crowder , M. Smart,
G. Hayward - S. Mack - R. Gobert - R. Hood - T. Lyles,UTA,16,78,102.7,84.7,18.1,52.7,1.21,14.2,36.7,73.1,54.8,0.2,48.1,51.5,91.06,59,G. Hayward , S. Mack , R. Gobert , R. Hood , T. Lyles,
M. Williams - J. Lin - K. Walker - C. Zeller - P. Hairston,CHA,9,78,99.4,123.9,-24.5,61.4,1.75,17.2,16.3,71.2,41.1,0.1,50.4,53,96.68,33.3,M. Williams , J. Lin , K. Walker , C. Zeller , P. Hairston,
T. Ariza - J. Harden - P. Beverley - T. Jones - C. Capela,HOU,22,78,110.8,111.3,-0.4,50,1.65,15.9,26.1,64.7,45.3,0.1,57.8,60.5,98.13,45.9,T. Ariza , J. Harden , P. Beverley , T. Jones , C. Capela,
N. Collison - D. Augustin - A. Morrow - E. Kanter - D. Waiters,OKC,15,77,93.8,111.3,-17.5,51.9,0.85,14.8,27,79.4,54.2,0.2,51.7,55.3,92.7,40.3,N. Collison , D. Augustin , A. Morrow , E. Kanter , D. Waiters,
O. Mayo - G. Monroe - K. Middleton - M. Carter-Williams - J. Parker,MIL,19,77,92.4,95.7,-3.3,65.1,1.95,17.8,22.9,77,48.4,0.1,49.3,52,102.99,49.7,O. Mayo , G. Monroe , K. Middleton , M. Carter-Williams , J. Parker,
K. Durant - R. Westbrook - S. Ibaka - E. Kanter - A. Roberson,OKC,26,76,106.5,101.8,4.7,55.7,1.77,17.1,30.1,70.1,51.9,0.1,52.9,57.6,104.96,55.4,K. Durant , R. Westbrook , S. Ibaka , E. Kanter , A. Roberson,
S. Livingston - A. Iguodala - S. Curry - F. Ezeli - D. Green,GSW,20,76,127.1,84.1,43,59.7,1.59,17.7,41.9,65.6,55.1,0.2,61.4,66,109.3,76.5,S. Livingston , A. Iguodala , S. Curry , F. Ezeli , D. Green,
A. Tolliver - B. Jennings - M. Morris - A. Baynes - S. Johnson,DET,14,75,101.3,109.5,-8.1,62.5,1.4,16.5,34.2,85.3,58.3,0.2,48.1,52.8,96.19,47.3,A. Tolliver , B. Jennings , M. Morris , A. Baynes , S. Johnson,
N. Vucevic - V. Oladipo - E. Payton - A. Gordon - M. Hezonja,ORL,11,75,118.5,94.3,24.2,63.5,3.13,20.5,33.8,74.4,54.7,0.1,52.7,56.5,101.13,62.4,N. Vucevic , V. Oladipo , E. Payton , A. Gordon , M. Hezonja,
