LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5,
L. Scola - K. Lowry - D. DeRozan - J. Johnson - J. Valanciunas,TOR,25,327,105.3,109.2,-3.9,50.6,1.3,14.7,30.4,72.8,51,0.2,48.6,53.4,93.81,47.1,L. Scola , K. Lowry , D. DeRozan , J. Johnson , J. Valanciunas,
M. Gortat - J. Dudley - G. Temple - J. Wall - O. Porter Jr.,WAS,39,312,101.7,104.6,-2.8,72,2.26,21.1,24.5,76.7,50,0.1,51.4,53.1,98.18,49.7,M. Gortat , J. Dudley , G. Temple , J. Wall , O. Porter Jr.,
D. Favors - G. Hayward - R. Gobert - R. Neto - R. Hood,UTA,29,305,106.7,97.3,9.4,51.5,1.23,15.7,30.1,74.1,53.1,0.2,52.6,56.4,92.27,54.9,D. Favors , G. Hayward , R. Gobert , R. Neto , R. Hood,
J. Johnson - J. Jack - T. Young - B. Lopez - B. Bogdanovic,BKN,30,297,103.8,106.8,-2.9,59.4,1.57,17.9,30,74.9,52,0.2,50.7,53.9,97.53,47,J. Johnson , J. Jack , T. Young , B. Lopez , B. Bogdanovic,
K. Lowry - P. Patterson - B. Biyombo - C. Joseph - T. Ross,TOR,42,297,113.3,94.3,19,57,1.55,16.5,32,69.1,51.5,0.1,53.1,57.3,90.55,62.9,K. Lowry , P. Patterson , B. Biyombo , C. Joseph , T. Ross,
D. Howard - T. Ariza - J. Harden - P. Beverley - D. Motiejunas,HOU,33,296,111.8,100.3,11.5,65.9,1.73,19.5,27.6,70.2,49.8,0.2,56.5,59.6,99.41,55.6,D. Howard , T. Ariza , J. Harden , P. Beverley , D. Motiejunas,
A. Aminu - D. Lillard - M. Harkless - C. McCollum - M. Plumlee,POR,36,290,111.8,99.2,12.6,61.1,1.64,18.3,27.4,72.9,51.3,0.2,56.7,59.4,101.39,57.3,A. Aminu , D. Lillard , M. Harkless , C. McCollum , M. Plumlee,
D. Gallinari - K. Faried - G. Harris - N. Jokic - E. Mudiay,DEN,21,290,104.9,106.4,-1.5,64.3,1.84,17.9,33.7,76.4,53.6,0.1,47.5,51.9,97.74,49,D. Gallinari , K. Faried , G. Harris , N. Jokic , E. Mudiay,
J. Bayless - G. Monroe - K. Middleton - G. Antetokounmpo - J. Parker,MIL,27,289,110.4,111.9,-1.6,63.9,2.6,20.1,21.6,67.6,44.5,0.1,53.4,57.1,94.63,49.4,J. Bayless , G. Monroe , K. Middleton , G. Antetokounmpo , J. Parker,
K. Garnett - T. Prince - R. Rubio - A. Wiggins - K. Towns,MIN,25,276,101.5,93.5,8,70.6,2.75,20.7,21.3,76.6,49.2,0.1,48.8,52.8,93.53,58.3,K. Garnett , T. Prince , R. Rubio , A. Wiggins , K. Towns,
C. Paul - J. Redick - D. Jordan - L. Mbah a Moute - B. Griffin,LAC,18,273,110.7,93.3,17.4,67.1,2.23,21,27.4,76.9,53.4,0.1,55.7,57,96.72,62.2,C. Paul , J. Redick , D. Jordan , L. Mbah a Moute , B. Griffin,
D. Nowitzki - Z. Pachulia - R. Felton - D. Williams - W. Matthews,DAL,37,272,113.5,99.4,14.1,56.7,2.4,17.5,23.4,73.5,48.9,0.1,53,57.4,94.49,58.5,D. Nowitzki , Z. Pachulia , R. Felton , D. Williams , W. Matthews,
T. Prince - R. Rubio - G. Dieng - A. Wiggins - K. Towns,MIN,36,262,104.8,107.5,-2.7,63.6,2.09,19,28.3,68.8,48.2,0.1,50.1,53.5,94.89,51,T. Prince , R. Rubio , G. Dieng , A. Wiggins , K. Towns,
Z. Randolph - T. Allen - M. Conley - M. Gasol - C. Lee,MEM,25,261,104,97,7,65.3,2.16,18.9,27,72.6,48.9,0.1,48,52.3,92.07,53.9,Z. Randolph , T. Allen , M. Conley , M. Gasol , C. Lee,
M. Williams - N. Batum - K. Walker - C. Zeller - P. Hairston,CHA,23,259,108.2,110.5,-2.3,70.1,2.23,20.3,18.5,72.9,46.1,0.1,53.7,57,95.48,48.7,M. Williams , N. Batum , K. Walker , C. Zeller , P. Hairston,
D. Favors - G. Hayward - S. Mack - R. Gobert - R. Hood,UTA,22,256,109.1,100.2,8.9,59.1,1.52,17.9,30.9,77.5,55.2,0.2,55,57.9,92.59,56.7,D. Favors , G. Hayward , S. Mack , R. Gobert , R. Hood,
A. Bogut - B. Rush - S. Curry - K. Thompson - D. Green,GSW,31,254,112.2,95.6,16.6,70.8,1.82,21.9,19.2,72.6,49.2,0.2,60.9,62.4,105.33,59.4,A. Bogut , B. Rush , S. Curry , K. Thompson , D. Green,
L. James - J. Smith - K. Love - T. Mozgov - K. Irving,CLE,28,251,99.4,108.1,-8.7,62.3,1.41,18.1,24.3,74.4,49.9,0.2,52,54,96.4,45.5,L. James , J. Smith , K. Love , T. Mozgov , K. Irving,
