LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5
D. West - R. Hibbert - G. Hill - P. George - L. Stephenson,IND,73,1468,105.7,96.3,9.3,58.7,1.5,17.3,27.6,72,51.7,0.2,51.2,55.4,92.7,57.9,D. West , R. Hibbert , G. Hill , P. George , L. Stephenson
L. Aldridge - R. Lopez - N. Batum - W. Matthews - D. Lillard,POR,69,1373,111.1,103.7,7.4,61,1.87,17.7,30.5,74.1,52.8,0.1,51,56,96.45,55.2,L. Aldridge , R. Lopez , N. Batum , W. Matthews , D. Lillard
K. Martin - C. Brewer - K. Love - N. Pekovic - R. Rubio,MIN,51,1052,114.6,102.3,12.3,65,2.01,19.3,32,78,54,0.1,52.3,57.2,101.65,55.8,K. Martin , C. Brewer , K. Love , N. Pekovic , R. Rubio
D. Nowitzki - S. Marion - S. Dalembert - M. Ellis - J. Calderon,DAL,69,845,107.3,106.9,0.5,61.7,1.62,18.8,26.2,69.7,48.5,0.2,54,57.4,95.62,50.9,D. Nowitzki , S. Marion , S. Dalembert , M. Ellis , J. Calderon
A. Iguodala - A. Bogut - D. Lee - S. Curry - K. Thompson,GSW,44,819,112.4,96.9,15.5,62.9,1.88,19.9,29.2,74.7,52.7,0.1,55.8,57.9,98.84,57.5,A. Iguodala , A. Bogut , D. Lee , S. Curry , K. Thompson
A. Johnson - K. Lowry - D. DeRozan - J. Valanciunas - T. Ross,TOR,56,717,107.7,104.1,3.6,64,1.68,18.5,28.1,69.4,49.4,0.2,52.3,56.2,93.33,52.4,A. Johnson , K. Lowry , D. DeRozan , J. Valanciunas , T. Ross
T. Ariza - M. Gortat - J. Wall - T. Booker - B. Beal,WAS,50,691,104.3,102.6,1.8,59.3,1.86,18.1,28.5,69.9,48.9,0.1,50.9,52.8,94.59,49.8,T. Ariza , M. Gortat , J. Wall , T. Booker , B. Beal
M. Dunleavy - C. Boozer - K. Hinrich - J. Noah - J. Butler,CHI,42,681,100.4,93.8,6.6,71.4,1.92,19.7,28.6,76.5,51.4,0.1,46.4,50.3,91.33,54.2,M. Dunleavy , C. Boozer , K. Hinrich , J. Noah , J. Butler
D. Howard - J. Harden - P. Beverley - C. Parsons - T. Jones,HOU,35,620,110.8,104.9,5.9,54.1,1.46,16.6,29.5,72.6,52,0.2,54.7,57.6,95.38,53.1,D. Howard , J. Harden , P. Beverley , C. Parsons , T. Jones
S. Hawes - T. Young - E. Turner - J. Anderson - M. Carter-Williams,PHI,37,612,96.4,107.7,-11.3,63.6,1.38,17.5,25.2,70,47.6,0.2,48.6,51.9,101.59,43.4,S. Hawes , T. Young , E. Turner , J. Anderson , M. Carter-Williams
