LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5
R. Rubio - A. Baynes - D. Saric - K. Oubre Jr. - D. Booker,PHX,20,245,117.1,110.8,6.4,66.4,1.98,21.1,28.9,77.3,53.4,0.2,58.7,61.5,103.93,53.5,R. Rubio , A. Baynes , D. Saric , K. Oubre Jr. , D. Booker
T. Gibson - M. Morris Sr. - J. Randle - F. Ntilikina - R. Barrett,NYK,21,241,106.4,113.1,-6.7,53,1.69,15.7,29.6,74.7,51,0.1,50.1,53.1,97.29,45.1,T. Gibson , M. Morris Sr. , J. Randle , F. Ntilikina , R. Barrett
N. Vucevic - E. Fournier - A. Gordon - M. Fultz - J. Isaac,ORL,19,240,107.1,105.3,1.9,60.5,2.31,18.6,21.1,75.9,48.9,0.1,52.4,55.5,101.5,53,N. Vucevic , E. Fournier , A. Gordon , M. Fultz , J. Isaac
J. Holiday - D. McDermott - T. McConnell - D. Sabonis - A. Holiday,IND,31,237,111.9,104.7,7.2,68,2.83,21.5,22.4,69.6,47.1,0.1,56.2,58.6,103.13,56.7,J. Holiday , D. McDermott , T. McConnell , D. Sabonis , A. Holiday
M. Conley - B. Bogdanovic - R. Gobert - J. Ingles - D. Mitchell,UTA,32,236,103.2,111.3,-8.1,57.6,1.34,16,23,71.1,47.5,0.2,53.4,57,101.82,46.8,M. Conley , B. Bogdanovic , R. Gobert , J. Ingles , D. Mitchell
N. Vucevic - T. Ross - E. Fournier - A. Gordon - M. Fultz,ORL,38,235,112.1,112.6,-0.5,70.9,2.96,20.8,24.6,75,49.6,0.1,57.1,59.5,104.09,52,N. Vucevic , T. Ross , E. Fournier , A. Gordon , M. Fultz
C. Anthony - T. Ariza - H. Whiteside - D. Lillard - C. McCollum,POR,12,230,122.1,116.5,5.6,52.5,1.81,17.4,28.1,75.4,52.7,0.1,59.4,62.2,101.71,51.3,C. Anthony , T. Ariza , H. Whiteside , D. Lillard , C. McCollum
R. Rubio - K. Oubre Jr. - D. Booker - M. Bridges - D. Ayton,PHX,21,226,121.6,101.4,20.2,72.9,2.56,21.9,27,73.2,51.7,0.1,57.6,63.6,103.85,61.8,R. Rubio , K. Oubre Jr. , D. Booker , M. Bridges , D. Ayton
P. Tucker - R. Westbrook - J. Harden - R. Covington - D. House Jr.,HOU,13,221,109.7,104.5,5.2,57.4,2.16,17,18.4,67.2,43.8,0.1,53.9,57.5,105.06,52.1,P. Tucker , R. Westbrook , J. Harden , R. Covington , D. House Jr.
C. Paul - D. Gallinari - S. Adams - S. Gilgeous-Alexander - L. Dort,OKC,20,216,111.7,113.7,-2,47.3,1.78,15.1,23.5,75.1,48.6,0.1,53.6,57.4,98.68,48.9,C. Paul , D. Gallinari , S. Adams , S. Gilgeous-Alexander , L. Dort
P. Beverley - P. George - K. Leonard - M. Harkless - I. Zubac,LAC,18,215,114.8,105.4,9.3,63.7,1.92,18.8,26.8,82.1,54.5,0.1,55.5,59.1,102.77,55.7,P. Beverley , P. George , K. Leonard , M. Harkless , I. Zubac
K. Lowry - S. Ibaka - P. Siakam - F. VanVleet - O. Anunoby,TOR,23,210,102,105.6,-3.6,60.6,1.43,16.6,24,72.7,48.5,0.2,51.2,55.2,102.75,47.7,K. Lowry , S. Ibaka , P. Siakam , F. VanVleet , O. Anunoby
S. Dinwiddie - J. Harris - C. LeVert - T. Prince - J. Allen,BKN,22,208,116.2,104.6,11.6,63.6,2.44,19.1,29.4,75,51.1,0.1,54.9,57.1,99.79,54,S. Dinwiddie , J. Harris , C. LeVert , T. Prince , J. Allen
J. Collins - K. Huerter - T. Young - C. Reddish - D. Hunter,ATL,22,205,117.9,111.8,6.1,62.9,1.91,19.3,25.4,72.8,49.9,0.1,58.3,61.5,109.15,51.4,J. Collins , K. Huerter , T. Young , C. Reddish , D. Hunter
T. Hardaway Jr. - D. Powell - K. Porzingis - D. Finney-Smith - L. Doncic,DAL,19,205,120.3,109.3,11,62.3,1.84,18.9,27.7,75.1,53.3,0.1,58.8,62.1,100.92,57.2,T. Hardaway Jr. , D. Powell , K. Porzingis , D. Finney-Smith , L. Doncic
M. Gasol - N. Powell - P. Siakam - F. VanVleet - O. Anunoby,TOR,18,201,114.1,97.3,16.8,67.8,2.15,21.1,16.9,70.3,46.2,0.1,59.1,61.5,98.59,57.8,M. Gasol , N. Powell , P. Siakam , F. VanVleet , O. Anunoby
W. Barton - G. Harris - J. Grant - N. Jokic - J. Murray,DEN,34,197,111.1,114.6,-3.5,68.9,2.09,19.6,27.3,73.1,49.4,0.1,55.3,58.8,97.69,48.6,W. Barton , G. Harris , J. Grant , N. Jokic , J. Murray
G. Hayward - M. Smart - J. Brown - J. Tatum - D. Theis,BOS,18,183,107.7,105.6,2,59.7,1.85,16.6,28,76.1,52.1,0.1,50.9,55.2,102.93,51.7,G. Hayward , M. Smart , J. Brown , J. Tatum , D. Theis
J. Redick - J. Holiday - D. Favors - B. Ingram - L. Ball,NOP,27,181,112.3,115.6,-3.3,64.5,1.95,19.8,23.4,71.2,47,0.1,56.7,59.6,107.37,49,J. Redick , J. Holiday , D. Favors , B. Ingram , L. Ball
I. Thomas - B. Beal - T. Bryant - T. Brown Jr. - R. Hachimura,WAS,15,180,101.5,118.7,-17.2,58.6,1.7,17.6,25.1,68.9,45.9,0.1,50.1,52.5,105.6,40.9,I. Thomas , B. Beal , T. Bryant , T. Brown Jr. , R. Hachimura
N. Bjelica - H. Barnes - R. Holmes - B. Hield - D. Fox,SAC,16,179,113.6,112.3,1.3,59.3,1.71,18.3,29.1,66.3,48.2,0.1,56.6,58.9,100.76,49.2,N. Bjelica , H. Barnes , R. Holmes , B. Hield , D. Fox
C. Paul - D. Gallinari - D. Schroder - S. Adams - S. Gilgeous-Alexander,OKC,39,177,127.9,98,29.9,44.4,1.67,13.6,34,69.3,53.7,0.1,60.2,67.1,109.42,68.4,C. Paul , D. Gallinari , D. Schroder , S. Adams , S. Gilgeous-Alexander
G. Hayward - K. Walker - M. Smart - J. Tatum - D. Theis,BOS,15,173,108.5,95,13.4,60,1.88,18,25.3,77.9,51.8,0.1,53.9,56.8,101.4,59,G. Hayward , K. Walker , M. Smart , J. Tatum , D. Theis
J. Lamb - T. Warren - M. Turner - D. Sabonis - A. Holiday,IND,11,170,111.2,106.9,4.3,66,2.07,19.4,24.4,74.2,48.9,0.1,54.3,57.9,97.87,51.8,J. Lamb , T. Warren , M. Turner , D. Sabonis , A. Holiday
J. Butler - D. Jones Jr. - B. Adebayo - D. Robinson - K. Nunn,MIA,23,162,117.4,106,11.4,63.5,2.47,20.4,23.1,78.4,52.5,0.1,59.1,61.2,98.86,56.1,J. Butler , D. Jones Jr. , B. Adebayo , D. Robinson , K. Nunn
T. Hardaway Jr. - S. Curry - K. Porzingis - D. Finney-Smith - L. Doncic,DAL,14,161,119.8,111.4,8.4,58.1,2.32,18,25.7,79.2,53,0.1,56.9,60.4,104.18,53.2,T. Hardaway Jr. , S. Curry , K. Porzingis , D. Finney-Smith , L. Doncic
A. Horford - T. Harris - B. Simmons - F. Korkmaz - M. Thybulle,PHI,28,156,101.8,102.7,-0.9,62.7,1.62,19.1,17.6,69.7,44,0.2,56.3,57.3,101.3,49.6,A. Horford , T. Harris , B. Simmons , F. Korkmaz , M. Thybulle
R. Rubio - D. Saric - K. Oubre Jr. - F. Kaminsky - D. Booker,PHX,20,154,116.3,109.7,6.6,73,2.57,22.4,26.5,75.6,48.5,0.1,55.4,58.1,103.17,52.1,R. Rubio , D. Saric , K. Oubre Jr. , F. Kaminsky , D. Booker
J. Valanciunas - K. Anderson - D. Brooks - J. Jackson Jr. - J. Morant,MEM,16,152,91.5,103,-11.5,47.6,1.07,14.2,20.8,80.1,51.9,0.2,48.9,50.6,104.58,44.2,J. Valanciunas , K. Anderson , D. Brooks , J. Jackson Jr. , J. Morant
P. Tucker - R. Westbrook - J. Harden - B. McLemore - C. Capela,HOU,23,151,103.6,91.6,11.9,55.2,1.21,16.2,27.3,72.9,51.2,0.2,54.2,56.2,108.41,54.4,P. Tucker , R. Westbrook , J. Harden , B. McLemore , C. Capela
K. Walker - M. Smart - J. Brown - J. Tatum - D. Theis,BOS,15,148,103.3,98.7,4.6,64.2,2.2,18.2,25,72.7,48.9,0.1,49.5,52.8,99.71,53.2,K. Walker , M. Smart , J. Brown , J. Tatum , D. Theis
P. Beverley - P. George - M. Morris Sr. - K. Leonard - I. Zubac,LAC,11,147,121.9,99,22.9,61.1,2.35,18.7,29.8,77.2,53,0.1,56.3,59.8,98.05,59.5,P. Beverley , P. George , M. Morris Sr. , K. Leonard , I. Zubac
L. James - D. Howard - R. Rondo - K. Caldwell-Pope - K. Kuzma,LAL,25,145,121.7,107.8,13.8,63.5,2.42,20.7,28.4,77,52.8,0.1,61.8,62.9,97.28,58,L. James , D. Howard , R. Rondo , K. Caldwell-Pope , K. Kuzma
N. Bjelica - H. Barnes - B. Bogdanovic - D. Fox - H. Giles III,SAC,15,142,108.4,129,-20.6,59.5,2.78,19,15.9,77.2,43.7,0.1,55.8,57.6,99.46,41,N. Bjelica , H. Barnes , B. Bogdanovic , D. Fox , H. Giles III
R. Rubio - D. Booker - M. Bridges - D. Ayton - C. Johnson,PHX,18,142,117.5,101,16.5,65,2.78,20.6,25,77.9,52.2,0.1,56,59.9,102.93,59.1,R. Rubio , D. Booker , M. Bridges , D. Ayton , C. Johnson
N. Vucevic - E. Fournier - K. Birch - A. Gordon - M. Fultz,ORL,11,141,105.7,112.8,-7.1,66.4,1.93,19.5,24.7,84.3,51,0.1,52.4,54.2,96.28,45.5,N. Vucevic , E. Fournier , K. Birch , A. Gordon , M. Fultz
W. Barton - J. Grant - N. Jokic - M. Morris - T. Craig,DEN,14,141,104.6,116.2,-11.7,63.2,1.71,18.6,24.6,66.7,47.1,0.1,53.1,56,95.64,49.2,W. Barton , J. Grant , N. Jokic , M. Morris , T. Craig
B. Lopez - W. Matthews - E. Bledsoe - G. Antetokounmpo - D. DiVincenzo,MIL,18,139,113.4,98.4,15,63.6,1.75,19.2,26.5,79,54,0.2,56.7,59.4,107.23,60.1,B. Lopez , W. Matthews , E. Bledsoe , G. Antetokounmpo , D. DiVincenzo
C. Anthony - T. Ariza - H. Whiteside - C. McCollum - G. Trent Jr.,POR,9,138,111,112.6,-1.6,49.2,1.6,16.5,24.3,76.3,50.5,0.1,56.4,57.7,101.82,47,C. Anthony , T. Ariza , H. Whiteside , C. McCollum , G. Trent Jr.
D. Augustin - T. Ross - M. Carter-Williams - A. Gordon - M. Bamba,ORL,20,136,120,115.9,4.1,59.7,2.47,18.2,39.7,66.4,52,0.1,53.5,56.9,99.41,51.8,D. Augustin , T. Ross , M. Carter-Williams , A. Gordon , M. Bamba
