PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Zach LaVine,MIN,82,0.8,5.4,0.52,0.4,0.1,0.2,37.5,43.8
Serge Ibaka,OKC,78,0.9,6.7,0.48,0.4,0.1,0.2,61.5,61.5
Ryan Anderson,NOP,66,0.6,3.8,0.76,0.5,0.1,0.3,38.1,45.2
Evan Fournier,ORL,79,0.6,4.4,0.63,0.4,0.1,0.3,40,40
Goran Dragic,MIA,72,0.7,4.6,0.61,0.4,0.1,0.2,46.7,50
Emmanuel Mudiay,DEN,68,0.9,4.8,0.55,0.5,0.1,0.2,46.7,53.3
Victor Oladipo,ORL,72,0.8,4.7,0.55,0.4,0.1,0.3,28.6,31
P.J. Tucker,PHX,82,0.7,7.9,0.53,0.4,0.1,0.2,31.6,31.6
Nikola Vucevic,ORL,65,1,5.2,0.5,0.5,0.1,0.3,50,50
Matt Barnes,MEM,76,1,8.6,0.43,0.4,0.1,0.2,35.7,42.9
Ramon Sessions,WAS,82,0.5,5.1,0.74,0.4,0.1,0.1,66.7,66.7
Chris Bosh,MIA,53,0.8,4.7,0.69,0.6,0.2,0.2,66.7,66.7
George Hill,IND,74,0.7,5.4,0.63,0.4,0.1,0.2,38.5,42.3
Luol Deng,MIA,74,0.7,5.4,0.63,0.4,0.1,0.2,46.2,46.2
Kobe Bryant,LAL,66,0.9,4.4,0.53,0.5,0,0.3,9.5,11.9
Steven Adams,OKC,80,0.9,11.7,0.44,0.4,0,0.1,37.5,37.5
Nikola Mirotic,CHI,66,0.7,6.1,0.63,0.5,0,0.1,12.5,12.5
Marc Gasol,MEM,52,1.2,6.7,0.48,0.6,0,0.1,40,40
Garrett Temple,WAS,80,0.5,6.3,0.74,0.4,0.1,0.2,42.9,42.9
Vince Carter,MEM,60,0.5,6.8,1,0.5,0.1,0.2,40,50
Tony Parker,SAS,72,0.5,4.1,0.74,0.4,0,0.1,30,35
Eric Bledsoe,PHX,32,1.3,6,0.68,0.9,0.2,0.4,41.7,45.8
Al Horford,ATL,82,0.7,4.7,0.49,0.3,0.1,0.1,66.7,72.2
D'Angelo Russell,LAL,80,0.8,5,0.45,0.4,0.1,0.3,30.4,32.6
Marcus Thornton,HOU,47,0.6,5.8,0.93,0.6,0.1,0.3,33.3,36.7
Jarrett Jack,BKN,32,1.1,7.1,0.77,0.8,0.2,0.4,38.5,42.3
Al-Farouq Aminu,POR,82,0.5,4.4,0.68,0.3,0.1,0.2,46.7,50
Devin Harris,DAL,64,0.7,9.1,0.6,0.4,0.1,0.3,31.3,31.3
