RANKING,PLAYER,TEAM,AGE,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
566,Cameron Oliver,ATL,25,2,1,1,21.7,80,20,78.3,8.7,13,4.3,8.7,13,69.6,77.8,22.2,100,0,80,20
566,Damyean Dotson,NYK,28,2,1,1,10.3,75,25,100,50,0,0,0,50,50,50,50,0,0,50,50
566,David Johnson,TOR,21,2,2,0,1,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0
566,Emmanuel Mudiay,SAC,26,2,0,2,5.5,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
566,Feron Hunt,NYK,22,2,2,0,4.2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
566,Gabe York,IND,28,2,0,2,10.7,14.3,85.7,25,0,37.5,12.5,37.5,50,25,100,0,100,0,100,0
566,Jaden Springer,PHI,19,2,2,0,2.8,100,0,100,0,0,0,0,0,100,0,100,0,0,0,100
566,Jemerrio Jones,LAL,27,2,0,2,7.4,100,0,100,0,0,0,0,100,100,50,50,0,0,50,50
566,Jordan Goodwin,WAS,23,2,1,1,3,66.7,33.3,0,0,0,0,100,0,0,0,0,0,0,0,0
566,Juwan Morgan,BOS,25,2,1,1,15.5,33.3,66.7,40,0,60,0,0,0,40,100,0,100,0,100,0
566,MJ Walker,PHX,24,2,1,1,4.2,50,50,0,0,0,0,100,0,0,0,0,0,0,0,0
566,Mac McClung,LAL,23,2,2,0,12.2,50,50,50,25,37.5,25,12.5,0,25,100,0,100,0,100,0
566,Nate Hinton,IND,23,2,0,2,1.2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
566,Paris Bass,PHX,26,2,2,0,3.7,66.7,33.3,66.7,0,0,0,33.3,33.3,66.7,50,50,0,0,50,50
566,Rob Edwards,OKC,25,2,0,2,5.4,0,100,0,0,100,0,0,0,0,0,0,0,100,0,100
566,Scottie Lewis,CHA,22,2,1,1,3.3,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
566,Sekou Doumbouya,LAL,21,2,0,2,8.2,75,25,57.1,0,21.4,14.3,21.5,21.4,57.1,50,50,100,0,60,40
566,Shaq Buchanan,MEM,25,2,2,0,4.9,50,50,100,0,0,0,0,100,100,100,0,0,0,100,0
566,Shaquille Harrison,BKN,28,2,1,1,11.3,66.7,33.3,100,0,0,50,0,50,100,50,50,0,0,50,50
566,Trevon Scott,CLE,25,2,1,1,5.7,83.3,16.7,100,0,0,0,0,33.3,100,66.7,33.3,0,0,66.7,33.3
566,Tyrell Terry,MEM,21,2,2,0,1.5,100,0,100,100,0,0,0,0,0,0,100,0,0,0,100
589,Ade Murkey,SAC,24,1,0,1,1.5,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
589,Ahmad Caver,IND,25,1,0,1,0.8,100,0,100,0,0,0,0,100,100,100,0,0,0,100,0
589,CJ Miles,BOS,35,1,1,0,2,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
589,DeJon Jarreau,IND,24,1,0,1,0.9,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
589,Jaime Echenique,WAS,25,1,1,0,3.1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
589,Javin DeLaurier,MIL,24,1,1,0,2.8,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
589,Jaysean Paige,DET,27,1,1,0,6.6,33.3,66.7,0,0,0,0,100,0,0,0,0,0,0,0,0
589,Joe Johnson,BOS,41,1,1,0,2,100,0,100,100,0,0,0,0,0,0,100,0,0,0,100
589,Jordan Bell,CHI,27,1,1,0,2,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
589,Malik Newman,CLE,25,1,0,1,7.7,80,20,75,50,0,0,25,0,25,66.7,33.3,0,0,66.7,33.3
589,Matt Mooney,NYK,27,1,1,0,1.9,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0
589,Matt Ryan,BOS,25,1,1,0,5.3,0,100,0,0,100,0,0,0,0,0,0,100,0,100,0
589,Sam Dekker,TOR,28,1,1,0,0.9,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
589,Scotty Hopson,OKC,32,1,0,1,17.7,75,25,100,100,0,0,0,0,0,50,50,0,0,50,50
589,Trayvon Palmer,DET,27,1,0,1,16.8,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
589,Tyler Hall,NYK,25,1,1,0,1.9,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
589,Zylan Cheatham,UTA,26,1,0,1,5.2,33.3,66.7,0,0,0,0,100,0,0,0,0,0,0,0,0
