RANKING,PLAYER,TEAM,AGE,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
144,Terrence Ross,TOR,25,73,53,20,23.9,45.8,54.2,38.6,18.6,54.6,13.1,6.8,18.1,20,54,46,95.4,4.6,74.1,25.9
144,Thaddeus Young,BKN,28,73,21,52,33,96.9,3.1,88.6,13.6,1.9,12.6,9.5,16.4,75,55.9,44.1,71.4,28.6,56.2,43.8
157,Anthony Tolliver,DET,31,72,36,36,18.6,18.1,81.9,15.7,3.7,76.8,4.7,7.5,14.9,12,76.7,23.3,99,1,93.8,6.3
157,Brandon Rush,GSW,30,72,63,9,14.6,39.6,60.4,30.2,7.9,63.9,23.6,5.9,14.8,22.3,89.1,10.9,95.4,4.6,92.8,7.2
157,Carmelo Anthony,NYK,32,72,32,40,35.1,76.3,23.7,58.7,34.2,20,4.8,21.3,9.3,24.5,27.3,72.7,74.3,25.7,36,64
157,Gerald Henderson,POR,28,72,39,33,19.9,74.3,25.7,59,32.7,23.1,10.3,17.9,13.6,26.3,50,50,95.8,4.2,59.5,40.5
157,Goran Dragic,MIA,30,72,44,28,32.8,76.6,23.4,69.4,18.5,18.9,20.7,11.7,18.3,50.9,25.2,74.8,75,25,32.9,67.1
157,Jason Terry,HOU,38,72,37,35,17.5,30.6,69.4,27.5,8.1,66.1,14.7,6.4,14.2,19.4,39.7,60.3,90.3,9.7,70.9,29.1
157,Jose Calderon,NYK,34,72,29,43,28.1,55.4,44.6,46,31.6,46.3,7.4,7.7,16.2,14.3,30.4,69.6,86.9,13.1,53.1,46.9
157,Kawhi Leonard,SAS,25,72,60,12,33,73.3,26.7,55.4,21.9,25.4,12.4,19.2,16.2,33.5,45,55,86,14,54.6,45.4
157,Kevin Durant,OKC,27,72,52,20,35.8,65.2,34.8,50.5,19.3,27.5,16.5,22,10.5,31.1,51.8,48.2,64,36,55,45
157,Kristaps Porzingis,NYK,20,72,28,44,28.4,72.6,27.4,56.8,23.7,23.6,3.8,19.6,10.2,33.1,58.6,41.4,98.8,1.2,67.3,32.7
157,Marreese Speights,GSW,28,72,64,8,11.6,86.4,13.6,67.6,35.2,14.1,7.4,18.3,11.3,32.4,80.3,19.7,95.8,4.2,82.2,17.8
157,Pau Gasol,CHI,35,72,36,36,31.8,93.1,6.9,74.6,37.1,6.1,3.2,19.3,8.6,37.6,66.8,33.2,95.8,4.2,68.3,31.7
157,Rajon Rondo,SAC,30,72,29,43,35.2,78.3,21.7,68.2,14.4,21.7,12,10.1,14.4,53.8,19.1,80.9,71,29,28.2,71.8
157,Tony Parker,SAS,34,72,59,13,27.5,90.8,9.2,75.4,27.8,9.5,13,15.1,14,47.6,27.9,72.1,81.5,18.5,32,68
157,Victor Oladipo,ORL,24,72,32,40,33,70.9,29.1,56.7,20.5,25.5,17.3,17.8,21.2,36.3,38.8,61.2,80.6,19.4,48.5,51.5
172,Arron Afflalo,NYK,30,71,27,44,33.4,70.2,29.8,57.9,28.8,30,8.8,12.1,10.5,29,49,51,91.2,8.8,59.9,40.1
172,Dwight Howard,HOU,30,71,34,37,32.1,99,1,76.2,1.6,0,7.3,23.8,13.9,74.6,71,29,0,0,71,29
172,Ian Mahinmi,IND,29,71,41,30,25.6,100,0,80,4.2,0,5.9,20,17,75.8,75.8,24.2,0,0,75.8,24.2
172,Patrick Beverley,HOU,27,71,35,36,28.7,47.8,52.2,38.3,7.4,53.1,16.9,8.6,17.4,30.9,35.1,64.9,83.9,16.1,58.5,41.5
172,Thomas Robinson,BKN,25,71,16,55,12.9,99.7,0.3,84.7,5.2,0,11.7,15.3,18.2,79.5,53.1,46.9,0,0,53.1,46.9
177,Andre Roberson,OKC,24,70,48,22,22.2,62.4,37.6,61.7,0,28.5,25.2,9.8,18.7,61.7,71.2,28.8,96.9,3.1,77.2,22.8
177,Andrew Bogut,GSW,31,70,62,8,20.7,99.6,0.4,92.8,1.6,0.8,7.7,6.4,11.2,91.2,76.4,23.6,0,100,76,24
177,Channing Frye,CLE,33,70,35,35,17.1,32.3,67.7,28.7,10.8,64.2,2.4,7.1,17.2,17.9,75.4,24.6,100,0,90.1,9.9
177,Chris Johnson,UTA,26,70,38,32,12.2,49,51,43.9,10.7,39.5,18,16.6,22.4,33.2,48.9,51.1,96.3,3.7,66.7,33.3
177,Darrell Arthur,DEN,28,70,26,44,21.7,76.1,23.9,66.8,38,25.6,8.5,7.6,13.9,28.8,78.4,21.6,100,0,82.8,17.2
177,Nicolas Batum,CHA,27,70,41,29,35,54.3,45.7,44.6,20.7,39.9,11.5,15.5,17.1,23.9,42.9,57.1,78.4,21.6,56.2,43.8
177,Rashad Vaughn,MIL,19,70,30,40,14.3,44.7,55.3,35,15.7,59.4,18,5.6,22.6,19.4,78.9,21.1,100,0,90.1,9.9
177,Rudy Gay,SAC,29,70,29,41,34,78.6,21.4,65.1,17.6,18.4,17.8,16.5,16.7,47.5,52.8,47.2,82.4,17.6,57.5,42.5
185,Aaron Brooks,CHI,31,69,36,33,16.1,60.6,39.4,49.7,12.2,40.3,8.4,10,7.7,37.5,9,91,57.6,42.4,26.1,73.9
185,Dwight Powell,DAL,24,69,35,34,14.4,94.6,5.4,72.2,16,1.5,8,26.3,15.8,56.1,88.9,11.1,100,0,89,11
185,Gerald Green,MIA,30,69,40,29,22.6,55.7,44.3,47.4,23.1,40.9,14.3,11.7,13.6,24.4,52.7,47.3,92.9,7.1,67.4,32.6
185,Kelly Olynyk,BOS,25,69,40,29,20.2,62.2,37.8,48.9,5.8,37.1,12.5,14,16.6,43.1,61.9,38.1,96.5,3.5,73.5,26.5
185,Lance Stephenson,MEM,25,69,36,33,19.9,83.5,16.5,69.1,17.1,15.7,12.7,15.2,18.8,52,25.3,74.7,73.3,26.7,31.6,68.4
185,Omri Casspi,SAC,28,69,27,42,27.3,55.9,44.1,46,0.7,41.3,19.8,12.7,22.1,45.3,65.8,34.2,85.7,14.3,73.2,26.8
191,Anthony Morrow,OKC,30,68,46,22,13.6,38.7,61.3,30,15.8,62.4,7.4,7.6,14.5,14.2,52.6,47.4,91.1,8.9,75,25
191,Ben McLemore,SAC,23,68,28,40,21.2,59.3,40.7,48.2,10.9,37.9,24.9,13.9,16.6,37.3,68,32,94,6,76.9,23.1
191,Emmanuel Mudiay,DEN,20,68,29,39,30.4,74.4,25.6,58.5,17.9,25.5,14.1,16,14.3,40.6,28.6,71.4,73,27,38.6,61.4
191,Kyle Singler,OKC,28,68,43,25,14.4,56.1,43.9,48.5,7.8,39,16,12.5,14.7,40.7,73.2,26.8,100,0,82.6,17.4
191,Leandro Barbosa,GSW,33,68,60,8,15.9,70.3,29.7,61,15.7,27,29.3,12,21.5,45.3,68.2,31.8,97.4,2.6,74.9,25.1
191,Marco Belinelli,SAC,30,68,27,41,24.6,53.2,46.8,44.3,31,39.2,15.1,16.5,18.2,13.2,80.5,19.5,91.2,8.8,84.5,15.5
191,Omer Asik,NOP,29,68,29,39,17.3,100,0,77.3,0,0,3,22.7,7.4,77.3,71.2,28.8,0,0,71.2,28.8
191,Paul Pierce,LAC,38,68,44,24,18.1,39,61,33.1,19.2,54,12.7,12.9,15.1,13.9,49.3,50.7,96,4,73.6,26.4
191,Zach Randolph,MEM,34,68,37,31,29.7,97.1,2.9,81.7,26.3,1.7,3.5,16.6,15.4,55.4,47.8,52.2,83.3,16.7,48.3,51.7
200,Austin Rivers,LAC,23,67,42,25,21.8,64.1,35.9,55.3,11.8,31.4,14.5,13.3,19.2,43.5,34.1,65.9,82.3,17.7,47.3,52.7
200,Jimmy Butler,CHI,26,67,37,30,36.9,80.2,19.8,58,19.7,13.7,12.4,28.3,15.8,38.3,44.1,55.9,71.9,28.1,47.9,52.1
200,Jon Leuer,PHX,27,67,22,45,18.7,76.4,23.6,64.2,15.5,22.2,10.4,13.6,15.2,48.7,60.4,39.6,100,0,67.9,32.1
200,Kenneth Faried,DEN,26,67,26,41,25.3,99.7,0.3,83.4,4.8,0.4,15.6,16.2,14.9,78.6,68.4,31.6,100,0,68.5,31.5
200,Lou Williams,LAL,29,67,14,53,28.5,53.8,46.2,33.7,14,32.1,15,34.2,13.3,19.6,29.5,70.5,65.5,34.5,43.5,56.5
200,Nerlens Noel,PHI,22,67,10,57,29.3,99.7,0.3,81.7,7.5,0.4,12.2,17.9,15.4,74.2,66.9,33.1,100,0,67,33
200,Robert Covington,PHI,25,67,10,57,28.4,32.3,67.7,24.2,2.8,59.4,16,16.4,22.4,21.4,55.8,44.2,94.7,5.3,79.9,20.1
207,Brandon Bass,LAL,31,66,16,50,20.3,99.4,0.6,73.6,10.6,0,13.7,26.4,17.3,63,76.4,23.6,0,0,76.4,23.6
207,Chase Budinger,PHX,28,66,29,37,14.1,64,36,59,8.1,26.6,24,14.4,19.2,50.9,60,40,95.8,4.2,68.3,31.7
207,Derrick Rose,CHI,27,66,32,34,31.8,85.7,14.3,74.6,27.4,12.2,11.2,13.2,11.7,47.2,22.3,77.7,90.9,9.1,29.1,70.9
207,Harrison Barnes,GSW,24,66,59,7,30.9,66.2,33.8,55,21.2,31.8,15.5,13.2,16.7,33.9,63.4,36.6,98.8,1.2,73.2,26.8
207,Ian Clark,GSW,25,66,59,7,8.8,58.4,41.6,50,13.6,38.1,12.7,11.9,16.9,36.4,49.2,50.8,93.3,6.7,64,36
207,Jeremy Lamb,CHA,24,66,40,26,18.6,64.5,35.5,60,18.6,29,12.2,11,23.6,41.4,46.6,53.4,78.6,21.4,54.3,45.7
207,Johnny O'Bryant III,MIL,23,66,27,39,13,99.5,0.5,85,38,1.5,9,13.5,20,47,72.9,27.1,100,0,73.3,26.7
207,Kobe Bryant,LAL,37,66,13,53,28.2,58,42,45.7,23.1,34.4,9.2,19.9,12.2,22.6,32.8,67.2,69.2,30.8,45,55
207,Nikola Mirotic,CHI,25,66,37,29,24.9,43.2,56.8,29.1,6.7,52.1,8.9,18.8,12.7,22.4,69,31,95.6,4.4,83.5,16.5
