RANKING,PLAYER,TEAM,AGE,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
1,Andrew Wiggins,MIN,22,82,31,51,37.2,81.6,18.4,62.7,23.1,16,11.3,21.3,14.1,39.6,41.4,58.6,75.7,24.3,46.4,53.6
1,Buddy Hield,SAC,24,82,31,51,23,50.6,49.4,41.3,11.3,51.3,18.7,7.4,16.5,30,43.6,56.4,79.1,20.9,59.6,40.4
1,Corey Brewer,LAL,31,82,47,35,15.6,66.1,33.9,64.7,4.9,21.8,28,13.5,25.6,59.8,60,40,96.3,3.7,66.7,33.3
1,Elfrid Payton,ORL,23,82,29,53,29.4,84,16,74.6,11.3,11.5,21.2,13.9,13.8,63.3,13.3,86.7,90,10,20.5,79.5
1,Ersan Ilyasova,ATL,30,82,35,47,26.1,54.8,45.2,45.2,14.4,39.8,14.1,15,16.2,30.8,73.6,26.4,94.4,5.6,81.3,18.8
1,Gorgui Dieng,MIN,27,82,31,51,32.4,93.5,6.5,77.5,29.2,5.9,7.1,16.6,14.8,48.3,78.2,21.8,93.8,6.3,78.9,21.1
1,Jamal Crawford,LAC,37,82,51,31,26.3,63,37,48.2,28,34.5,11.9,17.3,13,20.2,21,79,61.2,38.8,34,66
1,Jamal Murray,DEN,20,82,40,42,21.5,52.9,47.1,44.4,11.6,42.5,11,13.1,13.1,32.8,48.3,51.7,71.3,28.7,57.3,42.7
1,Jeff Teague,IND,29,82,42,40,32.4,72.3,27.7,49.8,10.2,21.5,11.1,28.7,13.6,39.6,9.6,90.4,60,40,20.9,79.1
1,Joe Ingles,UTA,29,82,51,31,24.1,38.1,61.9,27.9,4.8,63.5,10,8.6,17.2,23.1,37,63,82.1,17.9,64.2,35.8
1,Jordan Clarkson,LAL,25,82,26,56,29.2,66.8,33.2,59.8,14.9,29.1,14.3,11.1,16.4,44.8,25.3,74.7,77.8,22.2,38.2,61.8
1,Justin Holiday,NYK,28,82,31,51,20,49.3,50.7,43.2,17.5,46.3,10,10.5,14.3,25.8,74.3,25.7,97.9,2.1,84.1,15.9
1,Karl-Anthony Towns,MIN,21,82,31,51,37,81.4,18.6,68,12,14.7,5.8,17.3,13.4,56,59.6,40.4,96,4,64.2,35.8
