RANKING,PLAYER,TEAM,AGE,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
1,Anthony Edwards,MIN,19,72,23,49,32.1,57.1,42.9,48,4.5,36.9,11.1,15.1,15.5,43.5,39.2,60.8,63.2,36.8,47.3,52.7
1,Bojan Bogdanovic,UTA,32,72,52,20,30.8,50.2,49.8,36.9,3.4,44.1,13.5,19,13.6,33.5,41.2,58.8,96.1,3.9,65.5,34.5
1,Duncan Robinson,MIA,27,72,40,32,31.4,14.5,85.5,13.8,1.1,79.6,10.3,6.6,17.2,12.7,89.2,10.8,97.2,2.8,95.6,4.4
1,Dwayne Bacon,ORL,25,72,21,51,25.7,71.5,28.5,59.1,10.9,22.5,17.9,18.4,14.2,48.2,40.8,59.2,59.3,40.7,44.5,55.5
1,Enes Freedom,POR,29,72,42,30,24.4,99.3,0.7,83.9,0.2,0.4,4,15.7,10.7,83.6,45.9,54.1,100,0,46,54
1,Georges Niang,UTA,28,72,52,20,16,27.9,72.1,21.2,2,74.4,10.8,4.4,10.4,19.2,69.8,30.2,99.2,0.8,90.4,9.6
1,Ivica Zubac,LAC,24,72,47,25,22.3,99,1,78.8,0.6,0.5,5.2,20.7,7.8,78.2,73.4,26.6,100,0,73.5,26.5
1,Justin Holiday,IND,32,72,34,38,30.3,27.5,72.5,22.5,4.8,68.7,16.8,8.8,17.9,17.7,67.1,32.9,97.1,2.9,87.2,12.8
1,Mikal Bridges,PHX,24,72,51,21,32.6,52.9,47.1,47.2,3.9,41.4,21.9,11.4,21.4,43.3,76.4,23.6,98.5,1.5,84.6,15.4
1,Nikola Jokic,DEN,26,72,47,25,34.6,81.7,18.3,67.4,12.8,14.5,2.9,18.1,12.9,54.7,48.4,51.6,96.7,3.3,54.5,45.5
1,RJ Barrett,NYK,21,72,41,31,34.9,70.8,29.2,54.3,7,29.4,12.8,16.3,14.5,47.3,35.3,64.7,97.6,2.4,51.8,48.2
12,Andrew Wiggins,GSW,26,71,38,33,33.3,65.2,34.8,55.3,11.5,31.8,12.3,12.9,15.8,43.8,47.9,52.1,82.9,17.1,57.6,42.4
12,Buddy Hield,SAC,28,71,31,40,34.3,27.3,72.7,20.6,5.6,71.9,18.9,7.5,13.1,15,33.1,66.9,81.2,18.8,66.7,33.3
12,Eric Bledsoe,NOP,31,71,31,40,29.7,51.4,48.6,42.8,9.9,41.8,12.3,15.4,13.9,32.9,48.9,51.1,86,14,63.5,36.5
12,Julius Randle,NYK,26,71,40,31,37.6,70.6,29.4,51.6,20,28,4.9,20.4,14.1,31.7,34.2,65.8,79.4,20.6,46.2,53.8
12,Patrick Williams,CHI,19,71,30,41,27.9,73.9,26.1,61.4,14.7,24.7,9.6,13.9,13.4,46.7,73.6,26.4,98.1,1.9,78.8,21.2
12,Robin Lopez,WAS,33,71,34,37,19.1,95.8,4.2,82.2,1.6,2.3,1.9,15.5,12.5,80.7,61.7,38.3,100,0,62.5,37.5
12,Royce O'Neale,UTA,28,71,51,20,31.6,29.4,70.6,27.4,0.4,64.7,18.1,7.9,18.5,27,60.3,39.7,98.1,1.9,83.4,16.6
12,Rudy Gobert,UTA,29,71,52,19,30.8,99.3,0.7,77,0.2,0,4.7,23,9,76.8,76.7,23.3,0,0,76.7,23.3
