RANKING,PLAYER,TEAM,AGE,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
1,Mikal Bridges,BKN,26,83,42,41,35.7,65.1,34.9,50.7,14.4,30.3,12.8,19,16.2,36.4,53.8,46.2,92.3,7.7,64.8,35.2
2,Derrick White,BOS,28,82,57,25,28.3,48.4,51.6,39.5,2.9,44,11.6,16.5,13.9,36.6,50.2,49.8,89.9,10.1,67.1,32.9
2,Harrison Barnes,SAC,31,82,48,34,32.5,55.4,44.6,39.3,2.9,32.2,10.7,28.5,11.6,36.4,58.7,41.3,93.2,6.8,70.9,29.1
2,Isaiah Hartenstein,NYK,25,82,47,35,19.9,88.7,11.3,82.3,1,5.9,1.2,11.8,10.8,81.3,61.1,38.9,100,0,62.9,37.1
2,Jordan Poole,GSW,24,82,44,38,30,50.2,49.8,40.1,7.3,38.3,16.3,21.6,14.4,32.8,44.6,55.4,70.1,29.9,54.5,45.5
2,Kenyon Martin Jr.,HOU,22,82,22,60,28,70,30,65.8,0,19.6,21.3,14.6,18.5,65.8,77.2,22.8,100,0,81,19
2,Kevon Looney,GSW,27,82,44,38,23.9,99.7,0.3,83.7,3.5,0,3.6,16.3,10.6,80.3,66.9,33.1,0,0,66.9,33.1
2,Nikola Vucevic,CHI,32,82,40,42,33.5,69.8,30.2,65.8,11.5,25.1,4,9.1,13.8,54.3,73.5,26.5,100,0,78.9,21.1
2,Patrick Williams,CHI,21,82,40,42,28.3,59.1,40.9,47.8,13,41.4,10.2,10.8,12.7,34.8,63.3,36.7,98.3,1.7,76.1,23.9
2,Tari Eason,HOU,22,82,22,60,21.6,73.9,26.1,62.4,0.5,23.3,20.1,14.3,23.7,61.8,47.3,52.7,98.3,1.7,57.4,42.6
11,Immanuel Quickley,NYK,24,81,47,34,28.9,51.5,48.5,41.5,6.6,41.7,13.3,16.8,15.6,34.9,26.3,73.7,72,28,44.6,55.4
11,Jevon Carter,MIL,27,81,57,24,22.4,40.4,59.6,29.8,16,65.4,17.8,4.8,17.1,13.8,34,66,78.9,21.1,60.7,39.3
11,Malik Beasley,LAL,26,81,45,36,25.8,29.8,70.2,26.3,7,68.8,15.1,4.9,14.5,19.3,51.1,48.9,85.5,14.5,73,27
11,Terance Mann,LAC,26,81,44,37,23.1,62.2,37.8,54.7,5,32.4,17.8,12.9,18.5,49.6,55.4,44.6,88.3,11.7,64.7,35.3
15,Ayo Dosunmu,CHI,23,80,40,40,26.2,66.8,33.2,64.6,6.1,25.8,26.6,9.6,21,58.5,55,45,100,0,64.4,35.6
15,Bruce Brown,DEN,26,80,53,27,28.5,65.7,34.3,57.9,3,29.6,23.1,12.5,17.4,54.8,55.1,44.9,92.3,7.7,64.5,35.5
15,Buddy Hield,IND,30,80,35,45,31,34.8,65.2,27.8,6.1,64.3,22.4,7.9,16.8,21.7,56.1,43.9,88.9,11.1,76,24
15,Davion Mitchell,SAC,24,80,47,33,18.1,50.6,49.4,52.4,11.6,42,16.2,5.6,17.1,40.9,44.9,55.1,87.3,12.7,59.7,40.3
15,Franz Wagner,ORL,21,80,33,47,32.6,67.8,32.2,55.5,4.4,26.3,13.4,18.2,14.7,51,46.4,53.6,80,20,54.4,45.6
15,Jalen McDaniels,PHI,25,80,31,49,23.9,62.4,37.6,54,4.2,30.6,24.1,15.4,22.9,49.8,57.8,42.2,97.4,2.6,68.7,31.3
15,Keegan Murray,SAC,22,80,47,33,29.8,35.9,64.1,30.3,2.9,63.3,11.6,6.4,14,27.5,70.9,29.1,97.6,2.4,86.4,13.6
15,Max Strus,MIA,27,80,42,38,28.4,28.7,71.3,27.5,1.1,64,9.2,8.5,15,26.4,70.9,29.1,94.9,5.1,85.5,14.5
15,Onyeka Okongwu,ATL,22,80,41,39,23.1,97.4,2.6,79.1,6.8,1.5,6.2,19.4,14.3,72.3,71.2,28.8,100,0,71.6,28.4
15,Sam Hauser,BOS,25,80,55,25,16.1,15.4,84.6,15.6,0.8,82,9.8,2.4,11.1,14.8,77.5,22.5,97.9,2.1,93.3,6.7
15,Shaedon Sharpe,POR,20,80,32,48,22.2,56.3,43.7,51.7,9.4,38.8,18.3,9.5,17.7,42.3,55.9,44.1,88.2,11.8,66.7,33.3
15,Tyus Jones,MEM,27,80,51,29,24.2,54.1,45.9,46.2,9.5,44.2,21.9,9.6,19.3,36.7,28.4,71.6,79.3,20.7,48.2,51.8
27,Anthony Edwards,MIN,21,79,40,39,36,62.5,37.5,50.8,8.7,32.8,14.4,16.4,14,42,34.8,65.2,51.6,48.4,39.9,60.1
27,Domantas Sabonis,SAC,27,79,47,32,34.6,91.2,8.8,72.3,4.6,6.2,7.2,21.5,13.7,67.7,58.1,41.9,100,0,60.3,39.7
27,Evan Mobley,CLE,22,79,48,31,34.4,89.2,10.8,78.8,5.6,5.2,7.4,16,16.1,73.1,74,26,100,0,75,25
27,Grant Williams,BOS,24,79,55,24,25.9,38.9,61.1,31.5,1.9,53.8,10,14.7,14.2,29.6,59.4,40.6,95.7,4.3,78.7,21.3
27,Jabari Smith Jr.,HOU,20,79,21,58,31,56.2,43.8,48.3,12.5,35.6,11.6,16.1,11.5,35.8,64.8,35.2,88.3,11.7,72.5,27.5
27,Jaden McDaniels,MIN,22,79,41,38,30.6,62.4,37.6,55.2,5.5,33.7,18.4,11.1,17.5,49.7,65.8,34.2,99.1,0.9,75.4,24.6
27,Jonas Valanciunas,NOP,31,79,40,39,24.9,86.6,13.4,73.2,8.1,10.2,1.7,16.6,11,65.1,57.8,42.2,100,0,61.4,38.6
27,Mason Plumlee,LAC,33,79,28,51,26,100,0,76.8,2.1,0,8.1,23.2,14.4,74.7,65.7,34.3,0,0,65.7,34.3
27,Spencer Dinwiddie,BKN,30,79,41,38,34.5,53.3,46.7,40.8,7.6,39.7,9.9,19.5,11,33.2,11.8,88.2,60.2,39.8,30.9,69.1
27,Torrey Craig,PHX,32,79,44,35,24.7,49.4,50.6,43.5,2.4,51,7.5,5.5,17.3,41.2,57,43,99,1,75.4,24.6
27,Trey Murphy III,NOP,23,79,39,40,31,37.9,62.1,32.2,1.7,52.8,24,15,22.3,30.5,67,33,96,4,82.2,17.8
38,Bennedict Mathurin,IND,21,78,33,45,28.5,67.4,32.6,48.1,5.2,23,21.3,28.9,15.8,42.9,60.1,39.9,74,26,63.4,36.6
38,Brook Lopez,MIL,35,78,57,21,30.4,59.5,40.5,55,6.6,32.9,3.1,12.1,7.1,48.4,74.5,25.5,97.1,2.9,80.9,19.1
38,Daniel Gafford,WAS,24,78,32,46,20.6,100,0,82,2,0,5.2,18,10.5,80,66.8,33.2,0,0,66.8,33.2
38,Drew Eubanks,POR,26,78,31,47,20.3,94.6,5.4,79.9,5.8,4.1,4.6,16,13.1,74.1,78.3,21.7,100,0,79,21
38,Georges Niang,PHI,30,78,51,27,19.4,23.5,76.5,21.4,0.9,72.5,11,6.1,13.8,20.4,75,25,100,0,92.3,7.7
38,Jarred Vanderbilt,LAL,24,78,43,35,24.1,80,20,70.4,0.3,14.1,10.5,15.5,16.6,70.1,67.9,32.1,100,0,71.7,28.3
38,Nicolas Batum,LAC,34,78,44,34,21.9,16.8,83.2,15.1,1.3,77.8,8.2,7.1,15.3,13.8,61.1,38.9,99.2,0.8,90.6,9.4
38,Reggie Bullock,DAL,32,78,37,41,30.3,15.5,84.5,14.6,1.8,80.7,10.3,4.7,13.7,12.8,85.4,14.6,98,2,95.3,4.7
46,Cedi Osman,CLE,28,77,48,29,20.1,41.1,58.9,36.8,0.9,52,17,11.2,21.8,35.9,76.4,23.6,87.9,12.1,82,18
46,De'Anthony Melton,PHI,25,77,50,27,27.9,38.1,61.9,30.8,2.8,60.4,18.3,8.8,16.5,27.9,48.3,51.7,87.9,12.1,70.8,29.2
46,Julius Randle,NYK,28,77,44,33,35.5,55.6,44.4,45.5,8.5,33.8,7.3,20.7,12.3,37,38.2,61.8,75.2,24.8,50.5,49.5
46,Malik Monk,SAC,25,77,47,30,22.3,50,50,41.1,5.6,41.2,17.8,17.7,19.3,35.5,52.8,47.2,83.2,16.8,65,35
46,Naji Marshall,NOP,25,77,40,37,23.3,61.8,38.2,51.9,3.7,28.4,15.6,19.7,18.6,48.1,53,47,98.5,1.5,65.2,34.8
46,Saddiq Bey,ATL,24,77,24,53,27.6,50,50,38,4.3,42.7,12.9,19.3,15.7,33.7,38.1,61.9,91.4,8.6,60.9,39.1
46,Santi Aldama,MEM,22,77,47,30,21.8,49.3,50.7,44,2.3,40.5,13.9,15.5,16.1,41.7,68,32,96.8,3.2,78.9,21.1
46,Scottie Barnes,TOR,21,77,38,39,34.8,78,22,67.9,7.1,16,11.7,16.1,15.6,60.7,49.3,50.8,84.1,15.9,54,46
46,Zach LaVine,CHI,28,77,38,39,35.9,60.8,39.2,49,12.1,32,15.7,19,17,36.9,33.5,66.5,64.7,35.3,42.9,57.1
55,Chris Boucher,TOR,30,76,39,37,20,64.3,35.7,55.9,3.9,26.1,20.1,18,25,52,57.8,42.2,98.4,1.6,67.4,32.6
