RANKING,PLAYER,TEAM,AGE,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
1,Bam Adebayo,MIA,21,82,39,43,23.3,96.9,3.1,76,4.4,1.2,10,22.8,17.4,71.6,70,30,66.7,33.3,70,30
1,Bradley Beal,WAS,26,82,32,50,36.9,63,37,52.9,14,29.9,13.7,17.2,14.2,38.9,42.5,57.5,71.8,28.2,50.5,49.5
1,Bryn Forbes,SAS,25,82,48,34,28,47.8,52.2,38.3,17.4,54.6,15.1,7.1,13.3,20.9,54.6,45.4,84.7,15.3,69.3,30.7
1,Buddy Hield,SAC,26,82,39,43,31.9,52.1,47.9,40.7,14.6,49.2,24.3,10.1,17.6,26.1,50.4,49.6,84.2,15.8,65.5,34.5
1,Collin Sexton,CLE,20,82,19,63,31.8,75.5,24.5,58.4,21.2,26,14.9,15.6,13.6,37.2,31.8,68.3,63.9,36.1,39.1,60.9
1,Cory Joseph,IND,27,82,48,34,25.2,68.8,31.2,63.7,26.8,30.7,11.4,5.6,17.5,36.9,26.9,73.1,92.7,7.3,42.9,57.1
1,DeAndre' Bembry,ATL,24,82,29,53,23.6,71.9,28.1,65.5,0.6,21.8,18.6,12.7,19.2,64.9,48.4,51.6,94,6,56.7,43.3
1,Joe Ingles,UTA,31,82,50,32,31.3,39.8,60.2,34.2,2.8,57,8.7,8.8,15,31.4,38.8,61.2,82.5,17.5,61.8,38.2
1,Justin Holiday,MEM,30,82,25,57,31.8,40.2,59.8,32.2,10.5,56.7,16.9,11.1,18.3,21.7,76.1,23.9,93.2,6.8,85.3,14.7
1,Kemba Walker,CHA,29,82,39,43,34.9,56.6,43.4,44.8,12.1,37.1,11.2,18.1,12.8,32.7,20,80,43.8,56.2,28.5,71.5
1,Kentavious Caldwell-Pope,LAL,26,82,37,45,24.8,42.5,57.5,37.1,12.6,48.3,23.7,14.6,18.4,24.5,70.7,29.3,94,6,81.5,18.5
1,Mason Plumlee,DEN,29,82,54,28,21.1,97.7,2.3,81.6,2.2,0.9,6.3,17.5,9.7,79.4,70.4,29.6,100,0,70.6,29.4
1,Mikal Bridges,PHX,22,82,19,63,29.5,44.4,55.6,40.1,2.9,46.1,21.2,13.8,28.8,37.1,71.5,28.5,96.2,3.8,82.2,17.8
1,Monte Morris,DEN,24,82,54,28,24,67.7,32.3,59.2,14.3,33.1,13.4,7.7,15.7,44.9,45.6,54.4,86.2,13.8,56.6,43.4
1,Montrezl Harrell,LAC,25,82,48,34,26.3,98.1,1.9,79.8,1.9,0.7,12,19.5,12.2,77.9,69.6,30.4,100,0,69.8,30.2
1,P.J. Tucker,HOU,34,82,53,29,34.2,26,74,20.3,1.3,72.9,14.1,6.8,18.6,19,70.5,29.5,100,0,91.3,8.7
1,Patty Mills,SAS,30,82,48,34,23.3,39.1,60.9,30.3,11.1,58.8,14.3,10.9,16.2,19.2,40.7,59.3,75.5,24.5,60.3,39.7
1,Reggie Jackson,DET,29,82,41,41,27.9,55,45,42.4,11.6,41.4,9,16.2,14,30.8,18.7,81.3,79.3,20.7,42.6,57.4
1,Royce O'Neale,UTA,26,82,50,32,20.4,48.7,51.3,44.6,0.9,47.9,22.3,7.5,20.4,43.7,74.7,25.3,98.5,1.5,84.7,15.3
1,Shai Gilgeous-Alexander,LAC,20,82,48,34,26.5,80.6,19.4,65.2,16.2,17.2,16.1,17.6,14.7,49,31,69,90.2,9.8,39.9,60.1
1,Tobias Harris,PHI,26,82,46,36,34.7,68.7,31.3,55.4,12.3,28.5,11.1,16.1,10.6,43.1,39.3,60.7,80.8,19.2,49.9,50.1
22,Al-Farouq Aminu,POR,28,81,52,29,28.3,52.8,47.2,42.4,1.8,37.9,13.6,19.7,15.9,40.5,51.6,48.4,100,0,69.6,30.4
22,Bojan Bogdanovic,IND,30,81,47,34,31.8,63.3,36.7,49.2,9.4,33.8,18.6,17,21,39.9,64.2,35.8,92.1,7.9,73,27
22,Brook Lopez,MIL,31,81,60,21,28.7,34.9,65.1,33.3,3,55.6,7.1,11.1,8.3,30.3,64.9,35.1,95.2,4.8,80.8,19.2
22,D'Angelo Russell,BKN,23,81,42,39,30.2,58.1,41.9,49.6,15.4,41,11.4,9.4,14.1,34.2,15.5,84.5,53,47,28.8,71.2
22,D.J. Augustin,ORL,31,81,42,39,28,54.1,45.9,39.5,7,41.5,11.2,19,14.1,32.5,18.2,81.8,64.1,35.9,37.1,62.9
22,Dario Saric,MIN,25,81,39,42,25,53.6,46.4,43.4,5.6,41.3,10.4,15.3,13.4,37.8,74.2,25.8,96.6,3.4,82.9,17.1
22,De'Aaron Fox,SAC,21,81,39,42,31.4,78.9,21.1,59.9,11.6,18.4,24.9,21.7,23.2,48.3,17.2,82.8,52.3,47.7,23.2,76.8
22,Dorian Finney-Smith,DAL,26,81,33,48,24.5,51.9,48.1,49,3,39,16.8,12,15.3,46.1,59.1,40.9,96.2,3.8,71.9,28.1
22,Ed Davis,BKN,30,81,42,39,17.9,99.3,0.7,78.8,0,0,1.5,21.2,12.1,78.8,60.2,39.8,0,0,60.2,39.8
22,Evan Fournier,ORL,26,81,42,39,31.5,57.9,42.1,51.4,12.7,37.4,11.3,11.2,14,38.7,50.8,49.2,85.6,14.4,62.2,37.8
22,Jordan Clarkson,CLE,27,81,18,63,27.3,62.3,37.7,56.5,16.6,31.7,9.8,11.8,15.7,39.9,26.5,73.5,78.5,21.5,40.6,59.4
22,Justin Jackson,DAL,24,81,36,45,19.9,49.5,50.5,44.6,7.9,44.8,19.2,10.6,14.9,36.7,77.7,22.3,96.6,3.4,85.3,14.7
22,LaMarcus Aldridge,SAS,33,81,48,33,33.2,96.8,3.2,78.1,29.8,1.7,3.8,20.2,10.5,48.3,58.8,41.2,90,10,59.2,40.8
22,Malik Beasley,DEN,22,81,53,28,23.2,45,55,40.6,7.9,53.3,20.3,6.1,18.4,32.7,75.8,24.2,98.2,1.8,86.2,13.8
22,Rudy Gobert,UTA,27,81,50,31,31.8,100,0,74.1,0.2,0,3.3,25.9,14.5,74,73.5,26.5,0,0,73.5,26.5
