RANKING,PLAYER,TEAM,AGE,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
1,Maxi Kleber,DAL,28,74,42,32,25.5,37.9,62.1,35.1,2.1,53.1,6.8,11.8,11.3,33,83.1,16.9,100,0,91.6,8.4
2,Delon Wright,DAL,28,73,42,31,21.5,69.1,30.9,56.7,2,28,16.1,15.3,17.7,54.8,30.8,69.2,80.9,19.1,43.2,56.8
2,Dillon Brooks,MEM,24,73,34,39,28.9,61.5,38.5,48.8,14.4,37.3,16.4,13.9,13.3,34.4,53.5,46.5,89.1,10.9,65.5,34.5
2,Duncan Robinson,MIA,26,73,44,29,29.7,11.8,88.2,10.8,0.8,82.4,10.6,6.8,16,10,83,17,96.3,3.7,94.1,5.9
2,Justin Holiday,IND,31,73,45,28,25,31.9,68.1,24.5,6.6,66.7,17.4,8.8,18.1,17.9,77,23,97.8,2.2,90.4,9.6
2,Mikal Bridges,PHX,23,73,34,39,28,59.9,40.1,53.1,3.9,31.5,19.9,15.4,21.7,49.2,76.3,23.7,98.6,1.4,82.6,17.4
2,Monte Morris,DEN,25,73,46,27,22.4,69.6,30.4,59.1,18.8,29.5,15.6,11.4,17.6,40.3,36.9,63.1,86.2,13.8,49.2,50.8
2,Nikola Jokic,DEN,25,73,46,27,32,76.2,23.8,66.6,14.3,16.5,2.7,16.9,10.4,52.3,51.1,48.9,85,15,55.9,44.1
9,Bam Adebayo,MIA,22,72,44,28,33.6,98.2,1.8,76.4,3.7,0.5,6.3,23.1,11.9,72.8,71.5,28.5,50,50,71.4,28.6
9,Buddy Hield,SAC,27,72,31,41,30.8,40.8,59.2,32.9,11.9,58.8,14.2,8.3,15,21,39.6,60.4,72.3,27.7,57.4,42.6
9,Cory Joseph,SAC,28,72,31,41,24.4,61.4,38.6,50.2,14,36.7,9.4,13.1,16.2,36.2,21.7,78.3,89.3,10.7,43.9,56.1
9,Furkan Korkmaz,PHI,22,72,42,30,21.7,36.8,63.2,28.1,6.5,60.9,12.4,11,15.5,21.6,72.7,27.3,97.2,2.8,87.2,12.8
9,Harrison Barnes,SAC,28,72,31,41,34.5,66.2,33.8,50.3,3.3,29.3,8.1,20.4,16.3,47,52.5,47.5,87.3,12.7,62.2,37.8
9,Ivica Zubac,LAC,23,72,49,23,18.4,99.5,0.5,79.2,5.4,0,10.9,20.8,12.9,73.8,72.5,27.5,0,0,72.5,27.5
9,Joe Ingles,UTA,32,72,44,28,29.7,36.2,63.8,29.7,3.1,59.8,13.2,10.5,15.7,26.6,37.1,62.9,65.2,34.8,53.3,46.7
9,Markelle Fultz,ORL,22,72,33,39,27.7,82.5,17.5,74.3,16.6,12.4,14.3,13.3,15.1,57.7,30,70,83.3,16.7,35.4,64.6
