PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Tony Parker,CHA,56,6,56.6,0.9,5.4,2.3,4.7,47.7,47.7
Lou Williams,LAC,75,11.1,54.6,0.96,10.6,3.5,8,44.2,47.2
J.J. Barea,DAL,38,7,54.2,0.94,6.5,2.5,5.4,46.8,52
Kris Dunn,CHI,46,7.2,52,0.78,5.6,2.3,5.6,41.9,44.4
D'Angelo Russell,BKN,81,11.4,49.9,0.89,10.1,4.1,9.3,44,49.6
Jamal Crawford,PHX,64,4.5,49.5,0.83,3.7,1.3,3.2,41.5,45.4
Trey Burke,NYK,33,6.2,49.4,1.02,6.4,2.4,5.4,45.2,48.3
Ish Smith,DET,56,5,48.5,0.89,4.5,1.9,4.4,44.1,46.5
D.J. Augustin,ORL,81,5.2,47.6,0.96,5,1.8,3.9,45,50.6
Kemba Walker,CHA,82,11.8,46.8,1.01,11.9,4.2,9.5,44.6,51.5
Cameron Payne,CLE,9,3.8,45.9,1.12,4.2,1.6,3,51.9,59.3
Trae Young,ATL,80,9.7,45.6,0.81,7.8,2.8,7,40.3,45.6
Rajon Rondo,LAL,46,5.6,45.3,0.74,4.2,1.8,4.2,42.5,47.4
Milos Teodosic,LAC,15,1.9,45.3,0.72,1.4,0.5,1.1,50,56.3
Jeff Teague,MIN,42,6.2,44.8,0.76,4.7,1.7,4.4,39.5,41.1
Damian Lillard,POR,80,10.9,44.7,1.08,11.7,4.2,8.7,47.8,55.3
Donovan Mitchell,UTA,77,11.1,44.5,0.95,10.5,4.1,9,45,49.8
Raymond Felton,OKC,34,2,44.5,0.74,1.5,0.6,1.6,35.7,36.6
Jose Calderon,DET,49,1.4,44.1,0.8,1.2,0.5,1.1,49.1,49.1
Walt Lemon Jr.,CHI,6,7.3,43.6,0.77,5.7,2.7,6.5,41,41
Brandon Knight,CLE,27,4,43.5,0.95,3.8,1.5,3.5,42.6,48.4
Derrick Rose,MIN,51,7.6,43.2,0.95,7.2,3.2,6.5,49.5,50.8
Dennis Smith Jr.,NYK,21,7.9,43.1,0.81,6.3,2.4,6.1,39.8,44.1
Dennis Schroder,OKC,78,7.4,42.7,0.81,6,2.5,5.8,42.4,43.3
