PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Jose Alvarado,NOP,54,2.2,33.5,0.92,2,0.9,1.8,50.5,51.6
Brandon Knight,DAL,5,2.2,33.3,0.64,1.4,0.4,1.4,28.6,35.7
Brandon Williams,POR,24,5.3,33.2,0.65,3.4,1.2,3.6,32.6,35.5
Goran Dragic,BKN,16,3.3,33.1,0.66,2.2,0.9,2.4,39.5,40.8
Tomas Satoransky,WAS,22,1.8,33.1,0.8,1.4,0.5,1,47.8,47.8
Keifer Sykes,IND,32,2.3,32.9,0.61,1.4,0.6,1.8,33.3,36.8
Tyler Herro,MIA,66,6.9,32.8,0.88,6.1,2.2,5.4,41.5,46.2
Jrue Holiday,MIL,67,5.9,32.6,1,5.9,2.3,4.6,50.5,57.1
Malachi Flynn,TOR,44,1.5,32.5,0.82,1.3,0.5,1.3,40.4,44.7
Jalen Brunson,DAL,79,5,32.4,1.06,5.3,2.2,4.2,52.7,54.3
Ish Smith,CHA,37,2,32.3,0.74,1.5,0.7,1.6,41,42.6
Isaiah Thomas,CHA,17,2.6,32.1,1.02,2.6,1.1,2.2,47.4,52.6
Tomas Satoransky,NOP,32,1.4,32.1,0.42,0.6,0.2,1.2,18.4,19.7
CJ McCollum,NOP,26,7.3,31.9,0.84,6.1,2.4,5.9,40.5,45.4
Shake Milton,PHI,55,2.7,31.9,0.87,2.4,1,2.3,43.5,45.6
James Harden,BKN,44,7.6,31.8,0.83,6.3,1.9,4.6,41.8,48.5
Tre Jones,SAS,69,1.9,31.8,0.9,1.8,0.8,1.5,50.5,50.5
Cory Joseph,DET,65,2.6,31.7,0.8,2,0.8,1.9,42.1,45
Ty Jerome,OKC,48,2.5,31.7,0.89,2.3,0.9,2,43.8,49
Devonte' Graham,NOP,76,4,31.6,0.79,3.2,1,3.2,32.9,40
Dennis Smith Jr.,POR,37,2.2,31.4,0.73,1.6,0.7,1.7,41.9,42.7
Saben Lee,DET,37,2.1,31.3,0.68,1.4,0.4,1.3,29.8,34
Derrick White,SAS,49,4.6,31.2,0.94,4.3,1.6,3.6,45.7,49.7
CJ McCollum,POR,36,6.6,31.1,1.02,6.7,2.7,5.8,46.9,55.3
Xavier Moon,LAC,10,1.8,31,1.28,2.3,1.1,1.7,64.7,67.6
James Harden,PHI,21,6.4,30.5,0.82,5.2,1.5,4,36.5,44.1
Keon Johnson,POR,22,3.8,30.5,0.64,2.4,0.8,2.8,27.9,34.4
Miles McBride,NYK,13,1.2,30.2,0.81,1,0.4,1.1,35.7,46.4
Jalen Suggs,ORL,48,4.7,29.5,0.62,2.9,1,3.1,31.1,34.1
Jeremy Lamb,SAC,17,2.4,29.3,1.17,2.8,1.1,2.1,52.8,58.3
Jalen Green,HOU,67,5.2,29.2,0.81,4.2,1.5,4,37.6,44.7
Delon Wright,ATL,77,1.3,29.2,0.87,1.1,0.4,1,39.5,46.7
Kyrie Irving,BKN,29,7.3,29,0.98,7.2,2.8,6.2,45.8,52
Eric Gordon,HOU,57,3.7,29,0.84,3.1,1.1,2.5,44.8,51.7
Gabe Vincent,MIA,68,2.7,28.8,0.78,2.1,0.8,2,40.3,47.1
Eric Bledsoe,LAC,54,3.3,28.7,0.64,2.1,0.9,2.4,39.4,40.6
Aaron Holiday,WAS,41,1.9,28.5,0.83,1.5,0.7,1.5,45.2,46
Killian Hayes,DET,66,2.6,28.4,0.74,1.9,0.8,1.9,42.7,44.4
Kyle Lowry,MIA,63,3.9,28.2,0.95,3.7,1.2,2.8,42.9,50.9
Donte DiVincenzo,SAC,25,3.2,28.1,0.59,1.9,0.6,2.3,27.6,32.8
Cam Reddish,ATL,34,3.5,28,0.84,2.9,1.1,2.8,38.3,42
Facundo Campazzo,DEN,65,1.7,28,0.65,1.1,0.3,1.1,30.4,37
Jordan Clarkson,UTA,79,4.6,27.9,0.99,4.6,1.8,3.9,46.6,53.6
Justin Robinson,MIL,17,1.1,27.9,0.47,0.5,0.2,0.9,26.7,30
Devin Booker,PHX,68,7.1,27.7,0.99,7,2.7,5.8,46.3,51
Nickeil Alexander-Walker,NOP,50,4.2,27.5,0.8,3.3,1.3,3.2,42.4,44.9
Stephen Curry,GSW,64,6.5,27.4,1.02,6.7,2.2,5.1,43.5,55.2
Daishen Nix,HOU,24,1.2,27.4,0.83,1,0.4,0.9,42.9,50
D.J. Augustin,LAL,21,1.3,27.3,0.81,1,0.3,1,33.3,40.5
Terrence Ross,ORL,63,2.9,27.2,0.83,2.4,0.9,2.3,38.1,42.9
Joe Ingles,UTA,45,2,26.8,1.02,2.1,0.8,1.6,48.6,63.6
Anthony Edwards,MIN,72,5.7,26.7,0.85,4.9,1.8,4.5,38.9,45.8
RJ Barrett,NYK,70,5.7,26.3,0.75,4.3,1.6,4.4,35.6,37.6
Monte Morris,DEN,75,3.1,26.3,0.88,2.7,1.3,2.7,45.6,47.8
Russell Westbrook,LAL,78,5.7,26.2,0.83,4.7,1.9,4.3,44.3,47.5
Leandro Bolmaro,MIN,15,0.7,26.2,0.36,0.3,0.1,0.3,25,25
Franz Wagner,ORL,79,3.9,26,0.85,3.3,1.2,3.1,39.5,43.2
Josh Hart,POR,13,4.7,26,0.97,4.5,1.8,3.7,50,57.3
Louis King,SAC,10,1.3,25.5,0.92,1.2,0.5,1.3,38.5,46.2
Bones Hyland,DEN,69,2.6,25.3,0.82,2.1,0.7,2,36.4,45
Furkan Korkmaz,PHI,67,2.1,25.3,0.77,1.6,0.6,1.7,34.8,38.3
Cam Thomas,BKN,67,2.3,25.2,0.88,2,0.8,1.9,42.7,43.5
Jarrett Culver,MEM,21,1.2,25.2,0.69,1,0.4,1,38.1,38.1
